year,pgisced97,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Pre-primary Level,Heterosexual,0.39974,294,294,0.34366,0.45583
2016,Primary Level,Heterosexual,0.74697,347,347,0.70116,0.79278
2016,Lower Secondary Level,Heterosexual,0.74393,2087,2247,0.72588,0.76198
2016,Lower Secondary Level,No answer/ Do not wish to respond,0.07969,160,2247,0.06849,0.09089
2016,Upper Secondary Level,Heterosexual,0.81854,9225,9859,0.81093,0.82615
2016,Upper Secondary Level,Homosexual,0.00833,61,9859,0.00653,0.01012
2016,Upper Secondary Level,Bisexual,0.00469,50,9859,0.00334,0.00604
2016,Upper Secondary Level,No answer/ Do not wish to respond,0.05867,523,9859,0.05403,0.06331
2016,Post-secondary Non-tertiary Level,Heterosexual,0.88861,1837,1904,0.87447,0.90274
2016,Post-secondary Non-tertiary Level,No answer/ Do not wish to respond,0.03882,67,1904,0.03014,0.04749
2016,First Stage of Tertiary Education,Heterosexual,0.84422,1209,1279,0.82433,0.86410
2016,First Stage of Tertiary Education,No answer/ Do not wish to respond,0.05422,70,1279,0.04181,0.06664
2016,Second Stage of Tertiary Education,Heterosexual,0.88577,5310,5543,0.87739,0.89414
2016,Second Stage of Tertiary Education,Homosexual,0.01295,56,5543,0.00997,0.01593
2016,Second Stage of Tertiary Education,No answer/ Do not wish to respond,0.03577,177,5543,0.03088,0.04066
2019,Pre-primary Level,Heterosexual,0.53782,288,288,0.48014,0.59550
2019,Primary Level,Heterosexual,0.71341,335,371,0.66734,0.75949
2019,Primary Level,No answer/ Do not wish to respond,0.11245,36,371,0.08026,0.14464
2019,Lower Secondary Level,Heterosexual,0.82641,2138,2354,0.81111,0.84172
2019,Lower Secondary Level,Bisexual,0.00852,41,2354,0.00481,0.01223
2019,Lower Secondary Level,No answer/ Do not wish to respond,0.09324,175,2354,0.08149,0.10499
2019,Upper Secondary Level,Heterosexual,0.89547,10055,10868,0.88972,0.90122
2019,Upper Secondary Level,Homosexual,0.00514,77,10868,0.00379,0.00648
2019,Upper Secondary Level,Bisexual,0.00790,141,10868,0.00623,0.00956
2019,Upper Secondary Level,No answer/ Do not wish to respond,0.06789,595,10868,0.06316,0.07262
2019,Post-secondary Non-tertiary Level,Heterosexual,0.91950,2013,2072,0.90778,0.93121
2019,Post-secondary Non-tertiary Level,No answer/ Do not wish to respond,0.03180,59,2072,0.02424,0.03936
2019,First Stage of Tertiary Education,Heterosexual,0.93842,1558,1617,0.92670,0.95014
2019,First Stage of Tertiary Education,No answer/ Do not wish to respond,0.03709,59,1617,0.02787,0.04630
2019,Second Stage of Tertiary Education,Heterosexual,0.92549,6513,6827,0.91926,0.93172
2019,Second Stage of Tertiary Education,Homosexual,0.00814,79,6827,0.00601,0.01027
2019,Second Stage of Tertiary Education,Bisexual,0.00676,67,6827,0.00482,0.00870
2019,Second Stage of Tertiary Education,No answer/ Do not wish to respond,0.02923,168,6827,0.02524,0.03323
