year,sex,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,male,Heterosexual,0.71011,9605,10157,0.70129,0.71894
2016,male,Homosexual,0.00864,78,10157,0.00684,0.01044
2016,male,Bisexual,0.00209,35,10157,0.00120,0.00297
2016,male,No answer/ Do not wish to respond,0.03768,439,10157,0.03397,0.04138
2016,female,Heterosexual,0.69375,11204,11998,0.68550,0.70199
2016,female,Homosexual,0.00902,79,11998,0.00733,0.01072
2016,female,Bisexual,0.00645,95,11998,0.00502,0.00789
2016,female,No answer/ Do not wish to respond,0.05273,620,11998,0.04873,0.05673
2019,male,Heterosexual,0.75139,11215,11952,0.74364,0.75914
2019,male,Homosexual,0.00689,129,11952,0.00540,0.00837
2019,male,Bisexual,0.00371,81,11952,0.00262,0.00480
2019,male,No answer/ Do not wish to respond,0.04256,527,11952,0.03894,0.04618
2019,female,Heterosexual,0.75654,12185,13147,0.74920,0.76387
2019,female,Homosexual,0.00396,91,13147,0.00289,0.00504
2019,female,Bisexual,0.00872,231,13147,0.00713,0.01030
2019,female,No answer/ Do not wish to respond,0.05309,640,13147,0.04926,0.05693
