year,age_gr,quintil_oecd,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,17-29 y.,1st Quintile,Heterosexual,0.81721,1106,1147,0.79483,0.83959
2016,17-29 y.,1st Quintile,No answer/ Do not wish to respond,0.02659,41,1147,0.01727,0.03590
2016,17-29 y.,2nd Quintile,Heterosexual,0.76907,742,742,0.73873,0.79942
2016,17-29 y.,3rd Quintile,Heterosexual,0.80193,603,603,0.77010,0.83377
2016,17-29 y.,4th Quintile,Heterosexual,0.80890,506,506,0.77461,0.84319
2016,17-29 y.,5th Quintile,Heterosexual,0.87239,384,384,0.83897,0.90580
2016,30-45 y.,1st Quintile,Heterosexual,0.85096,1407,1466,0.83272,0.86920
2016,30-45 y.,1st Quintile,No answer/ Do not wish to respond,0.04241,59,1466,0.03209,0.05273
2016,30-45 y.,2nd Quintile,Heterosexual,0.85629,1422,1469,0.83835,0.87424
2016,30-45 y.,2nd Quintile,No answer/ Do not wish to respond,0.03923,47,1469,0.02930,0.04916
2016,30-45 y.,3rd Quintile,Heterosexual,0.89957,1266,1266,0.88301,0.91614
2016,30-45 y.,4th Quintile,Heterosexual,0.91788,1253,1253,0.90267,0.93309
2016,30-45 y.,5th Quintile,Heterosexual,0.92051,1025,1025,0.90394,0.93708
2016,46-65 y.,1st Quintile,Heterosexual,0.80677,1181,1260,0.78496,0.82858
2016,46-65 y.,1st Quintile,No answer/ Do not wish to respond,0.06090,79,1260,0.04769,0.07411
2016,46-65 y.,2nd Quintile,Heterosexual,0.81835,1251,1326,0.79759,0.83911
2016,46-65 y.,2nd Quintile,No answer/ Do not wish to respond,0.06486,75,1326,0.05160,0.07813
2016,46-65 y.,3rd Quintile,Heterosexual,0.83398,1299,1368,0.81425,0.85370
2016,46-65 y.,3rd Quintile,No answer/ Do not wish to respond,0.05268,69,1368,0.04083,0.06452
2016,46-65 y.,4th Quintile,Heterosexual,0.83851,1586,1676,0.82089,0.85613
2016,46-65 y.,4th Quintile,No answer/ Do not wish to respond,0.05861,90,1676,0.04736,0.06986
2016,46-65 y.,5th Quintile,Heterosexual,0.87491,2073,2157,0.86094,0.88887
2016,46-65 y.,5th Quintile,No answer/ Do not wish to respond,0.04530,84,2157,0.03652,0.05408
2016,66 and older,1st Quintile,Heterosexual,0.67743,499,573,0.63912,0.71574
2016,66 and older,1st Quintile,No answer/ Do not wish to respond,0.13617,74,573,0.10806,0.16428
2016,66 and older,2nd Quintile,Heterosexual,0.72039,913,1014,0.69275,0.74803
2016,66 and older,2nd Quintile,No answer/ Do not wish to respond,0.10838,101,1014,0.08923,0.12752
2016,66 and older,3rd Quintile,Heterosexual,0.78046,817,901,0.75342,0.80750
2016,66 and older,3rd Quintile,No answer/ Do not wish to respond,0.09291,84,901,0.07394,0.11187
2016,66 and older,4th Quintile,Heterosexual,0.77355,657,710,0.74274,0.80436
2016,66 and older,4th Quintile,No answer/ Do not wish to respond,0.07873,53,710,0.05890,0.09855
2016,66 and older,5th Quintile,Heterosexual,0.85782,815,859,0.83445,0.88119
2016,66 and older,5th Quintile,No answer/ Do not wish to respond,0.04497,44,859,0.03111,0.05884
2019,17-29 y.,1st Quintile,Heterosexual,0.80435,981,1097,0.78087,0.82784
2019,17-29 y.,1st Quintile,Bisexual,0.03268,55,1097,0.02215,0.04320
2019,17-29 y.,1st Quintile,No answer/ Do not wish to respond,0.03053,61,1097,0.02035,0.04072
2019,17-29 y.,2nd Quintile,Heterosexual,0.80969,766,806,0.78257,0.83681
2019,17-29 y.,2nd Quintile,No answer/ Do not wish to respond,0.05149,40,806,0.03622,0.06675
2019,17-29 y.,3rd Quintile,Heterosexual,0.85952,647,647,0.83273,0.88632
2019,17-29 y.,4th Quintile,Heterosexual,0.89511,524,524,0.86884,0.92137
2019,17-29 y.,5th Quintile,Heterosexual,0.86883,394,394,0.83546,0.90221
2019,30-45 y.,1st Quintile,Heterosexual,0.87836,1127,1183,0.85973,0.89700
2019,30-45 y.,1st Quintile,No answer/ Do not wish to respond,0.03452,56,1183,0.02411,0.04493
2019,30-45 y.,2nd Quintile,Heterosexual,0.92549,1162,1216,0.91072,0.94025
2019,30-45 y.,2nd Quintile,No answer/ Do not wish to respond,0.05757,54,1216,0.04447,0.07067
2019,30-45 y.,3rd Quintile,Heterosexual,0.95572,1178,1178,0.94397,0.96747
2019,30-45 y.,4th Quintile,Heterosexual,0.94767,978,978,0.93371,0.96164
2019,30-45 y.,5th Quintile,Heterosexual,0.96289,889,889,0.95045,0.97532
2019,46-65 y.,1st Quintile,Heterosexual,0.88046,1202,1301,0.86283,0.89810
2019,46-65 y.,1st Quintile,No answer/ Do not wish to respond,0.08715,99,1301,0.07182,0.10248
2019,46-65 y.,2nd Quintile,Heterosexual,0.91782,1363,1438,0.90362,0.93202
2019,46-65 y.,2nd Quintile,No answer/ Do not wish to respond,0.06445,75,1438,0.05175,0.07714
2019,46-65 y.,3rd Quintile,Heterosexual,0.93810,1519,1595,0.92627,0.94993
2019,46-65 y.,3rd Quintile,No answer/ Do not wish to respond,0.05154,76,1595,0.04069,0.06240
2019,46-65 y.,4th Quintile,Heterosexual,0.94814,1749,1804,0.93790,0.95837
2019,46-65 y.,4th Quintile,No answer/ Do not wish to respond,0.03757,55,1804,0.02879,0.04634
2019,46-65 y.,5th Quintile,Heterosexual,0.96142,2382,2432,0.95376,0.96907
2019,46-65 y.,5th Quintile,No answer/ Do not wish to respond,0.02768,50,2432,0.02116,0.03420
2019,66 and older,1st Quintile,Heterosexual,0.82593,636,728,0.79837,0.85350
2019,66 and older,1st Quintile,No answer/ Do not wish to respond,0.15976,92,728,0.13313,0.18639
2019,66 and older,2nd Quintile,Heterosexual,0.84789,1063,1192,0.82749,0.86828
2019,66 and older,2nd Quintile,No answer/ Do not wish to respond,0.13723,129,1192,0.11769,0.15677
2019,66 and older,3rd Quintile,Heterosexual,0.88818,865,948,0.86811,0.90825
2019,66 and older,3rd Quintile,No answer/ Do not wish to respond,0.09984,83,948,0.08074,0.11893
2019,66 and older,4th Quintile,Heterosexual,0.90408,775,829,0.88402,0.92414
2019,66 and older,4th Quintile,No answer/ Do not wish to respond,0.07279,54,829,0.05510,0.09049
2019,66 and older,5th Quintile,Heterosexual,0.90461,882,933,0.88575,0.92347
2019,66 and older,5th Quintile,No answer/ Do not wish to respond,0.07489,51,933,0.05799,0.09179
