year,age_gr,regtyp,pld0298_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,17-29 y.,Urban regions,Heterosexual,0.80375,2279,2403,0.78786,0.81963
2016,17-29 y.,Urban regions,Bisexual,0.01260,45,2403,0.00814,0.01706
2016,17-29 y.,Urban regions,No answer/ Do not wish to respond,0.02499,79,2403,0.01875,0.03123
2016,17-29 y.,Rural regions,Heterosexual,0.78271,1064,1107,0.75840,0.80701
2016,17-29 y.,Rural regions,No answer/ Do not wish to respond,0.02997,43,1107,0.01992,0.04001
2016,30-45 y.,Urban regions,Heterosexual,0.89611,4288,4432,0.88713,0.90509
2016,30-45 y.,Urban regions,Homosexual,0.01968,44,4432,0.01559,0.02377
2016,30-45 y.,Urban regions,No answer/ Do not wish to respond,0.02431,100,4432,0.01978,0.02885
2016,30-45 y.,Rural regions,Heterosexual,0.85624,2086,2170,0.84147,0.87100
2016,30-45 y.,Rural regions,No answer/ Do not wish to respond,0.04121,84,2170,0.03285,0.04958
2016,46-65 y.,Urban regions,Heterosexual,0.85250,4769,5033,0.84270,0.86230
2016,46-65 y.,Urban regions,Homosexual,0.01356,44,5033,0.01037,0.01676
2016,46-65 y.,Urban regions,No answer/ Do not wish to respond,0.04912,220,5033,0.04315,0.05509
2016,46-65 y.,Rural regions,Heterosexual,0.81487,2622,2799,0.80048,0.82926
2016,46-65 y.,Rural regions,No answer/ Do not wish to respond,0.06564,177,2799,0.05646,0.07482
2016,66 and older,Urban regions,Heterosexual,0.77639,2362,2579,0.76031,0.79248
2016,66 and older,Urban regions,No answer/ Do not wish to respond,0.08825,217,2579,0.07730,0.09920
2016,66 and older,Rural regions,Heterosexual,0.72438,1339,1478,0.70159,0.74717
2016,66 and older,Rural regions,No answer/ Do not wish to respond,0.10420,139,1478,0.08862,0.11978
2019,17-29 y.,Urban regions,Heterosexual,0.84317,2318,2560,0.82908,0.85726
2019,17-29 y.,Urban regions,Homosexual,0.00994,33,2560,0.00609,0.01378
2019,17-29 y.,Urban regions,Bisexual,0.02076,103,2560,0.01524,0.02628
2019,17-29 y.,Urban regions,No answer/ Do not wish to respond,0.03482,106,2560,0.02772,0.04192
2019,17-29 y.,Rural regions,Heterosexual,0.81307,1056,1143,0.79046,0.83569
2019,17-29 y.,Rural regions,Bisexual,0.01847,35,1143,0.01066,0.02628
2019,17-29 y.,Rural regions,No answer/ Do not wish to respond,0.03175,52,1143,0.02158,0.04192
2019,30-45 y.,Urban regions,Heterosexual,0.93035,3807,4051,0.92251,0.93819
2019,30-45 y.,Urban regions,Homosexual,0.01012,58,4051,0.00704,0.01320
2019,30-45 y.,Urban regions,Bisexual,0.00903,60,4051,0.00612,0.01195
2019,30-45 y.,Urban regions,No answer/ Do not wish to respond,0.03485,126,4051,0.02920,0.04049
2019,30-45 y.,Rural regions,Heterosexual,0.93988,1973,2034,0.92955,0.95021
2019,30-45 y.,Rural regions,No answer/ Do not wish to respond,0.02623,61,2034,0.01928,0.03318
2019,46-65 y.,Urban regions,Heterosexual,0.93499,6155,6503,0.92900,0.94098
2019,46-65 y.,Urban regions,Homosexual,0.00732,66,6503,0.00525,0.00939
2019,46-65 y.,Urban regions,Bisexual,0.00390,50,6503,0.00239,0.00542
2019,46-65 y.,Urban regions,No answer/ Do not wish to respond,0.04534,232,6503,0.04029,0.05040
2019,46-65 y.,Rural regions,Heterosexual,0.93491,3491,3657,0.92691,0.94291
2019,46-65 y.,Rural regions,No answer/ Do not wish to respond,0.05409,166,3657,0.04676,0.06142
2019,66 and older,Urban regions,Heterosexual,0.87283,2924,3173,0.86123,0.88442
2019,66 and older,Urban regions,No answer/ Do not wish to respond,0.10988,249,3173,0.09900,0.12077
2019,66 and older,Rural regions,Heterosexual,0.87186,1676,1851,0.85663,0.88709
2019,66 and older,Rural regions,No answer/ Do not wish to respond,0.11234,175,1851,0.09795,0.12673
