"plh0182","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Hauptschulabschluss","kein Migrationshintergrund","82","0.0159813668801758","0.0126508020292399","0.0193119317311117"
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Realschulabschluss","kein Migrationshintergrund","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","AkademikerInnen","kein Migrationshintergrund","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Hauptschulabschluss","kein Migrationshintergrund","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Realschulabschluss","kein Migrationshintergrund","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","AkademikerInnen","kein Migrationshintergrund","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Hauptschulabschluss","kein Migrationshintergrund","75","0.0147922876059566","0.0115860858688276","0.0179984893430855"
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Hauptschulabschluss","direkter Migrationshintergrund","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Realschulabschluss","kein Migrationshintergrund","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","AkademikerInnen","kein Migrationshintergrund","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(noch) kein Abschluss","direkter Migrationshintergrund","32","0.0330254848875626","0.0222726614530389","0.0437783083220863"
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Hauptschulabschluss","kein Migrationshintergrund","112","0.0211236452062215","0.0173045751613082","0.0249427152511348"
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Hauptschulabschluss","direkter Migrationshintergrund","38","0.0236161666732095","0.0164833067058084","0.0307490266406106"
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Realschulabschluss","kein Migrationshintergrund","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","AkademikerInnen","kein Migrationshintergrund","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(noch) kein Abschluss","direkter Migrationshintergrund","51","0.0516801029134056","0.0383593272193484","0.0650008786074628"
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Hauptschulabschluss","kein Migrationshintergrund","136","0.0251879331258709","0.02102627896825","0.0293495872834919"
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Hauptschulabschluss","direkter Migrationshintergrund","45","0.030530881419028","0.0224495044333376","0.0386122584047183"
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Realschulabschluss","kein Migrationshintergrund","34","0.0189521474362632","0.0124911823363459","0.0254131125361806"
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(Fach-)Abitur","kein Migrationshintergrund","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(Fach-)Abitur","direkter Migrationshintergrund","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","AkademikerInnen","kein Migrationshintergrund","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(noch) kein Abschluss","direkter Migrationshintergrund","154","0.144472518412065","0.123318152942286","0.165626883881844"
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Hauptschulabschluss","kein Migrationshintergrund","689","0.128630018884668","0.119738381638836","0.1375216561305"
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Hauptschulabschluss","direkter Migrationshintergrund","217","0.138641846652009","0.122409258981529","0.154874434322489"
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Hauptschulabschluss","indirekter Migrationshintergrund","","","",""
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Realschulabschluss","kein Migrationshintergrund","151","0.0931915632916766","0.0794172752403843","0.106965851342969"
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Realschulabschluss","direkter Migrationshintergrund","","","",""
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Realschulabschluss","indirekter Migrationshintergrund","","","",""
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(Fach-)Abitur","kein Migrationshintergrund","53","0.0920268573630243","0.0686027011857505","0.115451013540298"
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(Fach-)Abitur","direkter Migrationshintergrund","48","0.166208817223265","0.122049490214352","0.210368144232178"
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","AkademikerInnen","kein Migrationshintergrund","53","0.0865229008507286","0.0651555030119471","0.10789029868951"
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","AkademikerInnen","direkter Migrationshintergrund","","","",""
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","AkademikerInnen","indirekter Migrationshintergrund","","","",""
"6 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"6 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(noch) kein Abschluss","direkter Migrationshintergrund","79","0.0740484554216904","0.0582925802531129","0.089804330590268"
"6 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"6 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","Hauptschulabschluss","kein Migrationshintergrund","492","0.091105400663441","0.0834628540695724","0.0987479472573095"
