year,pgisced97,sampreg,ple0019,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No answer / don't know,West,No,0.99307,240,240,0.98254,1.00359
2009,No answer / don't know,East,No,0.99305,83,83,0.97506,1.01103
2009,Pre-primary Level,West,No,0.99002,254,254,0.97776,1.00227
2009,Pre-primary Level,East,No,0.99742,54,54,0.98377,1.01107
2009,Primary Level,West,No,0.89066,135,135,0.83783,0.94350
2009,Lower Secondary Level,West,Yes,0.05071,83,1525,0.03969,0.06172
2009,Lower Secondary Level,West,No,0.94929,1442,1525,0.93828,0.96031
2009,Lower Secondary Level,East,No,0.94919,253,253,0.92208,0.97631
2009,Upper Secondary Level,West,Yes,0.05936,364,6669,0.05369,0.06503
2009,Upper Secondary Level,West,No,0.94064,6305,6669,0.93497,0.94631
2009,Upper Secondary Level,East,Yes,0.05730,99,2394,0.04799,0.06662
2009,Upper Secondary Level,East,No,0.94270,2295,2394,0.93338,0.95201
2009,Post-secondary Non-tertiary Level,West,Yes,0.06843,45,844,0.05139,0.08548
2009,Post-secondary Non-tertiary Level,West,No,0.93157,799,844,0.91452,0.94861
2009,Post-secondary Non-tertiary Level,East,No,0.96450,145,145,0.93428,0.99473
2009,First Stage of Tertiary Education,West,Yes,0.05869,49,959,0.04381,0.07358
2009,First Stage of Tertiary Education,West,No,0.94131,910,959,0.92642,0.95619
2009,First Stage of Tertiary Education,East,No,0.94595,350,350,0.92223,0.96967
2009,Second Stage of Tertiary Education,West,Yes,0.05613,128,2828,0.04765,0.06462
2009,Second Stage of Tertiary Education,West,No,0.94387,2700,2828,0.93538,0.95235
2009,Second Stage of Tertiary Education,East,Yes,0.04691,53,1207,0.03498,0.05885
2009,Second Stage of Tertiary Education,East,No,0.95309,1154,1207,0.94115,0.96502
2011,No answer / don't know,West,No,0.96695,251,251,0.94479,0.98911
2011,No answer / don't know,East,No,0.96190,49,49,0.90774,1.01606
2011,Pre-primary Level,West,No,0.98243,273,273,0.96681,0.99804
2011,Primary Level,West,No,0.90317,186,186,0.86056,0.94579
2011,Lower Secondary Level,West,Yes,0.06876,139,1869,0.05728,0.08023
2011,Lower Secondary Level,West,No,0.93124,1730,1869,0.91977,0.94272
2011,Lower Secondary Level,East,No,0.95738,282,282,0.93376,0.98100
2011,Upper Secondary Level,West,Yes,0.06571,482,7862,0.06023,0.07119
2011,Upper Secondary Level,West,No,0.93429,7380,7862,0.92881,0.93977
2011,Upper Secondary Level,East,Yes,0.07150,158,2628,0.06165,0.08135
