year,pgisced97,regtyp,ple0019,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No answer / don't know,Urban regions,No,0.99165,208,208,0.97925,1.00405
2009,No answer / don't know,Rural regions,No,0.99629,115,115,0.98512,1.00745
2009,Pre-primary Level,Urban regions,No,0.98788,215,215,0.97322,1.00254
2009,Pre-primary Level,Rural regions,No,0.99863,93,93,0.99105,1.00620
2009,Primary Level,Urban regions,No,0.89065,111,111,0.83233,0.94897
2009,Primary Level,Rural regions,No,0.92475,39,39,0.84087,1.00862
2009,Lower Secondary Level,Urban regions,Yes,0.06122,71,1190,0.04760,0.07485
2009,Lower Secondary Level,Urban regions,No,0.93878,1119,1190,0.92515,0.95240
2009,Lower Secondary Level,Rural regions,No,0.97176,576,576,0.95822,0.98530
2009,Upper Secondary Level,Urban regions,Yes,0.06211,303,5604,0.05579,0.06843
2009,Upper Secondary Level,Urban regions,No,0.93789,5301,5604,0.93157,0.94421
2009,Upper Secondary Level,Rural regions,Yes,0.05321,160,3459,0.04573,0.06070
2009,Upper Secondary Level,Rural regions,No,0.94679,3299,3459,0.93930,0.95427
2009,Post-secondary Non-tertiary Level,Urban regions,Yes,0.07215,41,736,0.05345,0.09086
2009,Post-secondary Non-tertiary Level,Urban regions,No,0.92785,695,736,0.90914,0.94655
2009,Post-secondary Non-tertiary Level,Rural regions,No,0.95913,249,249,0.93449,0.98377
2009,First Stage of Tertiary Education,Urban regions,Yes,0.06487,48,808,0.04788,0.08186
2009,First Stage of Tertiary Education,Urban regions,No,0.93513,760,808,0.91814,0.95212
2009,First Stage of Tertiary Education,Rural regions,No,0.95573,500,500,0.93768,0.97378
2009,Second Stage of Tertiary Education,Urban regions,Yes,0.05601,130,2827,0.04753,0.06448
2009,Second Stage of Tertiary Education,Urban regions,No,0.94399,2697,2827,0.93552,0.95247
2009,Second Stage of Tertiary Education,Rural regions,Yes,0.04841,51,1208,0.03631,0.06052
2009,Second Stage of Tertiary Education,Rural regions,No,0.95159,1157,1208,0.93948,0.96369
2011,No answer / don't know,Urban regions,No,0.98505,209,209,0.96856,1.00154
2011,No answer / don't know,Rural regions,No,0.92936,91,91,0.87643,0.98230
2011,Pre-primary Level,Urban regions,No,0.98326,227,227,0.96654,0.99999
2011,Pre-primary Level,Rural regions,No,0.98614,81,81,0.96052,1.01176
2011,Primary Level,Urban regions,No,0.90993,152,152,0.86427,0.95559
2011,Primary Level,Rural regions,No,0.89972,59,59,0.82242,0.97703
2011,Lower Secondary Level,Urban regions,Yes,0.07394,108,1409,0.06027,0.08761
2011,Lower Secondary Level,Urban regions,No,0.92606,1301,1409,0.91239,0.93973
2011,Lower Secondary Level,Rural regions,Yes,0.04942,46,757,0.03397,0.06487
2011,Lower Secondary Level,Rural regions,No,0.95058,711,757,0.93513,0.96603
2011,Upper Secondary Level,Urban regions,Yes,0.06993,403,6401,0.06368,0.07618
2011,Upper Secondary Level,Urban regions,No,0.93007,5998,6401,0.92382,0.93632
2011,Upper Secondary Level,Rural regions,Yes,0.06131,237,4089,0.05395,0.06866
2011,Upper Secondary Level,Rural regions,No,0.93869,3852,4089,0.93134,0.94605
2011,Post-secondary Non-tertiary Level,Urban regions,Yes,0.06899,61,874,0.05218,0.08580
2011,Post-secondary Non-tertiary Level,Urban regions,No,0.93101,813,874,0.91420,0.94782
2011,Post-secondary Non-tertiary Level,Rural regions,No,0.94520,312,312,0.91991,0.97050
2011,First Stage of Tertiary Education,Urban regions,Yes,0.06779,51,864,0.05102,0.08456
2011,First Stage of Tertiary Education,Urban regions,No,0.93221,813,864,0.91544,0.94898
2011,First Stage of Tertiary Education,Rural regions,No,0.95275,554,554,0.93506,0.97043
2011,Second Stage of Tertiary Education,Urban regions,Yes,0.05583,174,3232,0.04791,0.06374
2011,Second Stage of Tertiary Education,Urban regions,No,0.94417,3058,3232,0.93626,0.95209
2011,Second Stage of Tertiary Education,Rural regions,Yes,0.06179,80,1356,0.04897,0.07461
2011,Second Stage of Tertiary Education,Rural regions,No,0.93821,1276,1356,0.92539,0.95103
2013,No answer / don't know,Urban regions,No,0.98788,179,179,0.97181,1.00396
2013,No answer / don't know,Rural regions,No,0.97848,86,86,0.94763,1.00933
2013,Pre-primary Level,Urban regions,No,0.99350,181,181,0.98175,1.00524
2013,Pre-primary Level,Rural regions,No,0.99679,76,76,0.98397,1.00960
2013,Primary Level,Urban regions,No,0.87279,106,106,0.80906,0.93653
2013,Primary Level,Rural regions,No,0.86244,60,60,0.77455,0.95033
2013,Lower Secondary Level,Urban regions,Yes,0.08978,105,1206,0.07364,0.10592
