year,regtyp,ple0019,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,Yes,0.06038,613,11719,0.05606,0.06469
2009,Urban regions,No,0.93962,11106,11719,0.93531,0.94394
2009,Rural regions,Yes,0.04690,271,6299,0.04167,0.05212
2009,Rural regions,No,0.95310,6028,6299,0.94788,0.95833
2011,Urban regions,Yes,0.06594,821,13392,0.06174,0.07014
2011,Urban regions,No,0.93406,12571,13392,0.92986,0.93826
2011,Rural regions,Yes,0.05880,417,7353,0.05343,0.06418
2011,Rural regions,No,0.94120,6936,7353,0.93582,0.94657
2013,Urban regions,Yes,0.07975,910,12074,0.07492,0.08459
2013,Urban regions,No,0.92025,11164,12074,0.91541,0.92508
2013,Rural regions,Yes,0.06932,439,6792,0.06328,0.07536
2013,Rural regions,No,0.93068,6353,6792,0.92464,0.93672
2015,Urban regions,Yes,0.08333,1240,16200,0.07907,0.08758
2015,Urban regions,No,0.91667,14960,16200,0.91242,0.92093
2015,Rural regions,Yes,0.08074,644,8840,0.07506,0.08642
2015,Rural regions,No,0.91926,8196,8840,0.91358,0.92494
2017,Urban regions,Yes,0.08732,1405,17180,0.08309,0.09154
2017,Urban regions,No,0.91268,15775,17180,0.90846,0.91691
2017,Rural regions,Yes,0.07928,660,9369,0.07381,0.08476
2017,Rural regions,No,0.92072,8709,9369,0.91524,0.92619
2019,No answer / don't know,Yes,0.21272,129,554,0.17861,0.24683
2019,No answer / don't know,No,0.78728,425,554,0.75317,0.82139
2019,Urban regions,Yes,0.09774,1517,16391,0.09320,0.10229
2019,Urban regions,No,0.90226,14874,16391,0.89771,0.90680
2019,Rural regions,Yes,0.09073,709,8781,0.08473,0.09674
2019,Rural regions,No,0.90927,8072,8781,0.90326,0.91527
2021,Urban regions,Yes,0.10986,1257,13012,0.10449,0.11523
2021,Urban regions,No,0.89014,11755,13012,0.88477,0.89551
2021,Rural regions,Yes,0.10698,578,6151,0.09925,0.11470
2021,Rural regions,No,0.89302,5573,6151,0.88530,0.90075
