year,age_gr,sampreg,ple0019,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,West,Yes,0.01597,42,2131,0.01064,0.02129
2009,17-29 y.,West,No,0.98403,2089,2131,0.97871,0.98936
2009,17-29 y.,East,No,0.97551,708,708,0.96412,0.98690
2009,30-45 y.,West,Yes,0.06114,178,3610,0.05332,0.06896
2009,30-45 y.,West,No,0.93886,3432,3610,0.93104,0.94668
2009,30-45 y.,East,Yes,0.05586,37,1065,0.04206,0.06966
2009,30-45 y.,East,No,0.94414,1028,1065,0.93034,0.95794
2009,46-65 y.,West,Yes,0.08015,332,4689,0.07238,0.08792
2009,46-65 y.,West,No,0.91985,4357,4689,0.91208,0.92762
2009,46-65 y.,East,Yes,0.07985,105,1636,0.06672,0.09299
2009,46-65 y.,East,No,0.92015,1531,1636,0.90701,0.93328
2009,66 and older,West,Yes,0.05017,140,3047,0.04242,0.05793
2009,66 and older,West,No,0.94983,2907,3047,0.94207,0.95758
2009,66 and older,East,Yes,0.02942,34,1116,0.01950,0.03934
2009,66 and older,East,No,0.97058,1082,1116,0.96066,0.98050
2011,17-29 y.,West,Yes,0.02676,71,2322,0.02019,0.03333
2011,17-29 y.,West,No,0.97324,2251,2322,0.96667,0.97981
2011,17-29 y.,East,No,0.95684,644,644,0.94113,0.97254
2011,30-45 y.,West,Yes,0.06725,237,3773,0.05926,0.07524
2011,30-45 y.,West,No,0.93275,3536,3773,0.92476,0.94074
2011,30-45 y.,East,Yes,0.06221,55,1083,0.04782,0.07660
2011,30-45 y.,East,No,0.93779,1028,1083,0.92340,0.95218
2011,46-65 y.,West,Yes,0.09623,504,5891,0.08870,0.10376
2011,46-65 y.,West,No,0.90377,5387,5891,0.89624,0.91130
2011,46-65 y.,East,Yes,0.09396,151,1883,0.08078,0.10714
2011,46-65 y.,East,No,0.90604,1732,1883,0.89286,0.91922
2011,66 and older,West,Yes,0.03843,142,3854,0.03236,0.04450
2011,66 and older,West,No,0.96157,3712,3854,0.95550,0.96764
2011,66 and older,East,Yes,0.03867,50,1267,0.02805,0.04929
2011,66 and older,East,No,0.96133,1217,1267,0.95071,0.97195
2013,17-29 y.,West,Yes,0.03509,72,2034,0.02709,0.04309
2013,17-29 y.,West,No,0.96491,1962,2034,0.95691,0.97291
2013,17-29 y.,East,No,0.96278,479,479,0.94580,0.97975
2013,30-45 y.,West,Yes,0.08049,223,3160,0.07100,0.08998
2013,30-45 y.,West,No,0.91951,2937,3160,0.91002,0.92900
2013,30-45 y.,East,Yes,0.06034,52,913,0.04488,0.07579
2013,30-45 y.,East,No,0.93966,861,913,0.92421,0.95512
2013,46-65 y.,West,Yes,0.10861,564,5500,0.10038,0.11683
2013,46-65 y.,West,No,0.89139,4936,5500,0.88317,0.89962
2013,46-65 y.,East,Yes,0.09147,155,1819,0.07821,0.10472
2013,46-65 y.,East,No,0.90853,1664,1819,0.89528,0.92179
2013,66 and older,West,Yes,0.05867,202,3720,0.05112,0.06622
2013,66 and older,West,No,0.94133,3518,3720,0.93378,0.94888
2013,66 and older,East,Yes,0.05314,58,1218,0.04053,0.06574
2013,66 and older,East,No,0.94686,1160,1218,0.93426,0.95947
2015,17-29 y.,West,Yes,0.04735,138,3270,0.04007,0.05463
2015,17-29 y.,West,No,0.95265,3132,3270,0.94537,0.95993
2015,17-29 y.,East,Yes,0.05646,42,653,0.03875,0.07418
2015,17-29 y.,East,No,0.94354,611,653,0.92582,0.96125
2015,30-45 y.,West,Yes,0.07923,397,5893,0.07233,0.08612
2015,30-45 y.,West,No,0.92077,5496,5893,0.91388,0.92767
2015,30-45 y.,East,Yes,0.06196,103,1463,0.04960,0.07431
2015,30-45 y.,East,No,0.93804,1360,1463,0.92569,0.95040
2015,46-65 y.,West,Yes,0.11709,752,6959,0.10954,0.12465
2015,46-65 y.,West,No,0.88291,6207,6959,0.87535,0.89046
2015,46-65 y.,East,Yes,0.11474,193,1918,0.10047,0.12901
2015,46-65 y.,East,No,0.88526,1725,1918,0.87099,0.89953
2015,66 and older,West,Yes,0.06214,206,3665,0.05432,0.06996
2015,66 and older,West,No,0.93786,3459,3665,0.93004,0.94568
2015,66 and older,East,Yes,0.04999,53,1219,0.03775,0.06223
2015,66 and older,East,No,0.95001,1166,1219,0.93777,0.96225
2017,17-29 y.,West,Yes,0.05410,176,3619,0.04673,0.06147
2017,17-29 y.,West,No,0.94590,3443,3619,0.93853,0.95327
2017,17-29 y.,East,Yes,0.06122,48,740,0.04394,0.07851
2017,17-29 y.,East,No,0.93878,692,740,0.92149,0.95606
2017,30-45 y.,West,Yes,0.08665,409,5793,0.07941,0.09390
2017,30-45 y.,West,No,0.91335,5384,5793,0.90610,0.92059
2017,30-45 y.,East,Yes,0.06690,99,1464,0.05409,0.07970
2017,30-45 y.,East,No,0.93310,1365,1464,0.92030,0.94591
2017,46-65 y.,West,Yes,0.11739,852,7804,0.11025,0.12453
2017,46-65 y.,West,No,0.88261,6952,7804,0.87547,0.88975
2017,46-65 y.,East,Yes,0.10504,211,2169,0.09213,0.11794
2017,46-65 y.,East,No,0.89496,1958,2169,0.88206,0.90787
2017,66 and older,West,Yes,0.06324,219,3743,0.05544,0.07104
2017,66 and older,West,No,0.93676,3524,3743,0.92896,0.94456
2017,66 and older,East,Yes,0.04906,51,1217,0.03692,0.06120
2017,66 and older,East,No,0.95094,1166,1217,0.93880,0.96308
2019,17-29 y.,West,Yes,0.07326,233,3193,0.06422,0.08229
2019,17-29 y.,West,No,0.92674,2960,3193,0.91771,0.93578
2019,17-29 y.,East,Yes,0.11220,69,639,0.08771,0.13669
2019,17-29 y.,East,No,0.88780,570,639,0.86331,0.91229
2019,30-45 y.,West,Yes,0.09513,426,4929,0.08693,0.10332
2019,30-45 y.,West,No,0.90487,4503,4929,0.89668,0.91307
2019,30-45 y.,East,Yes,0.07840,116,1332,0.06396,0.09284
2019,30-45 y.,East,No,0.92160,1216,1332,0.90716,0.93604
2019,46-65 y.,West,Yes,0.12790,913,8114,0.12064,0.13517
2019,46-65 y.,West,No,0.87210,7201,8114,0.86483,0.87936
2019,46-65 y.,East,Yes,0.10810,228,2278,0.09534,0.12085
2019,46-65 y.,East,No,0.89190,2050,2278,0.87915,0.90466
2019,66 and older,West,Yes,0.07859,277,3868,0.07011,0.08707
2019,66 and older,West,No,0.92141,3591,3868,0.91293,0.92989
2019,66 and older,East,Yes,0.05457,75,1297,0.04220,0.06694
2019,66 and older,East,No,0.94543,1222,1297,0.93306,0.95780
2021,17-29 y.,West,Yes,0.08900,224,2704,0.07827,0.09974
2021,17-29 y.,West,No,0.91100,2480,2704,0.90026,0.92173
2021,17-29 y.,East,Yes,0.08416,48,476,0.05920,0.10913
2021,17-29 y.,East,No,0.91584,428,476,0.89087,0.94080
2021,30-45 y.,West,Yes,0.12296,377,4158,0.11297,0.13294
2021,30-45 y.,West,No,0.87704,3781,4158,0.86706,0.88703
2021,30-45 y.,East,Yes,0.09512,90,1047,0.07734,0.11290
2021,30-45 y.,East,No,0.90488,957,1047,0.88710,0.92266
2021,46-65 y.,West,Yes,0.14202,691,5745,0.13299,0.15104
2021,46-65 y.,West,No,0.85798,5054,5745,0.84896,0.86701
2021,46-65 y.,East,Yes,0.10274,152,1470,0.08721,0.11827
2021,46-65 y.,East,No,0.89726,1318,1470,0.88173,0.91279
2021,66 and older,West,Yes,0.08159,210,2710,0.07128,0.09190
2021,66 and older,West,No,0.91841,2500,2710,0.90810,0.92872
2021,66 and older,East,Yes,0.04903,44,854,0.03454,0.06352
2021,66 and older,East,No,0.95097,810,854,0.93648,0.96546
