year,bula_h,regtyp,ple0019,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,Urban regions,No,0.96539,186,186,0.93905,0.99173
2009,Schleswig-Holstein,Rural regions,No,0.97435,307,307,0.95664,0.99206
2009,Hamburg,Urban regions,No,0.92538,249,249,0.89268,0.95809
2009,Lower Saxony,Urban regions,Yes,0.04435,37,770,0.02980,0.05890
2009,Lower Saxony,Urban regions,No,0.95565,733,770,0.94110,0.97020
2009,Lower Saxony,Rural regions,Yes,0.04262,41,863,0.02913,0.05610
2009,Lower Saxony,Rural regions,No,0.95738,822,863,0.94390,0.97087
2009,Bremen,Urban regions,No,0.93095,116,116,0.88462,0.97729
2009,North Rhine-Westphalia,Urban regions,Yes,0.06084,174,3522,0.05294,0.06873
2009,North Rhine-Westphalia,Urban regions,No,0.93916,3348,3522,0.93127,0.94706
2009,North Rhine-Westphalia,Rural regions,No,0.92865,99,99,0.87768,0.97961
2009,Hesse,Urban regions,Yes,0.07853,60,997,0.06182,0.09524
2009,Hesse,Urban regions,No,0.92147,937,997,0.90476,0.93818
2009,Hesse,Rural regions,No,0.91924,205,205,0.88184,0.95663
2009,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.06564,53,775,0.04819,0.08309
2009,"Rhineland-Palatinate, Saarland",Urban regions,No,0.93436,722,775,0.91691,0.95181
2009,"Rhineland-Palatinate, Saarland",Rural regions,No,0.94650,237,237,0.91778,0.97521
2009,Baden-Wuerttemberg,Urban regions,Yes,0.05474,98,1917,0.04455,0.06492
2009,Baden-Wuerttemberg,Urban regions,No,0.94526,1819,1917,0.93508,0.95545
2009,Baden-Wuerttemberg,Rural regions,No,0.97594,184,184,0.95373,0.99814
2009,Bavaria,Urban regions,Yes,0.05882,70,1263,0.04584,0.07180
2009,Bavaria,Urban regions,No,0.94118,1193,1263,0.92820,0.95416
2009,Bavaria,Rural regions,Yes,0.04943,59,1346,0.03785,0.06102
2009,Bavaria,Rural regions,No,0.95057,1287,1346,0.93898,0.96215
2009,Berlin,Urban regions,Yes,0.06749,42,683,0.04866,0.08631
2009,Berlin,Urban regions,No,0.93251,641,683,0.91369,0.95134
2009,Brandenburg,Urban regions,No,0.94811,63,63,0.89290,1.00332
2009,Brandenburg,Rural regions,No,0.95861,695,695,0.94379,0.97343
2009,Mecklenburg-Western Pomerania,Rural regions,No,0.93149,392,392,0.90645,0.95653
2009,Saxony,Urban regions,No,0.93291,669,669,0.91394,0.95189
2009,Saxony,Rural regions,No,0.97107,653,653,0.95821,0.98394
2009,Saxony-Anhalt,Urban regions,No,0.97097,143,143,0.94336,0.99859
2009,Saxony-Anhalt,Rural regions,No,0.95815,594,594,0.94203,0.97426
2009,Thuringa,Urban regions,No,0.95790,229,229,0.93183,0.98397
2009,Thuringa,Rural regions,No,0.92955,553,553,0.90820,0.95090
2011,Schleswig-Holstein,Urban regions,No,0.96427,198,198,0.93835,0.99019
2011,Schleswig-Holstein,Rural regions,No,0.94104,423,423,0.91856,0.96351
2011,Hamburg,Urban regions,No,0.93940,290,290,0.91190,0.96691
2011,Lower Saxony,Urban regions,Yes,0.04946,47,861,0.03497,0.06395
2011,Lower Saxony,Urban regions,No,0.95054,814,861,0.93605,0.96503
2011,Lower Saxony,Rural regions,Yes,0.04932,54,1047,0.03620,0.06244
2011,Lower Saxony,Rural regions,No,0.95068,993,1047,0.93756,0.96380
2011,Bremen,Urban regions,No,0.92173,120,120,0.87347,0.96999
2011,North Rhine-Westphalia,Urban regions,Yes,0.06288,242,3996,0.05535,0.07040
2011,North Rhine-Westphalia,Urban regions,No,0.93712,3754,3996,0.92960,0.94465
2011,North Rhine-Westphalia,Rural regions,No,0.87900,122,122,0.82088,0.93711
