year,sampreg,sex,ple0019,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,male,Yes,0.04071,223,6411,0.03587,0.04555
2009,West,male,No,0.95929,6188,6411,0.95445,0.96413
2009,West,female,Yes,0.07248,469,7066,0.06644,0.07853
2009,West,female,No,0.92752,6597,7066,0.92147,0.93356
2009,East,male,Yes,0.03363,62,2187,0.02607,0.04119
2009,East,male,No,0.96637,2125,2187,0.95881,0.97393
2009,East,female,Yes,0.06893,130,2354,0.05869,0.07917
2009,East,female,No,0.93107,2224,2354,0.92083,0.94131
2011,West,male,Yes,0.04778,323,7459,0.04294,0.05262
2011,West,male,No,0.95222,7136,7459,0.94738,0.95706
2011,West,female,Yes,0.07807,631,8381,0.07233,0.08381
2011,West,female,No,0.92193,7750,8381,0.91619,0.92767
2011,East,male,Yes,0.04228,84,2330,0.03411,0.05046
2011,East,male,No,0.95772,2246,2330,0.94954,0.96589
2011,East,female,Yes,0.08753,200,2575,0.07661,0.09845
2011,East,female,No,0.91247,2375,2575,0.90155,0.92339
2013,West,male,Yes,0.06160,375,6731,0.05585,0.06734
2013,West,male,No,0.93840,6356,6731,0.93266,0.94415
2013,West,female,Yes,0.09369,686,7683,0.08718,0.10021
2013,West,female,No,0.90631,6997,7683,0.89979,0.91282
2013,East,male,Yes,0.04400,84,2103,0.03523,0.05276
2013,East,male,No,0.95600,2019,2103,0.94724,0.96477
2013,East,female,Yes,0.09221,204,2349,0.08051,0.10391
2013,East,female,No,0.90779,2145,2349,0.89609,0.91949
2015,West,male,Yes,0.06516,478,9061,0.06008,0.07024
2015,West,male,No,0.93484,8583,9061,0.92976,0.93992
2015,West,female,Yes,0.10056,1015,10726,0.09487,0.10626
2015,West,female,No,0.89944,9711,10726,0.89374,0.90513
2015,East,male,Yes,0.05248,115,2398,0.04355,0.06140
2015,East,male,No,0.94752,2283,2398,0.93860,0.95645
2015,East,female,Yes,0.10381,276,2855,0.09262,0.11500
2015,East,female,No,0.89619,2579,2855,0.88500,0.90738
2017,West,male,Yes,0.06572,543,9685,0.06078,0.07065
2017,West,male,No,0.93428,9142,9685,0.92935,0.93922
2017,West,female,Yes,0.10659,1113,11274,0.10089,0.11229
2017,West,female,No,0.89341,10161,11274,0.88771,0.89911
2017,East,male,Yes,0.04636,118,2576,0.03823,0.05448
2017,East,male,No,0.95364,2458,2576,0.94552,0.96177
2017,East,female,Yes,0.10541,291,3014,0.09444,0.11637
2017,East,female,No,0.89459,2723,3014,0.88363,0.90556
2019,Does not apply,female,No,0.89283,31,31,0.78214,1.00352
2019,West,male,Yes,0.07302,633,9601,0.06782,0.07823
2019,West,male,No,0.92698,8968,9601,0.92177,0.93218
2019,West,female,Yes,0.12443,1214,10501,0.11812,0.13074
2019,West,female,No,0.87557,9287,10501,0.86926,0.88188
2019,East,male,Yes,0.06103,154,2642,0.05190,0.07016
2019,East,male,No,0.93897,2488,2642,0.92984,0.94810
2019,East,female,Yes,0.11279,334,2903,0.10128,0.12430
2019,East,female,No,0.88721,2569,2903,0.87570,0.89872
2021,West,male,Yes,0.09075,530,7449,0.08423,0.09728
2021,West,male,No,0.90925,6919,7449,0.90272,0.91577
2021,West,female,Yes,0.13642,968,7863,0.12884,0.14401
2021,West,female,No,0.86358,6895,7863,0.85599,0.87116
2021,East,male,Yes,0.05952,104,1841,0.04871,0.07033
2021,East,male,No,0.94048,1737,1841,0.92967,0.95129
2021,East,female,Yes,0.10950,229,2004,0.09583,0.12318
2021,East,female,No,0.89050,1775,2004,0.87682,0.90417
