"ple0019","year","n","percent","lower_confidence","upper_confidence","NA","NA.1"
"Ja","2009","884","0.0559720242034198","0.0526156317290701","0.0593284166777695","",""
"Nein","2009","17134","0.94402797579658","0.94067158332223","0.94738436827093","",""
"Ja","2010","","","","","",""
"Nein","2010","","","","","",""
"Ja","2011","1238","0.0635144491103144","0.0601956712843433","0.0668332269362856","",""
"Nein","2011","19507","0.936485550889686","0.933166773063714","0.939804328715657","",""
"Ja","2012","","","","","",""
"Nein","2012","","","","","",""
"Ja","2013","1349","0.0763143351097078","0.0725257823453393","0.0801028878740763","",""
"Nein","2013","17517","0.923685664890292","0.919897112125924","0.927474217654661","",""
"Ja","2014","","","","","",""
"Nein","2014","","","","","",""
"Ja","2015","1884","0.0825951162301257","0.0791856323853529","0.0860046000748985","",""
"Nein","2015","23156","0.917404883769874","0.913995399925101","0.920814367614647","",""
"Ja","2016","","","","","",""
"Nein","2016","","","","","",""
"Ja","2017","2065","0.0849587901677747","0.0816049026466412","0.0883126776889082","",""
"Nein","2017","24484","0.915041209832225","0.911687322311092","0.918395097353359","",""
"Ja","2018","","","","","",""
"Nein","2018","","","","","",""
"Ja","2019","2367","0.0972577438407204","0.0936440888760197","0.100871398805421","",""
"Nein","2019","23461","0.90274225615928","0.899128601194579","0.906355911123981","",""
