"ple0019","year","migback","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Ja","2009","kein Migrationshintergrund","760","0.0555083157007311","0.0519210048250266","0.0590956265764356"
"Ja","2009","direkter Migrationshintergrund","103","0.0685452687845904","0.0563863623528583","0.0807041752163225"
"Ja","2009","indirekter Migrationshintergrund","21","","",""
"Ja","2009","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2009","kein Migrationshintergrund","14890","0.944491684299269","0.940904373423564","0.948078995174974"
"Nein","2009","direkter Migrationshintergrund","1556","0.93145473121541","0.919295824783678","0.943613637647142"
"Nein","2009","indirekter Migrationshintergrund","688","0.966956213278592","0.953798716183863","0.980113710373322"
"Nein","2009","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2010","kein Migrationshintergrund","","","",""
"Ja","2010","direkter Migrationshintergrund","","","",""
"Ja","2010","indirekter Migrationshintergrund","","","",""
"Ja","2010","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2010","kein Migrationshintergrund","","","",""
"Nein","2010","direkter Migrationshintergrund","","","",""
"Nein","2010","indirekter Migrationshintergrund","","","",""
"Nein","2010","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2011","kein Migrationshintergrund","1078","0.0640869052449108","0.0605029424463436","0.0676708680434781"
"Ja","2011","direkter Migrationshintergrund","115","0.0633464340941094","0.0527108548579726","0.0739820133302463"
"Ja","2011","indirekter Migrationshintergrund","45","0.0516730208771409","0.036256141334415","0.0670899004198668"
"Ja","2011","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2011","kein Migrationshintergrund","16860","0.935913094755089","0.932329131956522","0.939497057553656"
"Nein","2011","direkter Migrationshintergrund","1900","0.936653565905891","0.926017986669754","0.947289145142027"
"Nein","2011","indirekter Migrationshintergrund","747","0.948326979122859","0.932910099580133","0.963743858665585"
"Nein","2011","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2012","kein Migrationshintergrund","","","",""
"Ja","2012","direkter Migrationshintergrund","","","",""
"Ja","2012","indirekter Migrationshintergrund","","","",""
"Ja","2012","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2012","kein Migrationshintergrund","","","",""
"Nein","2012","direkter Migrationshintergrund","","","",""
"Nein","2012","indirekter Migrationshintergrund","","","",""
"Nein","2012","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2013","kein Migrationshintergrund","1186","0.0769579276462977","0.0728863997562879","0.0810294555363076"
"Ja","2013","direkter Migrationshintergrund","112","0.0720354430245546","0.059719762283858","0.0843511237652512"
"Ja","2013","indirekter Migrationshintergrund","51","0.0701470408147451","0.0513875990634153","0.0889064825660749"
"Ja","2013","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2013","kein Migrationshintergrund","15275","0.923042072353702","0.918970544463692","0.927113600243712"
"Nein","2013","direkter Migrationshintergrund","1581","0.927964556975445","0.915648876234749","0.940280237716142"
"Nein","2013","indirekter Migrationshintergrund","661","0.929852959185255","0.911093517433925","0.948612400936585"
"Nein","2013","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2014","kein Migrationshintergrund","","","",""
"Ja","2014","direkter Migrationshintergrund","","","",""
"Ja","2014","indirekter Migrationshintergrund","","","",""
"Ja","2014","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2014","kein Migrationshintergrund","","","",""
"Nein","2014","direkter Migrationshintergrund","","","",""
"Nein","2014","indirekter Migrationshintergrund","","","",""
"Nein","2014","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2015","kein Migrationshintergrund","1533","0.0852210910964419","0.0812623169312863","0.0891798652615974"
"Ja","2015","direkter Migrationshintergrund","253","0.075913969987566","0.0680039476587179","0.0838239923164142"
"Ja","2015","indirekter Migrationshintergrund","98","0.0575875121894743","0.0462572553882109","0.0689177689907377"
"Ja","2015","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2015","kein Migrationshintergrund","17576","0.914778908903558","0.910820134738403","0.918737683068714"
"Nein","2015","direkter Migrationshintergrund","4054","0.924086030012434","0.916176007683586","0.931996052341282"
"Nein","2015","indirekter Migrationshintergrund","1526","0.942412487810526","0.931082231009262","0.953742744611789"
"Nein","2015","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2016","kein Migrationshintergrund","","","",""
"Ja","2016","direkter Migrationshintergrund","","","",""
"Ja","2016","indirekter Migrationshintergrund","","","",""
"Ja","2016","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2016","kein Migrationshintergrund","","","",""
"Nein","2016","direkter Migrationshintergrund","","","",""
"Nein","2016","indirekter Migrationshintergrund","","","",""
"Nein","2016","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2017","kein Migrationshintergrund","1645","0.0874864352897957","0.0835912983719971","0.0913815722075943"
"Ja","2017","direkter Migrationshintergrund","314","0.0805031591313469","0.0726688893408629","0.0883374289218308"
"Ja","2017","indirekter Migrationshintergrund","106","0.0615139805239018","0.0501025107009576","0.072925450346846"
"Ja","2017","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2017","kein Migrationshintergrund","18568","0.912513564710204","0.908618427792406","0.916408701628003"
"Nein","2017","direkter Migrationshintergrund","4319","0.919496840868653","0.911662571078169","0.927331110659137"
"Nein","2017","indirekter Migrationshintergrund","1597","0.938486019476098","0.927074549653154","0.949897489299042"
"Nein","2017","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2018","kein Migrationshintergrund","","","",""
"Ja","2018","direkter Migrationshintergrund","","","",""
"Ja","2018","indirekter Migrationshintergrund","","","",""
"Ja","2018","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2018","kein Migrationshintergrund","","","",""
"Nein","2018","direkter Migrationshintergrund","","","",""
"Nein","2018","indirekter Migrationshintergrund","","","",""
"Nein","2018","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2019","kein Migrationshintergrund","1923","0.101539153574353","0.0973681402036909","0.105710166945015"
"Ja","2019","direkter Migrationshintergrund","277","0.0791697432797607","0.0706453859854138","0.0876941005741076"
"Ja","2019","indirekter Migrationshintergrund","167","0.0880244511161696","0.0750432222670532","0.101005679965286"
"Ja","2019","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2019","kein Migrationshintergrund","18221","0.898460846425647","0.894289833054985","0.902631859796309"
"Nein","2019","direkter Migrationshintergrund","3577","0.920830256720239","0.912305899425892","0.929354614014586"
"Nein","2019","indirekter Migrationshintergrund","1663","0.91197554888383","0.898994320034714","0.924956777732947"
"Nein","2019","Migrationshintergrund - n. w. differenzierbar","","","",""
