year,pgisced97,sex,ple0019,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No answer / don't know,male,No,0.99651,172,172,0.98767,1.00535
2009,No answer / don't know,female,No,0.98889,151,151,0.97211,1.00566
2009,Pre-primary Level,male,No,0.99892,168,168,0.99394,1.00390
2009,Pre-primary Level,female,No,0.98256,140,140,0.96080,1.00432
2009,Primary Level,male,No,0.97316,64,64,0.93325,1.01307
2009,Primary Level,female,No,0.83480,86,86,0.75586,0.91375
2009,Lower Secondary Level,male,No,0.96412,542,542,0.94844,0.97979
2009,Lower Secondary Level,female,Yes,0.05762,79,1232,0.04461,0.07064
2009,Lower Secondary Level,female,No,0.94238,1153,1232,0.92936,0.95539
2009,Upper Secondary Level,male,Yes,0.03921,135,4275,0.03339,0.04502
2009,Upper Secondary Level,male,No,0.96079,4140,4275,0.95498,0.96661
2009,Upper Secondary Level,female,Yes,0.07784,328,4788,0.07025,0.08543
2009,Upper Secondary Level,female,No,0.92216,4460,4788,0.91457,0.92975
2009,Post-secondary Non-tertiary Level,male,No,0.95491,374,374,0.93385,0.97597
2009,Post-secondary Non-tertiary Level,female,Yes,0.07860,37,607,0.05718,0.10003
2009,Post-secondary Non-tertiary Level,female,No,0.92140,570,607,0.89997,0.94282
2009,First Stage of Tertiary Education,male,Yes,0.04079,32,783,0.02693,0.05465
2009,First Stage of Tertiary Education,male,No,0.95921,751,783,0.94535,0.97307
2009,First Stage of Tertiary Education,female,Yes,0.08197,39,548,0.05898,0.10496
2009,First Stage of Tertiary Education,female,No,0.91803,509,548,0.89504,0.94102
2009,Second Stage of Tertiary Education,male,Yes,0.04656,84,2186,0.03773,0.05540
2009,Second Stage of Tertiary Education,male,No,0.95344,2102,2186,0.94460,0.96227
2009,Second Stage of Tertiary Education,female,Yes,0.06351,97,1849,0.05239,0.07463
2009,Second Stage of Tertiary Education,female,No,0.93649,1752,1849,0.92537,0.94761
2011,No answer / don't know,male,No,0.99581,155,155,0.98561,1.00601
2011,No answer / don't know,female,No,0.92931,145,145,0.88744,0.97117
2011,Pre-primary Level,male,No,0.98911,161,161,0.97302,1.00519
2011,Pre-primary Level,female,No,0.97861,147,147,0.95515,1.00208
2011,Primary Level,male,No,0.98879,84,84,0.96615,1.01144
2011,Primary Level,female,No,0.84854,127,127,0.78594,0.91113
2011,Lower Secondary Level,male,Yes,0.05321,34,666,0.03615,0.07027
2011,Lower Secondary Level,male,No,0.94679,632,666,0.92973,0.96385
2011,Lower Secondary Level,female,Yes,0.07230,120,1500,0.05919,0.08541
2011,Lower Secondary Level,female,No,0.92770,1380,1500,0.91459,0.94081
2011,Upper Secondary Level,male,Yes,0.04862,201,4901,0.04260,0.05464
2011,Upper Secondary Level,male,No,0.95138,4700,4901,0.94536,0.95740
