,Unnamed: 0,year,migback,sex,ple0019,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,No migration background,male,Yes,0.03874,245,17997,0.03486,0.04327
1,1,2009,No migration background,male,No,0.96126,7255,17997,0.94316,0.98648
2,2,2009,No migration background,female,Yes,0.07151,515,17997,0.06572,0.07653
3,3,2009,No migration background,female,No,0.92849,7638,17997,0.90787,0.94772
4,4,2009,Direct migration background,male,Yes,0.05129,35,17997,0.03715,0.06644
5,5,2009,Direct migration background,male,No,0.94871,725,17997,0.88901,1.00574
6,6,2009,Direct migration background,female,Yes,0.08406,68,17997,0.06698,0.10537
7,7,2009,Direct migration background,female,No,0.91594,831,17997,0.86539,0.98955
8,8,2009,Indirect migration background,male,No,1.0,333,17997,0.90573,1.11535
9,9,2009,Indirect migration background,female,No,1.0,352,17997,0.90738,1.11167
10,10,2011,No migration background,male,Yes,0.04859,359,20735,0.04435,0.05415
11,11,2011,No migration background,male,No,0.95141,8163,20735,0.93098,0.97017
12,12,2011,No migration background,female,Yes,0.07895,719,20735,0.0734,0.08409
13,13,2011,No migration background,female,No,0.92105,8699,20735,0.90403,0.94062
14,14,2011,Direct migration background,male,Yes,0.03806,38,20735,0.02685,0.04993
15,15,2011,Direct migration background,male,No,0.96194,854,20735,0.90162,1.01817
16,16,2011,Direct migration background,female,Yes,0.08704,77,20735,0.07099,0.10434
17,17,2011,Direct migration background,female,No,0.91296,1046,20735,0.85805,0.97328
18,18,2011,Indirect migration background,male,No,1.0,365,20735,0.89285,1.13042
19,19,2011,Indirect migration background,female,Yes,0.07167,35,20735,0.0488,0.09712
20,20,2011,Indirect migration background,female,No,0.92833,380,20735,0.83052,1.03689
21,21,2013,No migration background,male,Yes,0.05821,406,18848,0.0531,0.06375
22,22,2013,No migration background,male,No,0.94179,7346,18848,0.92323,0.96461
23,23,2013,No migration background,female,Yes,0.09359,778,18848,0.08733,0.10061
24,24,2013,No migration background,female,No,0.90641,7906,18848,0.88721,0.92314
25,25,2013,Direct migration background,male,Yes,0.05673,35,18848,0.03753,0.07749
26,26,2013,Direct migration background,male,No,0.94327,710,18848,0.86233,1.01686
27,27,2013,Direct migration background,female,Yes,0.09221,81,18848,0.0721,0.11691
28,28,2013,Direct migration background,female,No,0.90779,904,18848,0.84624,0.97056
29,29,2013,Indirect migration background,male,No,1.0,319,18848,0.87415,1.15865
30,30,2013,Indirect migration background,female,Yes,0.09956,31,18848,0.06374,0.14609
31,31,2013,Indirect migration background,female,No,0.90044,332,18848,0.8097,0.99553
32,32,2015,No migration background,male,Yes,0.06556,489,25010,0.05982,0.07292
33,33,2015,No migration background,male,No,0.93444,8268,25010,0.91315,0.95861
