year,quintil_oecd,regtyp,ple0019,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,Urban regions,Yes,0.010715077839280485,137,18013,0.01069066613216504,0.01073948954639593
2009,1st Quintile,Urban regions,No,0.11872860949199628,1677,18013,0.11865191356214719,0.11880530542184536
2009,1st Quintile,Rural regions,Yes,0.004560596959214876,73,18013,0.004544621327098033,0.004576572591331719
2009,1st Quintile,Rural regions,No,0.06013882016752,992,18013,0.06008245002947559,0.06019519030556441
2009,2nd Quintile,Urban regions,Yes,0.00809842386149074,97,18013,0.00807717310804649,0.00811967461493499
2009,2nd Quintile,Urban regions,No,0.11713952118139734,1769,18013,0.11706327158470274,0.11721577077809194
2009,2nd Quintile,Rural regions,Yes,0.002234490084628512,45,18013,0.002223294590918353,0.002245685578338671
2009,2nd Quintile,Rural regions,No,0.0640717254520969,1255,18013,0.06401366314555969,0.06412978775863411
2009,3rd Quintile,Urban regions,Yes,0.00635458177879799,89,18013,0.0063357409937689815,0.006373422563826999
2009,3rd Quintile,Urban regions,No,0.11840620106842635,1934,18013,0.1183295953344969,0.1184828068023558
2009,3rd Quintile,Rural regions,Yes,0.003101159588846691,47,18013,0.0030879761899156397,0.0031143429877777424
2009,3rd Quintile,Rural regions,No,0.07132976083647627,1364,18013,0.07126873609635787,0.07139078557659467
2009,4th Quintile,Urban regions,Yes,0.007497121067629246,128,18013,0.007476668259683715,0.007517573875574776
2009,4th Quintile,Urban regions,No,0.12997503158132157,2325,18013,0.1298952990385251,0.13005476412411804
2009,4th Quintile,Rural regions,Yes,0.0028170818033851877,53,18013,0.0028045149388095394,0.002829648667960836
2009,4th Quintile,Rural regions,No,0.061947714842302826,1226,18013,0.06189055829860405,0.0620048713860016
2009,5th Quintile,Urban regions,Yes,0.00822020602042032,162,18013,0.008198797395679502,0.00824161464516114
2009,5th Quintile,Urban regions,No,0.14983354417059905,3362,18013,0.14974891963476578,0.14991816870643232
2009,5th Quintile,Rural regions,Yes,0.0024619865471682684,53,18013,0.0024502362904366493,0.0024737368038998874
2009,5th Quintile,Rural regions,No,0.05236834565700119,1225,18013,0.05231552619205461,0.05242116512194778
2011,1st Quintile,Urban regions,Yes,0.012275256104629624,143,15662,0.012243610718507754,0.012306901490751495
