year,quintil_oecd,sampreg,ple0019,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,West,Yes,0.08230,157,17993,0.08213,0.08247
2009,1st Quintile,West,No,0.91770,1792,17993,0.91753,0.91787
2009,1st Quintile,East,Yes,0.06744,53,17993,0.06717,0.06771
2009,1st Quintile,East,No,0.93256,877,17993,0.93229,0.93283
2009,2nd Quintile,West,Yes,0.05769,103,17993,0.05755,0.05783
2009,2nd Quintile,West,No,0.94231,1971,17993,0.94217,0.94245
2009,2nd Quintile,East,Yes,0.04184,39,17993,0.04162,0.04206
2009,2nd Quintile,East,No,0.95816,1053,17993,0.95794,0.95838
2009,3rd Quintile,West,Yes,0.04509,96,17993,0.04496,0.04522
2009,3rd Quintile,West,No,0.95491,2259,17993,0.95478,0.95504
2009,3rd Quintile,East,Yes,0.05549,40,17993,0.05523,0.05574
2009,3rd Quintile,East,No,0.94451,1039,17993,0.94426,0.94477
2009,4th Quintile,West,Yes,0.05117,141,17993,0.05105,0.05130
2009,4th Quintile,West,No,0.94883,2823,17993,0.94870,0.94895
2009,4th Quintile,East,Yes,0.05000,40,17993,0.04970,0.05030
2009,4th Quintile,East,No,0.95000,728,17993,0.94970,0.95030
2009,5th Quintile,West,Yes,0.05236,195,17993,0.05224,0.05248
2009,5th Quintile,West,No,0.94764,3935,17993,0.94752,0.94776
2009,5th Quintile,East,No,1.00000,652,17993,1.00000,1.00000
2011,1st Quintile,West,Yes,0.09970,153,15638,0.09946,0.09994
2011,1st Quintile,West,No,0.90030,1482,15638,0.90006,0.90054
2011,1st Quintile,East,Yes,0.09175,64,15638,0.09136,0.09214
2011,1st Quintile,East,No,0.90825,763,15638,0.90786,0.90864
2011,2nd Quintile,West,Yes,0.06627,108,15638,0.06608,0.06647
2011,2nd Quintile,West,No,0.93373,1649,15638,0.93353,0.93392
2011,2nd Quintile,East,Yes,0.05726,49,15638,0.05696,0.05756
2011,2nd Quintile,East,No,0.94274,956,15638,0.94244,0.94304
2011,3rd Quintile,West,Yes,0.05538,124,15638,0.05522,0.05555
2011,3rd Quintile,West,No,0.94462,2062,15638,0.94445,0.94478
2011,3rd Quintile,East,Yes,0.05734,51,15638,0.05703,0.05766
2011,3rd Quintile,East,No,0.94266,833,15638,0.94234,0.94297
2011,4th Quintile,West,Yes,0.05841,143,15638,0.05825,0.05857
2011,4th Quintile,West,No,0.94159,2415,15638,0.94143,0.94175
2011,4th Quintile,East,Yes,0.06987,42,15638,0.06947,0.07027
2011,4th Quintile,East,No,0.93013,618,15638,0.92973,0.93053
2011,5th Quintile,West,Yes,0.05913,193,15638,0.05898,0.05928
2011,5th Quintile,West,No,0.94087,3431,15638,0.94072,0.94102
2011,5th Quintile,East,No,1.00000,502,15638,1.00000,1.00000
2013,1st Quintile,West,Yes,0.11545,221,18862,0.11521,0.11569
2013,1st Quintile,West,No,0.88455,1876,18862,0.88431,0.88479
2013,1st Quintile,East,Yes,0.08867,86,18862,0.08833,0.08900
2013,1st Quintile,East,No,0.91133,920,18862,0.91100,0.91167
2013,2nd Quintile,West,Yes,0.08482,184,18862,0.08462,0.08502
2013,2nd Quintile,West,No,0.91518,2104,18862,0.91498,0.91538
2013,2nd Quintile,East,Yes,0.05464,58,18862,0.05437,0.05492
2013,2nd Quintile,East,No,0.94536,1090,18862,0.94508,0.94563
2013,3rd Quintile,West,Yes,0.07282,185,18862,0.07264,0.07299
2013,3rd Quintile,West,No,0.92718,2471,18862,0.92701,0.92736
2013,3rd Quintile,East,Yes,0.06866,64,18862,0.06834,0.06898
2013,3rd Quintile,East,No,0.93134,872,18862,0.93102,0.93166
2013,4th Quintile,West,Yes,0.06849,220,18862,0.06833,0.06864
2013,4th Quintile,West,No,0.93151,2943,18862,0.93136,0.93167
2013,4th Quintile,East,Yes,0.06263,48,18862,0.06229,0.06298
2013,4th Quintile,East,No,0.93737,727,18862,0.93702,0.93771
2013,5th Quintile,West,Yes,0.06415,251,18862,0.06401,0.06429
2013,5th Quintile,West,No,0.93585,3955,18862,0.93571,0.93599
2013,5th Quintile,East,Yes,0.06354,32,18862,0.06310,0.06397
2013,5th Quintile,East,No,0.93646,555,18862,0.93603,0.93690
2015,1st Quintile,West,Yes,0.12138,404,25036,0.12117,0.12159
2015,1st Quintile,West,No,0.87862,3322,25036,0.87841,0.87883
2015,1st Quintile,East,Yes,0.11038,127,25036,0.11002,0.11074
2015,1st Quintile,East,No,0.88962,1154,25036,0.88926,0.88998
2015,2nd Quintile,West,Yes,0.09130,295,25036,0.09112,0.09148
2015,2nd Quintile,West,No,0.90870,3489,25036,0.90852,0.90888
2015,2nd Quintile,East,Yes,0.08434,108,25036,0.08403,0.08464
2015,2nd Quintile,East,No,0.91566,1389,25036,0.91536,0.91597
2015,3rd Quintile,West,Yes,0.08047,268,25036,0.08031,0.08064
2015,3rd Quintile,West,No,0.91953,3565,25036,0.91936,0.91969
2015,3rd Quintile,East,Yes,0.05997,64,25036,0.05968,0.06026
2015,3rd Quintile,East,No,0.94003,983,25036,0.93974,0.94032
2015,4th Quintile,West,Yes,0.06935,251,25036,0.06921,0.06950
2015,4th Quintile,West,No,0.93065,3673,25036,0.93050,0.93079
2015,4th Quintile,East,Yes,0.06322,60,25036,0.06289,0.06355
2015,4th Quintile,East,No,0.93678,783,25036,0.93645,0.93711
2015,5th Quintile,West,Yes,0.06678,275,25036,0.06664,0.06691
2015,5th Quintile,West,No,0.93322,4242,25036,0.93309,0.93336
2015,5th Quintile,East,Yes,0.04892,32,25036,0.04854,0.04931
2015,5th Quintile,East,No,0.95108,552,25036,0.95069,0.95146
2017,1st Quintile,West,Yes,0.14697,419,22809,0.14673,0.14721
2017,1st Quintile,West,No,0.85303,3071,22809,0.85279,0.85327
