year,regtyp,sex,ple0019,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,male,Yes,0.04586,208,5553,0.04035,0.05136
2009,Urban regions,male,No,0.95414,5345,5553,0.94864,0.95965
2009,Urban regions,female,Yes,0.07414,405,6166,0.06760,0.08068
2009,Urban regions,female,No,0.92586,5761,6166,0.91932,0.93240
2009,Rural regions,male,Yes,0.02579,77,3045,0.02016,0.03142
2009,Rural regions,male,No,0.97421,2968,3045,0.96858,0.97984
2009,Rural regions,female,Yes,0.06696,194,3254,0.05837,0.07555
2009,Rural regions,female,No,0.93304,3060,3254,0.92445,0.94163
2011,Urban regions,male,Yes,0.05054,279,6271,0.04511,0.05596
2011,Urban regions,male,No,0.94946,5992,6271,0.94404,0.95489
2011,Urban regions,female,Yes,0.08060,542,7121,0.07428,0.08692
2011,Urban regions,female,No,0.91940,6579,7121,0.91308,0.92572
2011,Rural regions,male,Yes,0.03894,128,3518,0.03254,0.04533
2011,Rural regions,male,No,0.96106,3390,3518,0.95467,0.96746
2011,Rural regions,female,Yes,0.07802,289,3835,0.06953,0.08651
2011,Rural regions,female,No,0.92198,3546,3835,0.91349,0.93047
2013,Urban regions,male,Yes,0.06325,321,5620,0.05688,0.06961
2013,Urban regions,male,No,0.93675,5299,5620,0.93039,0.94312
2013,Urban regions,female,Yes,0.09520,589,6454,0.08804,0.10236
2013,Urban regions,female,No,0.90480,5865,6454,0.89764,0.91196
2013,Rural regions,male,Yes,0.04837,138,3214,0.04096,0.05579
2013,Rural regions,male,No,0.95163,3076,3214,0.94421,0.95904
2013,Rural regions,female,Yes,0.08985,301,3578,0.08048,0.09922
2013,Rural regions,female,No,0.91015,3277,3578,0.90078,0.91952
2015,Urban regions,male,Yes,0.06570,404,7385,0.06005,0.07135
2015,Urban regions,male,No,0.93430,6981,7385,0.92865,0.93995
2015,Urban regions,female,Yes,0.09997,836,8815,0.09370,0.10623
2015,Urban regions,female,No,0.90003,7979,8815,0.89377,0.90630
2015,Rural regions,male,Yes,0.05704,189,4074,0.04992,0.06417
2015,Rural regions,male,No,0.94296,3885,4074,0.93583,0.95008
2015,Rural regions,female,Yes,0.10362,455,4766,0.09496,0.11227
2015,Rural regions,female,No,0.89638,4311,4766,0.88773,0.90504
2017,Urban regions,male,Yes,0.06613,465,7885,0.06065,0.07162
2017,Urban regions,male,No,0.93387,7420,7885,0.92838,0.93935
2017,Urban regions,female,Yes,0.10747,940,9295,0.10117,0.11377
2017,Urban regions,female,No,0.89253,8355,9295,0.88623,0.89883
2017,Rural regions,male,Yes,0.05418,196,4376,0.04748,0.06089
2017,Rural regions,male,No,0.94582,4180,4376,0.93911,0.95252
2017,Rural regions,female,Yes,0.10398,464,4993,0.09551,0.11245
2017,Rural regions,female,No,0.89602,4529,4993,0.88755,0.90449
2019,No answer / don't know,male,Yes,0.18821,59,297,0.14368,0.23274
2019,No answer / don't know,male,No,0.81179,238,297,0.76726,0.85632
2019,No answer / don't know,female,Yes,0.23331,66,251,0.18088,0.28574
2019,No answer / don't know,female,No,0.76669,185,251,0.71426,0.81912
2019,Urban regions,male,Yes,0.07123,514,7774,0.06551,0.07694
2019,Urban regions,male,No,0.92877,7260,7774,0.92306,0.93449
2019,Urban regions,female,Yes,0.12277,1003,8617,0.11584,0.12970
2019,Urban regions,female,No,0.87723,7614,8617,0.87030,0.88416
2019,Rural regions,male,Yes,0.06449,224,4208,0.05707,0.07192
2019,Rural regions,male,No,0.93551,3984,4208,0.92808,0.94293
2019,Rural regions,female,Yes,0.11636,485,4573,0.10707,0.12566
2019,Rural regions,female,No,0.88364,4088,4573,0.87434,0.89293
2021,Urban regions,male,Yes,0.08500,445,6327,0.07813,0.09188
2021,Urban regions,male,No,0.91500,5882,6327,0.90812,0.92187
2021,Urban regions,female,Yes,0.13299,807,6678,0.12484,0.14113
2021,Urban regions,female,No,0.86701,5871,6678,0.85887,0.87516
2021,Rural regions,male,Yes,0.08638,189,2963,0.07627,0.09650
2021,Rural regions,male,No,0.91362,2774,2963,0.90350,0.92373
2021,Rural regions,female,Yes,0.12791,389,3188,0.11632,0.13951
2021,Rural regions,female,No,0.87209,2799,3188,0.86049,0.88368
