,Unnamed: 0,year,regtyp,sampreg,ple0019,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,Urban regions,West,Yes,0.06065,542,18018,0.05581,0.06553
1,1,2009,Urban regions,West,No,0.93935,9607,18018,0.92,0.95501
2,2,2009,Urban regions,East,Yes,0.05951,71,18018,0.04666,0.07594
3,3,2009,Urban regions,East,No,0.94049,1462,18018,0.89598,0.99062
4,4,2009,Rural regions,West,Yes,0.04625,150,18018,0.04073,0.05338
5,5,2009,Rural regions,West,No,0.95375,3178,18018,0.92315,0.98459
6,6,2009,Rural regions,East,Yes,0.04722,121,18018,0.03822,0.05429
7,7,2009,Rural regions,East,No,0.95278,2887,18018,0.91846,0.99276
8,8,2011,Urban regions,West,Yes,0.06499,708,20745,0.0612,0.07024
9,9,2011,Urban regions,West,No,0.93501,10990,20745,0.92003,0.95019
10,10,2011,Urban regions,East,Yes,0.07643,112,20745,0.06529,0.08997
11,11,2011,Urban regions,East,No,0.92357,1550,20745,0.87186,0.96933
12,12,2011,Rural regions,West,Yes,0.05844,246,20745,0.05178,0.06603
13,13,2011,Rural regions,West,No,0.94156,3896,20745,0.91459,0.96967
14,14,2011,Rural regions,East,Yes,0.05869,172,20745,0.05101,0.06772
15,15,2011,Rural regions,East,No,0.94131,3071,20745,0.91767,0.97954
16,16,2013,Urban regions,West,Yes,0.07983,792,18866,0.07565,0.08467
17,17,2013,Urban regions,West,No,0.92017,9744,18866,0.90047,0.93815
18,18,2013,Urban regions,East,Yes,0.07557,116,18866,0.06469,0.08926
19,19,2013,Urban regions,East,No,0.92443,1395,18866,0.88208,0.96967
20,20,2013,Rural regions,West,Yes,0.07199,269,18866,0.06404,0.07928
21,21,2013,Rural regions,West,No,0.92801,3609,18866,0.90167,0.95969
22,22,2013,Rural regions,East,Yes,0.0651,172,18866,0.05564,0.07436
23,23,2013,Rural regions,East,No,0.9349,2769,18866,0.89904,0.9684
24,24,2015,Urban regions,West,Yes,0.0834,1084,25040,0.07687,0.08914
25,25,2015,Urban regions,West,No,0.9166,13248,25040,0.89787,0.93259
26,26,2015,Urban regions,East,Yes,0.08666,153,25040,0.07069,0.10322
27,27,2015,Urban regions,East,No,0.91334,1686,25040,0.85662,0.9623
28,28,2015,Rural regions,West,Yes,0.08447,409,25040,0.07628,0.0925
29,29,2015,Rural regions,West,No,0.91553,5046,25040,0.88189,0.94297
30,30,2015,Rural regions,East,Yes,0.07356,238,25040,0.06209,0.08628
31,31,2015,Rural regions,East,No,0.92644,3176,25040,0.88547,0.96297
32,32,2017,Urban regions,West,Yes,0.08774,1241,26549,0.0837,0.09281
33,33,2017,Urban regions,West,No,0.91226,13957,26549,0.8936,0.92497
34,34,2017,Urban regions,East,Yes,0.08375,161,26549,0.07026,0.09882
35,35,2017,Urban regions,East,No,0.91625,1788,26549,0.86198,0.96849
36,36,2017,Rural regions,West,Yes,0.08301,415,26549,0.07473,0.09107
37,37,2017,Rural regions,West,No,0.91699,5346,26549,0.89007,0.94833
38,38,2017,Rural regions,East,Yes,0.07143,248,26549,0.06139,0.08172
39,39,2017,Rural regions,East,No,0.92857,3393,26549,0.89117,0.96348
40,40,2019,Urban regions,West,Yes,0.09688,1333,25171,0.08995,0.10436
41,41,2019,Urban regions,West,No,0.90312,13134,25171,0.8837,0.92061
42,42,2019,Urban regions,East,Yes,0.10315,180,25171,0.08187,0.12473
43,43,2019,Urban regions,East,No,0.89685,1718,25171,0.85167,0.9476
44,44,2019,Rural regions,West,Yes,0.09785,419,25171,0.08741,0.10788
45,45,2019,Rural regions,West,No,0.90215,4813,25171,0.8751,0.93726
46,46,2019,Rural regions,East,Yes,0.07768,294,25171,0.06884,0.08761
47,47,2019,Rural regions,East,No,0.92232,3280,25171,0.88049,0.9633
48,48,2021,Urban regions,West,Yes,0.11239,1130,19163,0.10357,0.12026
49,49,2021,Urban regions,West,No,0.88761,10368,19163,0.86205,0.91034
50,50,2021,Urban regions,East,Yes,0.08144,124,19163,0.06638,0.09906
51,51,2021,Urban regions,East,No,0.91856,1374,19163,0.84856,0.99648
52,52,2021,Rural regions,West,Yes,0.11667,371,19163,0.10211,0.13292
53,53,2021,Rural regions,West,No,0.88333,3447,19163,0.84275,0.92591
54,54,2021,Rural regions,East,Yes,0.08625,210,19163,0.07397,0.09851
55,55,2021,Rural regions,East,No,0.91375,2139,19163,0.86402,0.96868
