"ple0019","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Ja","2009","17-34","kein Migrationshintergrund","73","0.0289966676269715","0.0231489970307681","0.0348443382231749"
"Ja","2009","17-34","direkter Migrationshintergrund","","","",""
"Ja","2009","17-34","indirekter Migrationshintergrund","","","",""
"Ja","2009","35-65","kein Migrationshintergrund","530","0.0719156718369018","0.0664763564741897","0.0773549871996139"
"Ja","2009","35-65","direkter Migrationshintergrund","80","0.0850631695445726","0.0680011983323822","0.102125140756763"
"Ja","2009","35-65","indirekter Migrationshintergrund","","","",""
"Ja","2009","66 +","kein Migrationshintergrund","157","0.0439826665816844","0.0374808721602213","0.0504844610031474"
"Ja","2009","66 +","direkter Migrationshintergrund","","","",""
"Ja","2009","66 +","indirekter Migrationshintergrund","","","",""
"Nein","2009","17-34","kein Migrationshintergrund","3090","0.971003332373028","0.965155661776825","0.976851002969232"
"Nein","2009","17-34","direkter Migrationshintergrund","290","0.977607574280275","0.960752328664323","0.994462819896227"
"Nein","2009","17-34","indirekter Migrationshintergrund","499","0.971206657361702","0.956721774796298","0.985691539927105"
"Nein","2009","35-65","kein Migrationshintergrund","8136","0.928084328163098","0.922645012800386","0.93352364352581"
"Nein","2009","35-65","direkter Migrationshintergrund","947","0.914936830455427","0.897874859243237","0.931998801667618"
"Nein","2009","35-65","indirekter Migrationshintergrund","183","0.951891311741533","0.921542838574758","0.982239784908309"
"Nein","2009","66 +","kein Migrationshintergrund","3664","0.956017333418316","0.949515538996853","0.962519127839779"
"Nein","2009","66 +","direkter Migrationshintergrund","319","0.935283277020629","0.908977066219929","0.961589487821329"
"Nein","2009","66 +","indirekter Migrationshintergrund","","","",""
"Ja","2010","17-34","kein Migrationshintergrund","","","",""
"Ja","2010","17-34","direkter Migrationshintergrund","","","",""
"Ja","2010","17-34","indirekter Migrationshintergrund","","","",""
"Ja","2010","35-65","kein Migrationshintergrund","","","",""
"Ja","2010","35-65","direkter Migrationshintergrund","","","",""
"Ja","2010","35-65","indirekter Migrationshintergrund","","","",""
"Ja","2010","66 +","kein Migrationshintergrund","","","",""
"Ja","2010","66 +","direkter Migrationshintergrund","","","",""
"Ja","2010","66 +","indirekter Migrationshintergrund","","","",""
"Nein","2010","17-34","kein Migrationshintergrund","","","",""
"Nein","2010","17-34","direkter Migrationshintergrund","","","",""
"Nein","2010","17-34","indirekter Migrationshintergrund","","","",""
"Nein","2010","35-65","kein Migrationshintergrund","","","",""
"Nein","2010","35-65","direkter Migrationshintergrund","","","",""
"Nein","2010","35-65","indirekter Migrationshintergrund","","","",""
"Nein","2010","66 +","kein Migrationshintergrund","","","",""
"Nein","2010","66 +","direkter Migrationshintergrund","","","",""
"Nein","2010","66 +","indirekter Migrationshintergrund","","","",""
"Ja","2011","17-34","kein Migrationshintergrund","133","0.0413520227399417","0.034647708696693","0.0480563367831904"
"Ja","2011","17-34","direkter Migrationshintergrund","","","",""
"Ja","2011","17-34","indirekter Migrationshintergrund","","","",""
"Ja","2011","35-65","kein Migrationshintergrund","776","0.0884515893273377","0.0828451838870653","0.0940579947676101"
"Ja","2011","35-65","direkter Migrationshintergrund","82","0.0754511115619245","0.0606728424362131","0.090229380687636"
"Ja","2011","35-65","indirekter Migrationshintergrund","","","",""
"Ja","2011","66 +","kein Migrationshintergrund","169","0.0360321770923357","0.030701767677955","0.0413625865067165"
"Ja","2011","66 +","direkter Migrationshintergrund","","","",""
"Ja","2011","66 +","indirekter Migrationshintergrund","","","",""
"Nein","2011","17-34","kein Migrationshintergrund","3255","0.958647977260058","0.95194366321681","0.965352291303307"
"Nein","2011","17-34","direkter Migrationshintergrund","358","0.966366733614639","0.947947154989334","0.984786312239943"
"Nein","2011","17-34","indirekter Migrationshintergrund","496","0.958076480746899","0.940800935033565","0.975352026460233"
"Nein","2011","35-65","kein Migrationshintergrund","9078","0.911548410672662","0.90594200523239","0.917154816112935"
"Nein","2011","35-65","direkter Migrationshintergrund","1145","0.924548888438075","0.909770619312364","0.939327157563787"
"Nein","2011","35-65","indirekter Migrationshintergrund","246","0.918469171408382","0.885828474044601","0.951109868772162"
"Nein","2011","66 +","kein Migrationshintergrund","4527","0.963967822907664","0.958637413493283","0.969298232322045"
"Nein","2011","66 +","direkter Migrationshintergrund","397","0.942734207282703","0.920513098922154","0.964955315643252"
"Nein","2011","66 +","indirekter Migrationshintergrund","","","",""
"Ja","2012","17-34","kein Migrationshintergrund","","","",""
"Ja","2012","17-34","direkter Migrationshintergrund","","","",""
"Ja","2012","17-34","indirekter Migrationshintergrund","","","",""
"Ja","2012","35-65","kein Migrationshintergrund","","","",""
"Ja","2012","35-65","direkter Migrationshintergrund","","","",""
"Ja","2012","35-65","indirekter Migrationshintergrund","","","",""
"Ja","2012","66 +","kein Migrationshintergrund","","","",""
"Ja","2012","66 +","direkter Migrationshintergrund","","","",""
"Ja","2012","66 +","indirekter Migrationshintergrund","","","",""
"Nein","2012","17-34","kein Migrationshintergrund","","","",""
"Nein","2012","17-34","direkter Migrationshintergrund","","","",""
"Nein","2012","17-34","indirekter Migrationshintergrund","","","",""
"Nein","2012","35-65","kein Migrationshintergrund","","","",""
"Nein","2012","35-65","direkter Migrationshintergrund","","","",""
"Nein","2012","35-65","indirekter Migrationshintergrund","","","",""
"Nein","2012","66 +","kein Migrationshintergrund","","","",""
"Nein","2012","66 +","direkter Migrationshintergrund","","","",""
"Nein","2012","66 +","indirekter Migrationshintergrund","","","",""
"Ja","2013","17-34","kein Migrationshintergrund","132","0.0417042234832298","0.0345157517096266","0.048892695256833"
"Ja","2013","17-34","direkter Migrationshintergrund","","","",""
"Ja","2013","17-34","indirekter Migrationshintergrund","","","",""
"Ja","2013","35-65","kein Migrationshintergrund","815","0.101419235272324","0.0951583352184227","0.107680135326226"
"Ja","2013","35-65","direkter Migrationshintergrund","84","0.0888772980996345","0.0715156040797866","0.106238992119482"
"Ja","2013","35-65","indirekter Migrationshintergrund","32","0.105138000353926","0.0695270510997981","0.140748949608054"
"Ja","2013","66 +","kein Migrationshintergrund","239","0.0575012653340299","0.0507436668519072","0.0642588638161525"
