year,age_gr,ple0019,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,Yes,0.01761,58,2855,0.01279,0.02244
2009,17-29 y.,No,0.98239,2797,2855,0.97756,0.98721
2009,30-45 y.,Yes,0.06025,215,4675,0.05342,0.06707
2009,30-45 y.,No,0.93975,4460,4675,0.93293,0.94658
2009,46-65 y.,Yes,0.08010,437,6325,0.07340,0.08679
2009,46-65 y.,No,0.91990,5888,6325,0.91321,0.92660
2009,66 and older,Yes,0.04599,174,4163,0.03963,0.05236
2009,66 and older,No,0.95401,3989,4163,0.94764,0.96037
2011,17-29 y.,Yes,0.02970,99,2994,0.02362,0.03579
2011,17-29 y.,No,0.97030,2895,2994,0.96421,0.97638
2011,30-45 y.,Yes,0.06643,292,4856,0.05943,0.07344
2011,30-45 y.,No,0.93357,4564,4856,0.92656,0.94057
2011,46-65 y.,Yes,0.09578,655,7774,0.08924,0.10233
2011,46-65 y.,No,0.90422,7119,7774,0.89767,0.91076
2011,66 and older,Yes,0.03847,192,5121,0.03321,0.04374
2011,66 and older,No,0.96153,4929,5121,0.95626,0.96679
2013,17-29 y.,Yes,0.03547,95,2536,0.02827,0.04267
2013,17-29 y.,No,0.96453,2441,2536,0.95733,0.97173
2013,30-45 y.,Yes,0.07684,275,4073,0.06866,0.08502
2013,30-45 y.,No,0.92316,3798,4073,0.91498,0.93134
2013,46-65 y.,Yes,0.10502,719,7319,0.09800,0.11205
2013,46-65 y.,No,0.89498,6600,7319,0.88795,0.90200
2013,66 and older,Yes,0.05764,260,4938,0.05114,0.06415
2013,66 and older,No,0.94236,4678,4938,0.93585,0.94886
2015,17-29 y.,Yes,0.04873,180,3923,0.04200,0.05547
2015,17-29 y.,No,0.95127,3743,3923,0.94453,0.95800
2015,30-45 y.,Yes,0.07621,500,7356,0.07015,0.08228
2015,30-45 y.,No,0.92379,6856,7356,0.91772,0.92985
2015,46-65 y.,Yes,0.11664,945,8877,0.10996,0.12332
2015,46-65 y.,No,0.88336,7932,8877,0.87668,0.89004
2015,66 and older,Yes,0.05994,259,4884,0.05328,0.06660
2015,66 and older,No,0.94006,4625,4884,0.93340,0.94672
2017,17-29 y.,Yes,0.05519,224,4359,0.04841,0.06197
2017,17-29 y.,No,0.94481,4135,4359,0.93803,0.95159
2017,30-45 y.,Yes,0.08315,508,7257,0.07680,0.08951
2017,30-45 y.,No,0.91685,6749,7257,0.91049,0.92320
2017,46-65 y.,Yes,0.11515,1063,9973,0.10889,0.12142
2017,46-65 y.,No,0.88485,8910,9973,0.87858,0.89111
2017,66 and older,Yes,0.06084,270,4960,0.05419,0.06749
2017,66 and older,No,0.93916,4690,4960,0.93251,0.94581
2019,17-29 y.,Yes,0.07877,303,3843,0.07025,0.08729
2019,17-29 y.,No,0.92123,3540,3843,0.91271,0.92975
2019,30-45 y.,Yes,0.09278,551,6288,0.08560,0.09995
2019,30-45 y.,No,0.90722,5737,6288,0.90005,0.91440
2019,46-65 y.,Yes,0.12443,1148,10420,0.11809,0.13077
2019,46-65 y.,No,0.87557,9272,10420,0.86923,0.88191
2019,66 and older,Yes,0.07434,353,5175,0.06719,0.08149
2019,66 and older,No,0.92566,4822,5175,0.91851,0.93281
2021,17-29 y.,Yes,0.08826,272,3180,0.07840,0.09813
2021,17-29 y.,No,0.91174,2908,3180,0.90187,0.92160
2021,30-45 y.,Yes,0.11789,467,5205,0.10912,0.12665
2021,30-45 y.,No,0.88211,4738,5205,0.87335,0.89088
2021,46-65 y.,Yes,0.13537,843,7215,0.12747,0.14326
2021,46-65 y.,No,0.86463,6372,7215,0.85674,0.87253
2021,66 and older,Yes,0.07610,254,3564,0.06739,0.08481
2021,66 and older,No,0.92390,3310,3564,0.91519,0.93261
