year,pgisced97,plh0037,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Pre-primary Level,Very concerned,0.17788,85,309,0.13517,0.22058
2009,Pre-primary Level,Somewhat concerned,0.30351,149,309,0.25216,0.35486
2009,Pre-primary Level,Not concerned at all,0.14186,75,309,0.10289,0.18082
2009,Primary Level,Very concerned,0.24031,42,161,0.17410,0.30652
2009,Primary Level,Somewhat concerned,0.50531,77,161,0.42784,0.58278
2009,Primary Level,Not concerned at all,0.24103,42,161,0.17475,0.30730
2009,Lower Secondary Level,Very concerned,0.25211,462,1771,0.23188,0.27234
2009,Lower Secondary Level,Somewhat concerned,0.52873,963,1771,0.50547,0.55198
2009,Lower Secondary Level,Not concerned at all,0.18491,346,1771,0.16682,0.20300
2009,Upper Secondary Level,Very concerned,0.27586,2453,9023,0.26664,0.28509
2009,Upper Secondary Level,Somewhat concerned,0.55682,5124,9023,0.54657,0.56707
2009,Upper Secondary Level,Not concerned at all,0.16039,1446,9023,0.15282,0.16796
2009,Post-secondary Non-tertiary Level,Very concerned,0.32422,311,997,0.29515,0.35329
2009,Post-secondary Non-tertiary Level,Somewhat concerned,0.53531,543,997,0.50433,0.56628
2009,Post-secondary Non-tertiary Level,Not concerned at all,0.14047,143,997,0.11889,0.16205
2009,First Stage of Tertiary Education,Very concerned,0.31627,396,1324,0.29121,0.34133
2009,First Stage of Tertiary Education,Somewhat concerned,0.54836,740,1324,0.52154,0.57518
2009,First Stage of Tertiary Education,Not concerned at all,0.12809,188,1324,0.11009,0.14610
2009,Second Stage of Tertiary Education,Very concerned,0.29124,1184,4020,0.27719,0.30529
2009,Second Stage of Tertiary Education,Somewhat concerned,0.54085,2203,4020,0.52545,0.55626
2009,Second Stage of Tertiary Education,Not concerned at all,0.16045,633,4020,0.14910,0.17180
2010,Pre-primary Level,Very concerned,0.22825,141,413,0.18772,0.26878
2010,Pre-primary Level,Somewhat concerned,0.31320,194,413,0.26842,0.35799
2010,Pre-primary Level,Not concerned at all,0.12505,78,413,0.09311,0.15699
2010,Primary Level,Very concerned,0.29886,90,334,0.24970,0.34803
2010,Primary Level,Somewhat concerned,0.49652,165,334,0.44281,0.55022
2010,Primary Level,Not concerned at all,0.17796,79,334,0.13688,0.21905
2010,Lower Secondary Level,Very concerned,0.29914,700,2430,0.28093,0.31735
2010,Lower Secondary Level,Somewhat concerned,0.48404,1214,2430,0.46417,0.50392
2010,Lower Secondary Level,Not concerned at all,0.18878,516,2430,0.17322,0.20434
2010,Upper Secondary Level,Very concerned,0.29687,3296,11696,0.28859,0.30515
2010,Upper Secondary Level,Somewhat concerned,0.52583,6300,11696,0.51678,0.53488
2010,Upper Secondary Level,Not concerned at all,0.17339,2100,11696,0.16653,0.18025
2010,Post-secondary Non-tertiary Level,Very concerned,0.32177,540,1703,0.29957,0.34396
2010,Post-secondary Non-tertiary Level,Somewhat concerned,0.52574,909,1703,0.50201,0.54946
2010,Post-secondary Non-tertiary Level,Not concerned at all,0.15022,254,1703,0.13324,0.16719
2010,First Stage of Tertiary Education,Very concerned,0.29955,459,1612,0.27718,0.32192
2010,First Stage of Tertiary Education,Somewhat concerned,0.52236,868,1612,0.49797,0.54675
2010,First Stage of Tertiary Education,Not concerned at all,0.17519,285,1612,0.15662,0.19375
2010,Second Stage of Tertiary Education,Very concerned,0.25910,1532,5359,0.24737,0.27083
2010,Second Stage of Tertiary Education,Somewhat concerned,0.54386,2922,5359,0.53052,0.55719
2010,Second Stage of Tertiary Education,Not concerned at all,0.19284,905,5359,0.18227,0.20340
2011,Pre-primary Level,Very concerned,0.14267,90,310,0.10367,0.18166
2011,Pre-primary Level,Somewhat concerned,0.26159,172,310,0.21258,0.31059
2011,Pre-primary Level,Not concerned at all,0.06166,48,310,0.03484,0.08848
2011,Primary Level,Very concerned,0.16708,57,212,0.11674,0.21742
2011,Primary Level,Somewhat concerned,0.44702,101,212,0.37994,0.51411
2011,Primary Level,Not concerned at all,0.17126,54,212,0.12043,0.22209
2011,Lower Secondary Level,Very concerned,0.25279,585,2105,0.23422,0.27136
2011,Lower Secondary Level,Somewhat concerned,0.45089,1110,2105,0.42963,0.47215
2011,Lower Secondary Level,Not concerned at all,0.16554,410,2105,0.14966,0.18142
2011,Upper Secondary Level,Very concerned,0.27212,3108,10353,0.26355,0.28070
2011,Upper Secondary Level,Somewhat concerned,0.49722,5622,10353,0.48759,0.50685
2011,Upper Secondary Level,Not concerned at all,0.14472,1623,10353,0.13795,0.15150
2011,Post-secondary Non-tertiary Level,Very concerned,0.25939,363,1192,0.23450,0.28428
2011,Post-secondary Non-tertiary Level,Somewhat concerned,0.49609,662,1192,0.46769,0.52449
2011,Post-secondary Non-tertiary Level,Not concerned at all,0.11167,167,1192,0.09378,0.12956
2011,First Stage of Tertiary Education,Very concerned,0.28145,429,1436,0.25818,0.30472
2011,First Stage of Tertiary Education,Somewhat concerned,0.50507,781,1436,0.47921,0.53094
2011,First Stage of Tertiary Education,Not concerned at all,0.14444,226,1436,0.12625,0.16263
2011,Second Stage of Tertiary Education,Very concerned,0.26394,1389,4561,0.25114,0.27673
2011,Second Stage of Tertiary Education,Somewhat concerned,0.48694,2418,4561,0.47243,0.50145
2011,Second Stage of Tertiary Education,Not concerned at all,0.15147,754,4561,0.14106,0.16188
2012,Pre-primary Level,Very concerned,0.11315,78,279,0.07591,0.15038
2012,Pre-primary Level,Somewhat concerned,0.23248,144,279,0.18282,0.28214
2012,Pre-primary Level,Not concerned at all,0.09534,57,279,0.06082,0.12987
2012,Primary Level,Very concerned,0.23067,71,227,0.17575,0.28559
2012,Primary Level,Somewhat concerned,0.41021,102,227,0.34608,0.47434
2012,Primary Level,Not concerned at all,0.19596,54,227,0.14421,0.24771
2012,Lower Secondary Level,Very concerned,0.22564,536,2088,0.20771,0.24358
2012,Lower Secondary Level,Somewhat concerned,0.47161,1110,2088,0.45019,0.49302
2012,Lower Secondary Level,Not concerned at all,0.17943,442,2088,0.16297,0.19590
2012,Upper Secondary Level,Very concerned,0.25963,2859,10225,0.25113,0.26813
2012,Upper Secondary Level,Somewhat concerned,0.49656,5558,10225,0.48687,0.50625
2012,Upper Secondary Level,Not concerned at all,0.16315,1808,10225,0.15599,0.17032
2012,Post-secondary Non-tertiary Level,Very concerned,0.24402,325,1203,0.21973,0.26830
2012,Post-secondary Non-tertiary Level,Somewhat concerned,0.45534,660,1203,0.42719,0.48349
2012,Post-secondary Non-tertiary Level,Not concerned at all,0.17226,218,1203,0.15091,0.19361
2012,First Stage of Tertiary Education,Very concerned,0.26503,395,1439,0.24222,0.28784
2012,First Stage of Tertiary Education,Somewhat concerned,0.51048,804,1439,0.48464,0.53631
2012,First Stage of Tertiary Education,Not concerned at all,0.16579,240,1439,0.14657,0.18501
2012,Second Stage of Tertiary Education,Very concerned,0.25672,1269,4632,0.24414,0.26930
2012,Second Stage of Tertiary Education,Somewhat concerned,0.48505,2532,4632,0.47065,0.49944
2012,Second Stage of Tertiary Education,Not concerned at all,0.17372,831,4632,0.16281,0.18463
2013,Pre-primary Level,Very concerned,0.09961,72,260,0.06314,0.13608
2013,Pre-primary Level,Somewhat concerned,0.18489,129,260,0.13761,0.23217
2013,Pre-primary Level,Not concerned at all,0.09452,59,260,0.05889,0.13015
2013,Primary Level,Very concerned,0.10739,47,187,0.06289,0.15188
2013,Primary Level,Somewhat concerned,0.26892,86,187,0.20519,0.33264
2013,Primary Level,Not concerned at all,0.19131,54,187,0.13479,0.24784
2013,Lower Secondary Level,Very concerned,0.17641,425,1826,0.15893,0.19390
2013,Lower Secondary Level,Somewhat concerned,0.40527,987,1826,0.38275,0.42780
2013,Lower Secondary Level,Not concerned at all,0.17016,414,1826,0.15292,0.18740
2013,Upper Secondary Level,Very concerned,0.22763,2443,9357,0.21913,0.23612
2013,Upper Secondary Level,Somewhat concerned,0.46759,5071,9357,0.45748,0.47770
2013,Upper Secondary Level,Not concerned at all,0.17354,1843,9357,0.16587,0.18122
2013,Post-secondary Non-tertiary Level,Very concerned,0.20035,290,1095,0.17664,0.22407
2013,Post-secondary Non-tertiary Level,Somewhat concerned,0.41570,604,1095,0.38649,0.44490
2013,Post-secondary Non-tertiary Level,Not concerned at all,0.14048,201,1095,0.11989,0.16107
2013,First Stage of Tertiary Education,Very concerned,0.22972,318,1319,0.20701,0.25243
2013,First Stage of Tertiary Education,Somewhat concerned,0.50825,747,1319,0.48126,0.53524
2013,First Stage of Tertiary Education,Not concerned at all,0.18682,254,1319,0.16578,0.20787
2013,Second Stage of Tertiary Education,Very concerned,0.22382,1156,4450,0.21158,0.23607
2013,Second Stage of Tertiary Education,Somewhat concerned,0.45624,2416,4450,0.44160,0.47087
2013,Second Stage of Tertiary Education,Not concerned at all,0.17231,878,4450,0.16122,0.18341
2014,Pre-primary Level,Very concerned,0.18256,146,443,0.14654,0.21857
2014,Pre-primary Level,Somewhat concerned,0.24430,206,443,0.20424,0.28436
2014,Pre-primary Level,Not concerned at all,0.12467,91,443,0.09387,0.15546
2014,Primary Level,Very concerned,0.23355,111,498,0.19635,0.27075
2014,Primary Level,Somewhat concerned,0.45821,242,498,0.41440,0.50201
2014,Primary Level,Not concerned at all,0.28240,145,498,0.24282,0.32197
2014,Lower Secondary Level,Very concerned,0.24232,774,3075,0.22718,0.25747
2014,Lower Secondary Level,Somewhat concerned,0.50890,1590,3075,0.49123,0.52657
2014,Lower Secondary Level,Not concerned at all,0.21884,711,3075,0.20423,0.23346
2014,Upper Secondary Level,Very concerned,0.28032,3475,12467,0.27244,0.28820
2014,Upper Secondary Level,Somewhat concerned,0.53096,6644,12467,0.52220,0.53972
2014,Upper Secondary Level,Not concerned at all,0.18274,2348,12467,0.17596,0.18953
2014,Post-secondary Non-tertiary Level,Very concerned,0.27042,551,2040,0.25114,0.28970
2014,Post-secondary Non-tertiary Level,Somewhat concerned,0.53262,1130,2040,0.51097,0.55428
2014,Post-secondary Non-tertiary Level,Not concerned at all,0.19062,359,2040,0.17357,0.20767
2014,First Stage of Tertiary Education,Very concerned,0.25395,418,1590,0.23255,0.27535
2014,First Stage of Tertiary Education,Somewhat concerned,0.55555,889,1590,0.53111,0.57998
2014,First Stage of Tertiary Education,Not concerned at all,0.18780,283,1590,0.16859,0.20700
2014,Second Stage of Tertiary Education,Very concerned,0.27304,1802,6209,0.26195,0.28412
2014,Second Stage of Tertiary Education,Somewhat concerned,0.53580,3293,6209,0.52339,0.54820
2014,Second Stage of Tertiary Education,Not concerned at all,0.18646,1114,6209,0.17677,0.19615
2015,Pre-primary Level,Very concerned,0.16391,128,349,0.12501,0.20280
2015,Pre-primary Level,Somewhat concerned,0.25779,160,349,0.21184,0.30375
2015,Pre-primary Level,Not concerned at all,0.09670,61,349,0.06565,0.12776
2015,Primary Level,Very concerned,0.23409,94,402,0.19265,0.27554
2015,Primary Level,Somewhat concerned,0.37041,180,402,0.32314,0.41767
2015,Primary Level,Not concerned at all,0.28706,128,402,0.24278,0.33134
2015,Lower Secondary Level,Very concerned,0.23621,637,2630,0.21998,0.25245
2015,Lower Secondary Level,Somewhat concerned,0.49865,1386,2630,0.47954,0.51776
2015,Lower Secondary Level,Not concerned at all,0.19847,607,2630,0.18322,0.21372
2015,Upper Secondary Level,Very concerned,0.26150,3043,11573,0.25349,0.26950
2015,Upper Secondary Level,Somewhat concerned,0.53686,6368,11573,0.52778,0.54595
2015,Upper Secondary Level,Not concerned at all,0.17940,2162,11573,0.17241,0.18639
2015,Post-secondary Non-tertiary Level,Very concerned,0.24137,482,1942,0.22233,0.26040
