year,age_gr,sampreg,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,17-29 y.,West,Yes,0.23032,654,2285,0.21305,0.24759
2011,17-29 y.,West,No,0.57952,1631,2285,0.55928,0.59977
2011,17-29 y.,East,Yes,0.25664,205,661,0.22331,0.28996
2011,17-29 y.,East,No,0.58793,456,661,0.55038,0.62548
2011,30-45 y.,West,Yes,0.35279,1624,3720,0.33743,0.36815
2011,30-45 y.,West,No,0.42341,2096,3720,0.40753,0.43929
2011,30-45 y.,East,Yes,0.33664,428,1063,0.30822,0.36506
2011,30-45 y.,East,No,0.43258,635,1063,0.40278,0.46237
2011,46-65 y.,West,Yes,0.64401,3872,5826,0.63172,0.65631
2011,46-65 y.,West,No,0.30140,1954,5826,0.28962,0.31319
2011,46-65 y.,East,Yes,0.69276,1312,1867,0.67183,0.71369
2011,46-65 y.,East,No,0.26543,555,1867,0.24540,0.28547
2011,66 and older,West,Yes,0.84978,3222,3814,0.83844,0.86112
2011,66 and older,West,No,0.13731,592,3814,0.12638,0.14823
2011,66 and older,East,Yes,0.88514,1119,1262,0.86754,0.90274
2011,66 and older,East,No,0.11029,143,1262,0.09300,0.12758
2013,17-29 y.,West,Yes,0.21417,649,2008,0.19622,0.23211
2013,17-29 y.,West,No,0.44474,1359,2008,0.42300,0.46648
2013,17-29 y.,East,Yes,0.21178,162,493,0.17568,0.24789
2013,17-29 y.,East,No,0.57053,331,493,0.52679,0.61427
2013,30-45 y.,West,Yes,0.31005,1435,3111,0.29380,0.32631
2013,30-45 y.,West,No,0.34358,1676,3111,0.32689,0.36027
2013,30-45 y.,East,Yes,0.32840,389,906,0.29780,0.35900
2013,30-45 y.,East,No,0.42007,517,906,0.38791,0.45223
2013,46-65 y.,West,Yes,0.62999,3800,5463,0.61719,0.64280
2013,46-65 y.,West,No,0.25536,1663,5463,0.24379,0.26692
2013,46-65 y.,East,Yes,0.68556,1307,1812,0.66417,0.70694
2013,46-65 y.,East,No,0.25426,505,1812,0.23420,0.27432
2013,66 and older,West,Yes,0.86361,3204,3695,0.85255,0.87468
2013,66 and older,West,No,0.12138,491,3695,0.11085,0.13191
2013,66 and older,East,Yes,0.87786,1074,1213,0.85942,0.89629
2013,66 and older,East,No,0.11638,139,1213,0.09833,0.13444
2015,17-29 y.,West,Yes,0.27155,995,3240,0.25623,0.28687
2015,17-29 y.,West,No,0.60243,2245,3240,0.58557,0.61928
2015,17-29 y.,East,Yes,0.31082,233,637,0.27485,0.34679
2015,17-29 y.,East,No,0.56567,404,637,0.52714,0.60419
2015,30-45 y.,West,Yes,0.42367,2581,5824,0.41097,0.43636
2015,30-45 y.,West,No,0.50805,3243,5824,0.49521,0.52089
2015,30-45 y.,East,Yes,0.44103,671,1444,0.41542,0.46665
2015,30-45 y.,East,No,0.51237,773,1444,0.48658,0.53817
2015,46-65 y.,West,Yes,0.67582,4536,6900,0.66478,0.68687
2015,46-65 y.,West,No,0.30570,2364,6900,0.29483,0.31658
2015,46-65 y.,East,Yes,0.71252,1346,1898,0.69215,0.73289
2015,46-65 y.,East,No,0.27418,552,1898,0.25410,0.29425
2015,66 and older,West,Yes,0.86296,3172,3647,0.85179,0.87412
2015,66 and older,West,No,0.12793,475,3647,0.11709,0.13877
2015,66 and older,East,Yes,0.89044,1088,1216,0.87288,0.90800
2015,66 and older,East,No,0.10500,128,1216,0.08776,0.12224
2017,17-29 y.,West,Yes,0.29849,1180,3586,0.28351,0.31347
2017,17-29 y.,West,No,0.59821,2406,3586,0.58216,0.61426
2017,17-29 y.,East,Yes,0.32326,259,734,0.28940,0.35712
2017,17-29 y.,East,No,0.59698,475,734,0.56147,0.63249
2017,30-45 y.,West,Yes,0.44056,2578,5753,0.42773,0.45339
2017,30-45 y.,West,No,0.53812,3175,5753,0.52524,0.55100
