year,regtyp,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Urban regions,Yes,0.46015,7869,13194,0.45164,0.46865
2011,Urban regions,No,0.29431,5325,13194,0.28654,0.30209
2011,Rural regions,Yes,0.48793,4567,7304,0.47647,0.49940
2011,Rural regions,No,0.27270,2737,7304,0.26249,0.28292
2013,Urban regions,Yes,0.44948,7572,11941,0.44055,0.45840
2013,Urban regions,No,0.23904,4369,11941,0.23139,0.24669
2013,Rural regions,Yes,0.48985,4448,6760,0.47793,0.50177
2013,Rural regions,No,0.24393,2312,6760,0.23369,0.25417
2015,Urban regions,Yes,0.50067,9279,16022,0.49293,0.50842
2015,Urban regions,No,0.31030,6743,16022,0.30314,0.31746
2015,Rural regions,Yes,0.53573,5343,8784,0.52530,0.54616
2015,Rural regions,No,0.29055,3441,8784,0.28105,0.30005
2017,Urban regions,Yes,0.51164,10095,17036,0.50414,0.51915
2017,Urban regions,No,0.31279,6941,17036,0.30583,0.31976
2017,Rural regions,Yes,0.54951,5745,9337,0.53942,0.55961
2017,Rural regions,No,0.28166,3592,9337,0.27253,0.29078
2019,Urban regions,Yes,0.54451,10416,16212,0.53684,0.55217
2019,Urban regions,No,0.27566,5796,16212,0.26878,0.28254
2019,Rural regions,Yes,0.58026,5797,8750,0.56992,0.59060
2019,Rural regions,No,0.24699,2953,8750,0.23795,0.25603
2021,Urban regions,Yes,0.55484,7993,12996,0.54629,0.56338
2021,Urban regions,No,0.26709,5003,12996,0.25949,0.27470
2021,Rural regions,Yes,0.56319,4071,6167,0.55081,0.57557
2021,Rural regions,No,0.26210,2096,6167,0.25112,0.27308
