year,sampreg,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,West,Yes,0.46018,9372,15645,0.45237,0.46799
2011,West,No,0.28916,6273,15645,0.28206,0.29627
2011,East,Yes,0.51122,3064,4853,0.49715,0.52529
2011,East,No,0.27851,1789,4853,0.26590,0.29112
2013,West,Yes,0.45229,9088,14277,0.44413,0.46046
2013,West,No,0.23559,5189,14277,0.22863,0.24255
2013,East,Yes,0.51142,2932,4424,0.49669,0.52616
2013,East,No,0.26443,1492,4424,0.25143,0.27743
2015,West,Yes,0.50346,11284,19611,0.49647,0.51046
2015,West,No,0.30834,8327,19611,0.30188,0.31480
2015,East,Yes,0.55186,3338,5195,0.53834,0.56539
2015,East,No,0.28330,1857,5195,0.27105,0.29556
2017,West,Yes,0.51822,12258,20812,0.51143,0.52500
2017,West,No,0.30652,8554,20812,0.30025,0.31278
2017,East,Yes,0.54916,3582,5561,0.53608,0.56223
2017,East,No,0.28618,1979,5561,0.27430,0.29806
2019,West,Yes,0.54961,12763,19937,0.54270,0.55651
2019,West,No,0.27084,7174,19937,0.26467,0.27701
2019,East,Yes,0.59090,3813,5501,0.57790,0.60389
2019,East,No,0.24304,1688,5501,0.23171,0.25438
2021,West,Yes,0.55693,9504,15317,0.54906,0.56479
2021,West,No,0.26543,5813,15317,0.25843,0.27242
2021,East,Yes,0.56086,2561,3847,0.54517,0.57654
2021,East,No,0.26555,1286,3847,0.25159,0.27951
