year,age_gr,pgisced97,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,17-29 y.,Pre-primary Level,Yes,0.10426,68,311,0.07024,0.13828
2011,17-29 y.,Pre-primary Level,No,0.36573,243,311,0.31211,0.41935
2011,17-29 y.,Lower Secondary Level,Yes,0.19723,128,470,0.16122,0.23324
2011,17-29 y.,Lower Secondary Level,No,0.56046,342,470,0.51554,0.60538
2011,17-29 y.,Upper Secondary Level,Yes,0.27437,416,1332,0.25040,0.29834
2011,17-29 y.,Upper Secondary Level,No,0.63369,916,1332,0.60781,0.65958
2011,17-29 y.,Post-secondary Non-tertiary Level,Yes,0.30786,70,211,0.24543,0.37029
2011,17-29 y.,Post-secondary Non-tertiary Level,No,0.61190,141,211,0.54599,0.67781
2011,17-29 y.,First Stage of Tertiary Education,No,0.61321,34,34,0.44705,0.77938
2011,17-29 y.,Second Stage of Tertiary Education,Yes,0.23190,78,281,0.18247,0.28134
2011,17-29 y.,Second Stage of Tertiary Education,No,0.69299,203,281,0.63896,0.74702
2011,30-45 y.,Lower Secondary Level,Yes,0.34605,154,331,0.29472,0.39737
2011,30-45 y.,Lower Secondary Level,No,0.38475,177,331,0.33226,0.43725
2011,30-45 y.,Upper Secondary Level,Yes,0.36713,1064,2341,0.34760,0.38666
2011,30-45 y.,Upper Secondary Level,No,0.40925,1277,2341,0.38932,0.42917
2011,30-45 y.,Post-secondary Non-tertiary Level,Yes,0.35103,198,463,0.30750,0.39455
2011,30-45 y.,Post-secondary Non-tertiary Level,No,0.40662,265,463,0.36183,0.45141
2011,30-45 y.,First Stage of Tertiary Education,Yes,0.44958,164,364,0.39841,0.50076
2011,30-45 y.,First Stage of Tertiary Education,No,0.39813,200,364,0.34777,0.44849
2011,30-45 y.,Second Stage of Tertiary Education,Yes,0.30436,431,1206,0.27838,0.33034
2011,30-45 y.,Second Stage of Tertiary Education,No,0.48811,775,1206,0.45989,0.51633
2011,46-65 y.,Primary Level,Yes,0.77554,55,55,0.66426,0.88682
2011,46-65 y.,Lower Secondary Level,Yes,0.69873,390,531,0.65966,0.73779
2011,46-65 y.,Lower Secondary Level,No,0.25016,141,531,0.21329,0.28704
2011,46-65 y.,Upper Secondary Level,Yes,0.66834,2799,4084,0.65390,0.68279
2011,46-65 y.,Upper Secondary Level,No,0.28907,1285,4084,0.27516,0.30297
2011,46-65 y.,Post-secondary Non-tertiary Level,Yes,0.62821,250,388,0.58006,0.67636
2011,46-65 y.,Post-secondary Non-tertiary Level,No,0.28679,138,388,0.24173,0.33185
2011,46-65 y.,First Stage of Tertiary Education,Yes,0.67116,431,639,0.63471,0.70762
2011,46-65 y.,First Stage of Tertiary Education,No,0.26626,208,639,0.23196,0.30056
2011,46-65 y.,Second Stage of Tertiary Education,Yes,0.58867,1246,1964,0.56690,0.61044
2011,46-65 y.,Second Stage of Tertiary Education,No,0.35064,718,1964,0.32953,0.37175
2011,66 and older,Primary Level,Yes,0.90800,51,51,0.82789,0.98812
2011,66 and older,Lower Secondary Level,Yes,0.87399,715,811,0.85113,0.89684
2011,66 and older,Lower Secondary Level,No,0.11255,96,811,0.09078,0.13431
2011,66 and older,Upper Secondary Level,Yes,0.86229,2250,2616,0.84909,0.87550
2011,66 and older,Upper Secondary Level,No,0.12851,366,2616,0.11568,0.14134
2011,66 and older,Post-secondary Non-tertiary Level,Yes,0.84239,101,101,0.77097,0.91381
2011,66 and older,First Stage of Tertiary Education,Yes,0.82824,318,373,0.78991,0.86657
2011,66 and older,First Stage of Tertiary Education,No,0.14492,55,373,0.10915,0.18070
2011,66 and older,Second Stage of Tertiary Education,Yes,0.83537,895,1081,0.81325,0.85749
2011,66 and older,Second Stage of Tertiary Education,No,0.15685,186,1081,0.13517,0.17854
2013,17-29 y.,Pre-primary Level,Yes,0.09725,63,259,0.06110,0.13341
2013,17-29 y.,Pre-primary Level,No,0.27860,196,259,0.22389,0.33330
2013,17-29 y.,Lower Secondary Level,Yes,0.20103,128,373,0.16030,0.24176
2013,17-29 y.,Lower Secondary Level,No,0.34078,245,373,0.29262,0.38895
2013,17-29 y.,Upper Secondary Level,Yes,0.22683,357,1107,0.20215,0.25152
2013,17-29 y.,Upper Secondary Level,No,0.53712,750,1107,0.50773,0.56651
2013,17-29 y.,Post-secondary Non-tertiary Level,Yes,0.31992,60,160,0.24741,0.39242
2013,17-29 y.,Post-secondary Non-tertiary Level,No,0.48189,100,160,0.40422,0.55955
2013,17-29 y.,Second Stage of Tertiary Education,Yes,0.24165,105,300,0.19313,0.29018
2013,17-29 y.,Second Stage of Tertiary Education,No,0.55752,195,300,0.50122,0.61382
2013,30-45 y.,Lower Secondary Level,Yes,0.26193,141,278,0.21015,0.31371
2013,30-45 y.,Lower Secondary Level,No,0.25534,137,278,0.20399,0.30670
2013,30-45 y.,Upper Secondary Level,Yes,0.33956,907,1874,0.31811,0.36100
2013,30-45 y.,Upper Secondary Level,No,0.34502,967,1874,0.32349,0.36655
2013,30-45 y.,Post-secondary Non-tertiary Level,Yes,0.30916,179,404,0.26404,0.35428
2013,30-45 y.,Post-secondary Non-tertiary Level,No,0.32790,225,404,0.28207,0.37374
2013,30-45 y.,First Stage of Tertiary Education,Yes,0.43097,143,294,0.37427,0.48767
2013,30-45 y.,First Stage of Tertiary Education,No,0.38546,151,294,0.32973,0.44119
2013,30-45 y.,Second Stage of Tertiary Education,Yes,0.27653,419,1097,0.25005,0.30301
2013,30-45 y.,Second Stage of Tertiary Education,No,0.41944,678,1097,0.39022,0.44865
2013,46-65 y.,Primary Level,Yes,0.55128,49,49,0.41058,0.69199
2013,46-65 y.,Lower Secondary Level,Yes,0.61517,361,461,0.57071,0.65964
2013,46-65 y.,Lower Secondary Level,No,0.19042,100,461,0.15454,0.22630
2013,46-65 y.,Upper Secondary Level,Yes,0.67321,2753,3838,0.65837,0.68805
2013,46-65 y.,Upper Secondary Level,No,0.25317,1085,3838,0.23941,0.26693
2013,46-65 y.,Post-secondary Non-tertiary Level,Yes,0.58261,267,404,0.53447,0.63076
2013,46-65 y.,Post-secondary Non-tertiary Level,No,0.21162,137,404,0.17174,0.25150
2013,46-65 y.,First Stage of Tertiary Education,Yes,0.62991,432,630,0.59218,0.66765
2013,46-65 y.,First Stage of Tertiary Education,No,0.29640,198,630,0.26071,0.33209
2013,46-65 y.,Second Stage of Tertiary Education,Yes,0.59946,1239,1877,0.57729,0.62163
2013,46-65 y.,Second Stage of Tertiary Education,No,0.29610,638,1877,0.27544,0.31676
2013,66 and older,Primary Level,Yes,0.83375,43,43,0.72116,0.94635
2013,66 and older,Lower Secondary Level,Yes,0.87582,643,724,0.85178,0.89986
2013,66 and older,Lower Secondary Level,No,0.11346,81,724,0.09034,0.13658
2013,66 and older,Upper Secondary Level,Yes,0.86958,2199,2516,0.85642,0.88275
2013,66 and older,Upper Secondary Level,No,0.11760,317,2516,0.10501,0.13019
2013,66 and older,Post-secondary Non-tertiary Level,Yes,0.86854,100,100,0.80197,0.93510
2013,66 and older,First Stage of Tertiary Education,Yes,0.86627,303,344,0.83025,0.90229
2013,66 and older,First Stage of Tertiary Education,No,0.12983,41,344,0.09426,0.16541
2013,66 and older,Second Stage of Tertiary Education,Yes,0.84915,973,1141,0.82838,0.86993
2013,66 and older,Second Stage of Tertiary Education,No,0.13661,168,1141,0.11667,0.15655
2015,17-29 y.,Pre-primary Level,Yes,0.13100,90,347,0.09545,0.16655
2015,17-29 y.,Pre-primary Level,No,0.38244,257,347,0.33124,0.43365
2015,17-29 y.,Primary Level,Yes,0.44065,39,82,0.33253,0.54876
2015,17-29 y.,Primary Level,No,0.42842,43,82,0.32065,0.53618
2015,17-29 y.,Lower Secondary Level,Yes,0.25185,244,771,0.22119,0.28251
2015,17-29 y.,Lower Secondary Level,No,0.60383,527,771,0.56929,0.63838
2015,17-29 y.,Upper Secondary Level,Yes,0.31242,515,1558,0.28939,0.33544
2015,17-29 y.,Upper Secondary Level,No,0.62112,1043,1558,0.59702,0.64522
2015,17-29 y.,Post-secondary Non-tertiary Level,Yes,0.30340,69,218,0.24223,0.36457
2015,17-29 y.,Post-secondary Non-tertiary Level,No,0.60890,149,218,0.54397,0.67383
2015,17-29 y.,First Stage of Tertiary Education,No,0.85637,43,43,0.75030,0.96244
2015,17-29 y.,Second Stage of Tertiary Education,Yes,0.32515,123,360,0.27669,0.37360
2015,17-29 y.,Second Stage of Tertiary Education,No,0.56204,237,360,0.51071,0.61336
2015,30-45 y.,Primary Level,Yes,0.41443,75,157,0.33713,0.49174
2015,30-45 y.,Primary Level,No,0.43731,82,157,0.35947,0.51516
2015,30-45 y.,Lower Secondary Level,Yes,0.44913,305,623,0.41004,0.48822
2015,30-45 y.,Lower Secondary Level,No,0.46513,318,623,0.42593,0.50433
2015,30-45 y.,Upper Secondary Level,Yes,0.47729,1517,3184,0.45994,0.49464
2015,30-45 y.,Upper Secondary Level,No,0.48303,1667,3184,0.46567,0.50039
2015,30-45 y.,Post-secondary Non-tertiary Level,Yes,0.40593,394,896,0.37376,0.43810
2015,30-45 y.,Post-secondary Non-tertiary Level,No,0.53531,502,896,0.50263,0.56798
2015,30-45 y.,First Stage of Tertiary Education,Yes,0.44293,180,376,0.39266,0.49321
2015,30-45 y.,First Stage of Tertiary Education,No,0.52117,196,376,0.47061,0.57173
2015,30-45 y.,Second Stage of Tertiary Education,Yes,0.35543,749,1965,0.33426,0.37660
2015,30-45 y.,Second Stage of Tertiary Education,No,0.55148,1216,1965,0.52949,0.57348
2015,46-65 y.,Primary Level,Yes,0.83159,97,97,0.75673,0.90645
2015,46-65 y.,Lower Secondary Level,Yes,0.74592,447,604,0.71117,0.78067
2015,46-65 y.,Lower Secondary Level,No,0.23258,157,604,0.19886,0.26630
2015,46-65 y.,Upper Secondary Level,Yes,0.70545,2999,4294,0.69181,0.71908
2015,46-65 y.,Upper Secondary Level,No,0.27912,1295,4294,0.26570,0.29254
2015,46-65 y.,Post-secondary Non-tertiary Level,Yes,0.61351,418,689,0.57712,0.64989
2015,46-65 y.,Post-secondary Non-tertiary Level,No,0.36513,271,689,0.32915,0.40110
2015,46-65 y.,First Stage of Tertiary Education,Yes,0.65731,488,733,0.62293,0.69170
2015,46-65 y.,First Stage of Tertiary Education,No,0.32900,245,733,0.29497,0.36304
2015,46-65 y.,Second Stage of Tertiary Education,Yes,0.62994,1400,2307,0.61023,0.64964
2015,46-65 y.,Second Stage of Tertiary Education,No,0.35357,907,2307,0.33406,0.37308
2015,66 and older,Primary Level,Yes,0.77688,35,35,0.63693,0.91683
2015,66 and older,Lower Secondary Level,Yes,0.86043,563,644,0.83365,0.88722
2015,66 and older,Lower Secondary Level,No,0.12712,81,644,0.10137,0.15286
2015,66 and older,Upper Secondary Level,Yes,0.87361,2214,2514,0.86062,0.88660
2015,66 and older,Upper Secondary Level,No,0.11895,300,2514,0.10630,0.13161
2015,66 and older,Post-secondary Non-tertiary Level,Yes,0.86248,122,122,0.80112,0.92385
2015,66 and older,First Stage of Tertiary Education,Yes,0.88308,299,338,0.84877,0.91739
2015,66 and older,First Stage of Tertiary Education,No,0.10951,39,338,0.07617,0.14285
2015,66 and older,Second Stage of Tertiary Education,Yes,0.85967,1010,1174,0.83979,0.87955
2015,66 and older,Second Stage of Tertiary Education,No,0.13593,164,1174,0.11632,0.15554
2017,17-29 y.,Pre-primary Level,Yes,0.19204,127,405,0.15363,0.23045
2017,17-29 y.,Pre-primary Level,No,0.34252,278,405,0.29625,0.38880
2017,17-29 y.,Primary Level,Yes,0.29772,34,77,0.19491,0.40052
2017,17-29 y.,Primary Level,No,0.35899,43,77,0.25114,0.46684
2017,17-29 y.,Lower Secondary Level,Yes,0.27510,271,773,0.24360,0.30660
2017,17-29 y.,Lower Secondary Level,No,0.61055,502,773,0.57615,0.64495
2017,17-29 y.,Upper Secondary Level,Yes,0.32238,581,1770,0.30060,0.34416
2017,17-29 y.,Upper Secondary Level,No,0.64734,1189,1770,0.62507,0.66960
2017,17-29 y.,Post-secondary Non-tertiary Level,Yes,0.38368,104,310,0.32946,0.43790
2017,17-29 y.,Post-secondary Non-tertiary Level,No,0.60549,206,310,0.55099,0.65998
2017,17-29 y.,First Stage of Tertiary Education,No,0.61948,38,38,0.46303,0.77592
2017,17-29 y.,Second Stage of Tertiary Education,Yes,0.29437,144,467,0.25299,0.33576
2017,17-29 y.,Second Stage of Tertiary Education,No,0.66984,323,467,0.62714,0.71254
2017,30-45 y.,Primary Level,Yes,0.44461,86,179,0.37161,0.51761
2017,30-45 y.,Primary Level,No,0.44667,93,179,0.37364,0.51971
2017,30-45 y.,Lower Secondary Level,Yes,0.45389,318,651,0.41561,0.49216
2017,30-45 y.,Lower Secondary Level,No,0.50261,333,651,0.46417,0.54105
2017,30-45 y.,Upper Secondary Level,Yes,0.49625,1430,2912,0.47808,0.51441
2017,30-45 y.,Upper Secondary Level,No,0.48948,1482,2912,0.47132,0.50764
2017,30-45 y.,Post-secondary Non-tertiary Level,Yes,0.42406,386,904,0.39183,0.45630
2017,30-45 y.,Post-secondary Non-tertiary Level,No,0.55550,518,904,0.52309,0.58791
2017,30-45 y.,First Stage of Tertiary Education,Yes,0.38454,162,342,0.33290,0.43618
2017,30-45 y.,First Stage of Tertiary Education,No,0.59892,180,342,0.54690,0.65094
2017,30-45 y.,Second Stage of Tertiary Education,Yes,0.38569,841,2144,0.36508,0.40630
2017,30-45 y.,Second Stage of Tertiary Education,No,0.59947,1303,2144,0.57873,0.62022
2017,46-65 y.,Primary Level,Yes,0.74870,119,152,0.67951,0.81788
2017,46-65 y.,Primary Level,No,0.20219,33,152,0.13813,0.26626
