year,age_gr,regtyp,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,17-29 y.,Urban regions,Yes,0.23187,582,1974,0.21325,0.25050
2011,17-29 y.,Urban regions,No,0.58812,1392,1974,0.56640,0.60984
2011,17-29 y.,Rural regions,Yes,0.24148,277,972,0.21456,0.26840
2011,17-29 y.,Rural regions,No,0.56588,695,972,0.53471,0.59706
2011,30-45 y.,Urban regions,Yes,0.34719,1338,3135,0.33052,0.36386
2011,30-45 y.,Urban regions,No,0.43175,1797,3135,0.41441,0.44910
2011,30-45 y.,Rural regions,Yes,0.35705,714,1648,0.33391,0.38019
2011,30-45 y.,Rural regions,No,0.40894,934,1648,0.38519,0.43268
2011,46-65 y.,Urban regions,Yes,0.64107,3164,4810,0.62752,0.65463
2011,46-65 y.,Urban regions,No,0.30626,1646,4810,0.29323,0.31929
2011,46-65 y.,Rural regions,Yes,0.67614,2020,2883,0.65906,0.69323
2011,46-65 y.,Rural regions,No,0.27275,863,2883,0.25649,0.28901
2011,66 and older,Urban regions,Yes,0.85330,2785,3275,0.84118,0.86542
2011,66 and older,Urban regions,No,0.13400,490,3275,0.12234,0.14567
2011,66 and older,Rural regions,Yes,0.86297,1556,1801,0.84709,0.87886
2011,66 and older,Rural regions,No,0.12851,245,1801,0.11305,0.14397
2013,17-29 y.,Urban regions,Yes,0.21115,558,1688,0.19167,0.23063
2013,17-29 y.,Urban regions,No,0.45240,1130,1688,0.42864,0.47615
2013,17-29 y.,Rural regions,Yes,0.21965,253,813,0.19117,0.24812
2013,17-29 y.,Rural regions,No,0.48950,560,813,0.45512,0.52388
2013,30-45 y.,Urban regions,Yes,0.30220,1175,2630,0.28465,0.31976
2013,30-45 y.,Urban regions,No,0.35678,1455,2630,0.33847,0.37509
2013,30-45 y.,Rural regions,Yes,0.33953,649,1387,0.31460,0.36446
2013,30-45 y.,Rural regions,No,0.35465,738,1387,0.32947,0.37984
2013,46-65 y.,Urban regions,Yes,0.62934,3095,4463,0.61517,0.64351
2013,46-65 y.,Urban regions,No,0.25401,1368,4463,0.24123,0.26678
2013,46-65 y.,Rural regions,Yes,0.66119,2012,2812,0.64369,0.67869
2013,46-65 y.,Rural regions,No,0.25708,800,2812,0.24092,0.27323
2013,66 and older,Urban regions,Yes,0.86777,2744,3160,0.85596,0.87958
2013,66 and older,Urban regions,No,0.11946,416,3160,0.10815,0.13077
2013,66 and older,Rural regions,Yes,0.86304,1534,1748,0.84692,0.87917
2013,66 and older,Rural regions,No,0.12253,214,1748,0.10716,0.13791
2015,17-29 y.,Urban regions,Yes,0.26602,795,2601,0.24904,0.28301
2015,17-29 y.,Urban regions,No,0.60260,1806,2601,0.58379,0.62141
2015,17-29 y.,Rural regions,Yes,0.30484,433,1276,0.27958,0.33011
2015,17-29 y.,Rural regions,No,0.58327,843,1276,0.55620,0.61033
2015,30-45 y.,Urban regions,Yes,0.41054,2111,4758,0.39656,0.42452
2015,30-45 y.,Urban regions,No,0.51709,2647,4758,0.50289,0.53129
2015,30-45 y.,Rural regions,Yes,0.46515,1141,2510,0.44563,0.48467
2015,30-45 y.,Rural regions,No,0.48890,1369,2510,0.46934,0.50846
2015,46-65 y.,Urban regions,Yes,0.68157,3685,5585,0.66935,0.69379
2015,46-65 y.,Urban regions,No,0.30015,1900,5585,0.28813,0.31217
2015,46-65 y.,Rural regions,Yes,0.68519,2197,3213,0.66913,0.70126
2015,46-65 y.,Rural regions,No,0.29879,1016,3213,0.28296,0.31462
2015,66 and older,Urban regions,Yes,0.86936,2688,3078,0.85745,0.88126
2015,66 and older,Urban regions,No,0.12691,390,3078,0.11515,0.13868
2015,66 and older,Rural regions,Yes,0.86499,1572,1785,0.84913,0.88085
2015,66 and older,Rural regions,No,0.11731,213,1785,0.10238,0.13224
2017,17-29 y.,Urban regions,Yes,0.30374,986,2909,0.28703,0.32046
2017,17-29 y.,Urban regions,No,0.59660,1923,2909,0.57877,0.61444
2017,17-29 y.,Rural regions,Yes,0.29843,453,1411,0.27455,0.32232
2017,17-29 y.,Rural regions,No,0.60163,958,1411,0.57607,0.62718
2017,30-45 y.,Urban regions,Yes,0.43459,2137,4799,0.42056,0.44862
2017,30-45 y.,Urban regions,No,0.54247,2662,4799,0.52837,0.55657
2017,30-45 y.,Rural regions,Yes,0.45761,1111,2405,0.43769,0.47753
2017,30-45 y.,Rural regions,No,0.52340,1294,2405,0.50344,0.54337
