year,age_gr,quintil_oecd,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,17-29 y.,1st Quintile,Yes,0.23470,178,519,0.19820,0.27119
2011,17-29 y.,1st Quintile,No,0.46978,341,519,0.42680,0.51276
2011,17-29 y.,2nd Quintile,Yes,0.20283,121,415,0.16409,0.24156
2011,17-29 y.,2nd Quintile,No,0.51217,294,415,0.46402,0.56032
2011,17-29 y.,3rd Quintile,Yes,0.23155,130,474,0.19353,0.26956
2011,17-29 y.,3rd Quintile,No,0.61811,344,474,0.57433,0.66190
2011,17-29 y.,4th Quintile,Yes,0.25773,138,447,0.21713,0.29832
2011,17-29 y.,4th Quintile,No,0.60506,309,447,0.55969,0.65043
2011,17-29 y.,5th Quintile,Yes,0.21745,93,387,0.17629,0.25860
2011,17-29 y.,5th Quintile,No,0.68840,294,387,0.64219,0.73460
2011,30-45 y.,1st Quintile,Yes,0.28184,245,494,0.24213,0.32155
2011,30-45 y.,1st Quintile,No,0.21608,249,494,0.17975,0.25241
2011,30-45 y.,2nd Quintile,Yes,0.30463,290,647,0.26914,0.34012
2011,30-45 y.,2nd Quintile,No,0.35832,357,647,0.32135,0.39530
2011,30-45 y.,3rd Quintile,Yes,0.35244,323,773,0.31874,0.38614
2011,30-45 y.,3rd Quintile,No,0.43958,450,773,0.40457,0.47459
2011,30-45 y.,4th Quintile,Yes,0.41244,369,834,0.37901,0.44587
2011,30-45 y.,4th Quintile,No,0.42376,465,834,0.39021,0.45732
2011,30-45 y.,5th Quintile,Yes,0.37514,351,887,0.34326,0.40702
2011,30-45 y.,5th Quintile,No,0.47904,536,887,0.44614,0.51193
2011,46-65 y.,1st Quintile,Yes,0.69619,551,733,0.66287,0.72951
2011,46-65 y.,1st Quintile,No,0.20094,182,733,0.17191,0.22997
2011,46-65 y.,2nd Quintile,Yes,0.63494,506,735,0.60011,0.66977
2011,46-65 y.,2nd Quintile,No,0.28304,229,735,0.25045,0.31563
2011,46-65 y.,3rd Quintile,Yes,0.69193,724,1012,0.66347,0.72039
2011,46-65 y.,3rd Quintile,No,0.26089,288,1012,0.23383,0.28796
2011,46-65 y.,4th Quintile,Yes,0.65100,850,1291,0.62499,0.67701
2011,46-65 y.,4th Quintile,No,0.31581,441,1291,0.29044,0.34117
2011,46-65 y.,5th Quintile,Yes,0.64274,1308,2039,0.62194,0.66354
2011,46-65 y.,5th Quintile,No,0.32674,731,2039,0.30638,0.34710
2011,66 and older,1st Quintile,Yes,0.85904,592,677,0.83280,0.88527
2011,66 and older,1st Quintile,No,0.12480,85,677,0.09989,0.14971
2011,66 and older,2nd Quintile,Yes,0.87702,831,931,0.85592,0.89813
2011,66 and older,2nd Quintile,No,0.10961,100,931,0.08953,0.12969
2011,66 and older,3rd Quintile,Yes,0.87870,686,778,0.85575,0.90166
2011,66 and older,3rd Quintile,No,0.11483,92,778,0.09241,0.13724
2011,66 and older,4th Quintile,Yes,0.86193,520,603,0.83437,0.88949
2011,66 and older,4th Quintile,No,0.12077,83,603,0.09474,0.14680
2011,66 and older,5th Quintile,Yes,0.85401,641,775,0.82913,0.87888
2011,66 and older,5th Quintile,No,0.14166,134,775,0.11709,0.16622
2013,17-29 y.,1st Quintile,Yes,0.25914,225,658,0.22564,0.29265
2013,17-29 y.,1st Quintile,No,0.48084,433,658,0.44264,0.51905
2013,17-29 y.,2nd Quintile,Yes,0.22395,168,461,0.18586,0.26205
2013,17-29 y.,2nd Quintile,No,0.51665,293,461,0.47098,0.56232
2013,17-29 y.,3rd Quintile,Yes,0.25794,151,479,0.21872,0.29716
2013,17-29 y.,3rd Quintile,No,0.57411,328,479,0.52978,0.61844
2013,17-29 y.,4th Quintile,Yes,0.24403,126,492,0.20604,0.28202
2013,17-29 y.,4th Quintile,No,0.62578,366,492,0.58298,0.66859
2013,17-29 y.,5th Quintile,Yes,0.29797,141,409,0.25359,0.34235
2013,17-29 y.,5th Quintile,No,0.59401,268,409,0.54636,0.64166
2013,30-45 y.,1st Quintile,Yes,0.33135,327,645,0.29500,0.36770
2013,30-45 y.,1st Quintile,No,0.32915,318,645,0.29285,0.36544
2013,30-45 y.,2nd Quintile,Yes,0.36049,350,778,0.32673,0.39425
2013,30-45 y.,2nd Quintile,No,0.37781,428,778,0.34372,0.41190
2013,30-45 y.,3rd Quintile,Yes,0.38439,360,783,0.35030,0.41849
2013,30-45 y.,3rd Quintile,No,0.41279,423,783,0.37828,0.44729
2013,30-45 y.,4th Quintile,Yes,0.41396,411,888,0.38155,0.44638
2013,30-45 y.,4th Quintile,No,0.43099,477,888,0.39840,0.46358
2013,30-45 y.,5th Quintile,Yes,0.35065,375,922,0.31983,0.38147
2013,30-45 y.,5th Quintile,No,0.51288,547,922,0.48059,0.54516
2013,46-65 y.,1st Quintile,Yes,0.72724,757,959,0.69904,0.75545
2013,46-65 y.,1st Quintile,No,0.16498,202,959,0.14148,0.18848
2013,46-65 y.,2nd Quintile,Yes,0.62953,679,961,0.59898,0.66008
2013,46-65 y.,2nd Quintile,No,0.27825,282,961,0.24991,0.30660
2013,46-65 y.,3rd Quintile,Yes,0.70651,913,1259,0.68134,0.73167
2013,46-65 y.,3rd Quintile,No,0.23211,346,1259,0.20878,0.25544
2013,46-65 y.,4th Quintile,Yes,0.67919,1157,1650,0.65666,0.70172
