year,age_gr,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,17-29 y.,Yes,0.23495,859,2946,0.21964,0.25026
2011,17-29 y.,No,0.58100,2087,2946,0.56318,0.59882
2011,30-45 y.,Yes,0.35015,2052,4783,0.33663,0.36367
2011,30-45 y.,No,0.42491,2731,4783,0.41090,0.43892
2011,46-65 y.,Yes,0.65343,5184,7693,0.64279,0.66406
2011,46-65 y.,No,0.29445,2509,7693,0.28427,0.30464
2011,66 and older,Yes,0.85644,4341,5076,0.84679,0.86608
2011,66 and older,No,0.13222,735,5076,0.12290,0.14154
2013,17-29 y.,Yes,0.21380,811,2501,0.19773,0.22987
2013,17-29 y.,No,0.46398,1690,2501,0.44443,0.48353
2013,30-45 y.,Yes,0.31307,1824,4017,0.29873,0.32741
2013,30-45 y.,No,0.35616,2193,4017,0.34135,0.37097
2013,46-65 y.,Yes,0.64108,5107,7275,0.63006,0.65211
2013,46-65 y.,No,0.25514,2168,7275,0.24512,0.26516
2013,66 and older,Yes,0.86624,4278,4908,0.85672,0.87576
2013,66 and older,No,0.12046,630,4908,0.11135,0.12956
2015,17-29 y.,Yes,0.27743,1228,3877,0.26334,0.29153
2015,17-29 y.,No,0.59692,2649,3877,0.58148,0.61236
2015,30-45 y.,Yes,0.42663,3252,7268,0.41526,0.43800
2015,30-45 y.,No,0.50878,4016,7268,0.49729,0.52028
2015,46-65 y.,Yes,0.68284,5882,8798,0.67312,0.69257
2015,46-65 y.,No,0.29967,2916,8798,0.29010,0.30925
2015,66 and older,Yes,0.86793,4260,4863,0.85841,0.87745
2015,66 and older,No,0.12378,603,4863,0.11452,0.13304
2017,17-29 y.,Yes,0.30225,1439,4320,0.28855,0.31594
2017,17-29 y.,No,0.59802,2881,4320,0.58340,0.61264
2017,30-45 y.,Yes,0.44120,3248,7204,0.42974,0.45267
2017,30-45 y.,No,0.53699,3956,7204,0.52548,0.54851
2017,46-65 y.,Yes,0.70990,6829,9910,0.70096,0.71883
2017,46-65 y.,No,0.28003,3081,9910,0.27119,0.28887
2017,66 and older,Yes,0.87324,4324,4939,0.86396,0.88252
2017,66 and older,No,0.12083,615,4939,0.11174,0.12993
2019,17-29 y.,Yes,0.36413,1464,3805,0.34884,0.37942
2019,17-29 y.,No,0.52962,2341,3805,0.51376,0.54548
2019,30-45 y.,Yes,0.48578,3178,6220,0.47336,0.49821
2019,30-45 y.,No,0.48872,3042,6220,0.47630,0.50114
2019,46-65 y.,Yes,0.74444,7395,10330,0.73603,0.75285
2019,46-65 y.,No,0.24069,2935,10330,0.23245,0.24894
2019,66 and older,Yes,0.89584,4598,5159,0.88750,0.90418
2019,66 and older,No,0.09894,561,5159,0.09079,0.10709
2021,17-29 y.,Yes,0.36590,1128,3179,0.34916,0.38265
2021,17-29 y.,No,0.55674,2051,3179,0.53947,0.57401
2021,30-45 y.,Yes,0.50813,2550,5206,0.49454,0.52171
2021,30-45 y.,No,0.47528,2656,5206,0.46172,0.48885
2021,46-65 y.,Yes,0.74165,5226,7216,0.73155,0.75175
2021,46-65 y.,No,0.24917,1990,7216,0.23919,0.25915
2021,66 and older,Yes,0.90221,3161,3563,0.89246,0.91197
2021,66 and older,No,0.08935,402,3563,0.07998,0.09872
