year,pgisced97,chronill,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Pre-primary Level,Yes,0.10393,68,311,0.06995,0.13790
2011,Pre-primary Level,No,0.36456,243,311,0.31098,0.41814
2011,Primary Level,Yes,0.57484,149,226,0.51025,0.63944
2011,Primary Level,No,0.25847,77,226,0.20126,0.31567
2011,Lower Secondary Level,Yes,0.58613,1387,2143,0.56528,0.60699
2011,Lower Secondary Level,No,0.29637,756,2143,0.27703,0.31571
2011,Upper Secondary Level,Yes,0.58872,6529,10373,0.57925,0.59819
2011,Upper Secondary Level,No,0.32732,3844,10373,0.31829,0.33635
2011,Post-secondary Non-tertiary Level,Yes,0.47515,619,1184,0.44670,0.50361
2011,Post-secondary Non-tertiary Level,No,0.38192,565,1184,0.35423,0.40961
2011,First Stage of Tertiary Education,Yes,0.62849,926,1423,0.60338,0.65361
2011,First Stage of Tertiary Education,No,0.28726,497,1423,0.26374,0.31078
2011,Second Stage of Tertiary Education,Yes,0.51390,2650,4532,0.49935,0.52845
2011,Second Stage of Tertiary Education,No,0.38491,1882,4532,0.37074,0.39907
2013,Pre-primary Level,Yes,0.09709,63,259,0.06096,0.13322
2013,Pre-primary Level,No,0.27814,196,259,0.22346,0.33282
2013,Primary Level,Yes,0.42724,132,191,0.35690,0.49758
2013,Primary Level,No,0.16752,59,191,0.11442,0.22062
2013,Lower Secondary Level,Yes,0.54113,1273,1836,0.51833,0.56393
2013,Lower Secondary Level,No,0.21268,563,1836,0.19396,0.23140
2013,Upper Secondary Level,Yes,0.58826,6216,9335,0.57827,0.59824
2013,Upper Secondary Level,No,0.27847,3119,9335,0.26938,0.28757
2013,Post-secondary Non-tertiary Level,Yes,0.45608,606,1085,0.42643,0.48573
2013,Post-secondary Non-tertiary Level,No,0.29344,479,1085,0.26633,0.32054
2013,First Stage of Tertiary Education,Yes,0.62668,892,1312,0.60050,0.65286
2013,First Stage of Tertiary Education,No,0.29167,420,1312,0.26706,0.31627
2013,Second Stage of Tertiary Education,Yes,0.51703,2736,4415,0.50229,0.53177
2013,Second Stage of Tertiary Education,No,0.32438,1679,4415,0.31057,0.33819
2015,Pre-primary Level,Yes,0.13088,90,347,0.09534,0.16641
2015,Pre-primary Level,No,0.38208,257,347,0.33088,0.43328
2015,Primary Level,Yes,0.60483,246,406,0.55721,0.65244
2015,Primary Level,No,0.29816,160,406,0.25361,0.34272
2015,Lower Secondary Level,Yes,0.60560,1559,2642,0.58696,0.62424
2015,Lower Secondary Level,No,0.33333,1083,2642,0.31535,0.35131
2015,Upper Secondary Level,Yes,0.65141,7245,11550,0.64272,0.66011
2015,Upper Secondary Level,No,0.32344,4305,11550,0.31491,0.33197
2015,Post-secondary Non-tertiary Level,Yes,0.50861,1003,1937,0.48634,0.53088
2015,Post-secondary Non-tertiary Level,No,0.44497,934,1937,0.42283,0.46710
2015,First Stage of Tertiary Education,Yes,0.64687,984,1507,0.62273,0.67101
2015,First Stage of Tertiary Education,No,0.33705,523,1507,0.31318,0.36092
2015,Second Stage of Tertiary Education,Yes,0.56062,3282,5806,0.54786,0.57339
2015,Second Stage of Tertiary Education,No,0.39099,2524,5806,0.37844,0.40354
2017,Pre-primary Level,Yes,0.19182,127,407,0.15352,0.23012
2017,Pre-primary Level,No,0.34306,280,407,0.29688,0.38924
2017,Primary Level,Yes,0.58843,279,451,0.54296,0.63390
2017,Primary Level,No,0.29709,172,451,0.25487,0.33932
2017,Lower Secondary Level,Yes,0.61275,1623,2719,0.59443,0.63106
2017,Lower Secondary Level,No,0.34552,1096,2719,0.32765,0.36340
2017,Upper Secondary Level,Yes,0.66940,7652,11992,0.66098,0.67782
2017,Upper Secondary Level,No,0.31870,4340,11992,0.31036,0.32704
2017,Post-secondary Non-tertiary Level,Yes,0.56529,1174,2200,0.54457,0.58601
2017,Post-secondary Non-tertiary Level,No,0.42374,1026,2200,0.40308,0.44439
2017,First Stage of Tertiary Education,Yes,0.66478,1036,1520,0.64104,0.68852
2017,First Stage of Tertiary Education,No,0.31722,484,1520,0.29382,0.34063
2017,Second Stage of Tertiary Education,Yes,0.57035,3702,6474,0.55829,0.58240
2017,Second Stage of Tertiary Education,No,0.41764,2772,6474,0.40563,0.42966
2019,Pre-primary Level,Yes,0.20934,97,330,0.16537,0.25330
2019,Pre-primary Level,No,0.38608,233,330,0.33347,0.43869
2019,Primary Level,Yes,0.59455,255,384,0.54538,0.64373
2019,Primary Level,No,0.24484,129,384,0.20178,0.28791
2019,Lower Secondary Level,Yes,0.64952,1519,2401,0.63043,0.66861
2019,Lower Secondary Level,No,0.29272,882,2401,0.27452,0.31093
2019,Upper Secondary Level,Yes,0.71355,7624,11059,0.70513,0.72198
2019,Upper Secondary Level,No,0.27458,3435,11059,0.26626,0.28290
2019,Post-secondary Non-tertiary Level,Yes,0.60537,1289,2161,0.58476,0.62598
2019,Post-secondary Non-tertiary Level,No,0.38658,872,2161,0.36604,0.40711
2019,First Stage of Tertiary Education,Yes,0.69863,1189,1657,0.67653,0.72073
2019,First Stage of Tertiary Education,No,0.28768,468,1657,0.26588,0.30948
2019,Second Stage of Tertiary Education,Yes,0.61226,4409,6958,0.60081,0.62371
2019,Second Stage of Tertiary Education,No,0.36917,2549,6958,0.35783,0.38051
2021,Pre-primary Level,Yes,0.19869,57,191,0.14195,0.25543
2021,Pre-primary Level,No,0.30999,134,191,0.24422,0.37575
2021,Primary Level,Yes,0.58495,446,927,0.55321,0.61668
2021,Primary Level,No,0.32529,481,927,0.29512,0.35547
2021,Lower Secondary Level,Yes,0.69776,1024,1743,0.67620,0.71933
2021,Lower Secondary Level,No,0.26794,719,1743,0.24715,0.28874
2021,Upper Secondary Level,Yes,0.71125,4994,7296,0.70085,0.72164
2021,Upper Secondary Level,No,0.27531,2302,7296,0.26506,0.28556
2021,Post-secondary Non-tertiary Level,Yes,0.66521,1013,1589,0.64200,0.68842
2021,Post-secondary Non-tertiary Level,No,0.33038,576,1589,0.30725,0.35352
2021,First Stage of Tertiary Education,Yes,0.71023,729,994,0.68201,0.73844
2021,First Stage of Tertiary Education,No,0.28239,265,994,0.25439,0.31039
2021,Second Stage of Tertiary Education,Yes,0.60476,3412,5636,0.59199,0.61752
2021,Second Stage of Tertiary Education,No,0.38461,2224,5636,0.37191,0.39731
