year,sex,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Not leaning towards specific party,0.30783,2590,5869,0.29602,0.31964
1984,male,SPD,0.22559,1656,5869,0.21489,0.23628
1984,male,CDU/CSU,0.21988,1302,5869,0.20929,0.23048
1984,male,FDP,0.01767,104,5869,0.01430,0.02104
1984,male,Bündnis90/Grüne,0.02877,217,5869,0.02449,0.03304
1984,female,Not leaning towards specific party,0.35733,3056,6147,0.34535,0.36931
1984,female,SPD,0.21322,1503,6147,0.20298,0.22346
1984,female,CDU/CSU,0.21835,1300,6147,0.20803,0.22868
1984,female,FDP,0.01261,76,6147,0.00982,0.01540
1984,female,Bündnis90/Grüne,0.02706,212,6147,0.02300,0.03112
1985,male,Not leaning towards specific party,0.31518,2358,5346,0.30272,0.32763
1985,male,SPD,0.22608,1484,5346,0.21487,0.23730
1985,male,CDU/CSU,0.22129,1182,5346,0.21016,0.23242
1985,male,FDP,0.02078,112,5346,0.01696,0.02461
1985,male,Bündnis90/Grüne,0.03143,210,5346,0.02675,0.03610
1985,female,Not leaning towards specific party,0.37907,2850,5573,0.36633,0.39181
1985,female,SPD,0.20844,1313,5573,0.19777,0.21911
1985,female,CDU/CSU,0.20875,1130,5573,0.19808,0.21942
1985,female,FDP,0.01700,85,5573,0.01360,0.02039
1985,female,Bündnis90/Grüne,0.02817,195,5573,0.02383,0.03252
1986,male,Not leaning towards specific party,0.31596,2322,5168,0.30329,0.32864
1986,male,SPD,0.23655,1451,5168,0.22496,0.24814
1986,male,CDU/CSU,0.21420,1103,5168,0.20301,0.22539
1986,male,FDP,0.01963,100,5168,0.01585,0.02342
1986,male,Bündnis90/Grüne,0.03038,192,5168,0.02570,0.03506
1986,female,Not leaning towards specific party,0.37782,2728,5311,0.36478,0.39087
1986,female,SPD,0.20503,1232,5311,0.19417,0.21589
1986,female,CDU/CSU,0.21085,1091,5311,0.19988,0.22182
1986,female,FDP,0.01411,69,5311,0.01094,0.01729
1986,female,Bündnis90/Grüne,0.02988,191,5311,0.02530,0.03446
1987,male,Not leaning towards specific party,0.27365,2114,5109,0.26142,0.28587
1987,male,SPD,0.23051,1394,5109,0.21896,0.24206
1987,male,CDU/CSU,0.24037,1221,5109,0.22865,0.25209
1987,male,FDP,0.03069,155,5109,0.02596,0.03542
1987,male,Bündnis90/Grüne,0.03496,225,5109,0.02992,0.04000
1987,female,Not leaning towards specific party,0.32993,2461,5229,0.31718,0.34268
1987,female,SPD,0.20833,1214,5229,0.19732,0.21934
1987,female,CDU/CSU,0.23564,1191,5229,0.22414,0.24715
1987,female,FDP,0.02590,122,5229,0.02160,0.03021
1987,female,Bündnis90/Grüne,0.03538,241,5229,0.03038,0.04039
1988,male,Not leaning towards specific party,0.30268,2145,4867,0.28977,0.31559
1988,male,SPD,0.24764,1422,4867,0.23551,0.25976
1988,male,CDU/CSU,0.20719,1011,4867,0.19580,0.21858
1988,male,FDP,0.02499,121,4867,0.02060,0.02938
1988,male,Bündnis90/Grüne,0.02872,168,4867,0.02402,0.03341
1988,female,Not leaning towards specific party,0.36316,2564,4988,0.34982,0.37651
1988,female,SPD,0.21535,1169,4988,0.20394,0.22676
1988,female,CDU/CSU,0.20692,993,4988,0.19567,0.21816
1988,female,FDP,0.02020,93,4988,0.01630,0.02411
1988,female,Bündnis90/Grüne,0.02795,169,4988,0.02337,0.03252
1989,male,Not leaning towards specific party,0.31390,2059,4722,0.30067,0.32714
