year,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Not leaning towards specific party,0.33368,5646,12056,0.32527,0.34210
1984,SPD,0.21913,3159,12056,0.21174,0.22651
1984,CDU/CSU,0.21908,2602,12056,0.21170,0.22647
1984,FDP,0.01503,180,12056,0.01285,0.01720
1984,Bündnis90/Grüne,0.02788,429,12056,0.02494,0.03081
1984,Others,0.00298,40,12056,0.00201,0.00396
1985,Not leaning towards specific party,0.34860,5208,10955,0.33968,0.35752
1985,SPD,0.21686,2797,10955,0.20914,0.22457
1985,CDU/CSU,0.21473,2312,10955,0.20704,0.22242
1985,FDP,0.01880,197,10955,0.01626,0.02135
1985,Bündnis90/Grüne,0.02972,405,10955,0.02654,0.03290
1985,Others,0.00336,36,10955,0.00228,0.00444
1986,Not leaning towards specific party,0.34826,5050,10479,0.33914,0.35738
1986,SPD,0.22009,2683,10479,0.21216,0.22803
1986,CDU/CSU,0.21245,2194,10479,0.20462,0.22028
1986,FDP,0.01675,169,10479,0.01429,0.01921
1986,Bündnis90/Grüne,0.03012,383,10479,0.02685,0.03339
1987,Not leaning towards specific party,0.30293,4575,10375,0.29409,0.31177
1987,SPD,0.21897,2608,10375,0.21101,0.22693
1987,CDU/CSU,0.23791,2412,10375,0.22972,0.24610
1987,FDP,0.02820,277,10375,0.02501,0.03138
1987,Bündnis90/Grüne,0.03518,466,10375,0.03164,0.03873
1987,Others,0.00385,37,10375,0.00266,0.00504
1988,Not leaning towards specific party,0.33403,4709,9903,0.32474,0.34332
1988,SPD,0.23091,2591,9903,0.22260,0.23921
1988,CDU/CSU,0.20705,2004,9903,0.19907,0.21503
1988,FDP,0.02251,214,9903,0.01959,0.02543
1988,Bündnis90/Grüne,0.02832,337,9903,0.02505,0.03158
1988,Others,0.00520,48,9903,0.00378,0.00661
1989,Not leaning towards specific party,0.35100,4619,9585,0.34145,0.36056
1989,SPD,0.22689,2569,9585,0.21850,0.23527
1989,CDU/CSU,0.18573,1718,9585,0.17795,0.19352
1989,FDP,0.01491,138,9585,0.01248,0.01733
1989,Bündnis90/Grüne,0.02992,357,9585,0.02651,0.03333
1989,Others,0.01986,184,9585,0.01706,0.02265
1990,Not leaning towards specific party,0.26309,4356,9382,0.25418,0.27201
1990,SPD,0.19270,2653,9382,0.18472,0.20068
