year,age_gr,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Not leaning towards specific party,0.52217,1934,3361,0.50528,0.53906
1984,17-29 y.,SPD,0.19448,689,3361,0.18110,0.20787
1984,17-29 y.,CDU/CSU,0.16717,454,3361,0.15455,0.17979
1984,17-29 y.,Bündnis90/Grüne,0.09063,284,3361,0.08092,0.10034
1984,30-45 y.,Not leaning towards specific party,0.37824,1770,3870,0.36296,0.39352
1984,30-45 y.,SPD,0.30908,1159,3870,0.29451,0.32364
1984,30-45 y.,CDU/CSU,0.24867,763,3870,0.23505,0.26229
1984,30-45 y.,FDP,0.02249,68,3870,0.01782,0.02716
1984,30-45 y.,Bündnis90/Grüne,0.03123,110,3870,0.02575,0.03671
1984,46-65 y.,Not leaning towards specific party,0.34504,1464,3486,0.32926,0.36083
1984,46-65 y.,SPD,0.28952,994,3486,0.27446,0.30457
1984,46-65 y.,CDU/CSU,0.32617,971,3486,0.31060,0.34173
1984,46-65 y.,FDP,0.01927,57,3486,0.01470,0.02383
1984,66 and older,Not leaning towards specific party,0.37767,478,1209,0.35033,0.40500
1984,66 and older,SPD,0.25532,317,1209,0.23073,0.27991
1984,66 and older,CDU/CSU,0.32152,414,1209,0.29519,0.34786
1985,17-29 y.,Not leaning towards specific party,0.54903,1829,3088,0.53147,0.56658
1985,17-29 y.,SPD,0.18824,616,3088,0.17445,0.20203
1985,17-29 y.,CDU/CSU,0.15692,396,3088,0.14409,0.16975
1985,17-29 y.,Bündnis90/Grüne,0.08740,247,3088,0.07743,0.09736
1985,30-45 y.,Not leaning towards specific party,0.36856,1540,3441,0.35243,0.38468
1985,30-45 y.,SPD,0.31418,1036,3441,0.29867,0.32969
1985,30-45 y.,CDU/CSU,0.24086,676,3441,0.22657,0.25515
1985,30-45 y.,FDP,0.02486,67,3441,0.01965,0.03006
1985,30-45 y.,Bündnis90/Grüne,0.03881,122,3441,0.03235,0.04526
1985,46-65 y.,Not leaning towards specific party,0.36358,1416,3271,0.34709,0.38007
1985,46-65 y.,SPD,0.27682,876,3271,0.26148,0.29215
1985,46-65 y.,CDU/CSU,0.31401,877,3271,0.29810,0.32992
1985,46-65 y.,FDP,0.02398,69,3271,0.01873,0.02922
1985,46-65 y.,Bündnis90/Grüne,0.00907,33,3271,0.00582,0.01232
1985,66 and older,Not leaning towards specific party,0.38553,423,1090,0.35662,0.41443
1985,66 and older,SPD,0.24566,269,1090,0.22009,0.27123
1985,66 and older,CDU/CSU,0.31816,363,1090,0.29050,0.34583
1985,66 and older,FDP,0.03503,35,1090,0.02411,0.04596
1986,17-29 y.,Not leaning towards specific party,0.54458,1800,3007,0.52677,0.56238
1986,17-29 y.,SPD,0.20502,611,3007,0.19059,0.21946
1986,17-29 y.,CDU/CSU,0.15314,384,3007,0.14027,0.16602
1986,17-29 y.,Bündnis90/Grüne,0.07892,212,3007,0.06928,0.08856
1986,30-45 y.,Not leaning towards specific party,0.38758,1491,3232,0.37078,0.40438
1986,30-45 y.,SPD,0.29811,937,3232,0.28234,0.31389
1986,30-45 y.,CDU/CSU,0.22994,612,3232,0.21543,0.24445
1986,30-45 y.,FDP,0.02269,58,3232,0.01755,0.02782
1986,30-45 y.,Bündnis90/Grüne,0.04699,134,3232,0.03970,0.05429
1986,46-65 y.,Not leaning towards specific party,0.35165,1344,3201,0.33510,0.36819
1986,46-65 y.,SPD,0.28449,879,3201,0.26886,0.30012
1986,46-65 y.,CDU/CSU,0.32427,890,3201,0.30805,0.34049
1986,46-65 y.,FDP,0.02006,55,3201,0.01520,0.02492
1986,46-65 y.,Bündnis90/Grüne,0.00977,33,3201,0.00636,0.01318
1986,66 and older,Not leaning towards specific party,0.38862,415,1015,0.35861,0.41862
1986,66 and older,SPD,0.25470,256,1015,0.22788,0.28152
1986,66 and older,CDU/CSU,0.30485,308,1015,0.27652,0.33319
1986,66 and older,FDP,0.03359,36,1015,0.02250,0.04467
1987,17-29 y.,Not leaning towards specific party,0.48436,1610,2975,0.46640,0.50232
1987,17-29 y.,SPD,0.19768,605,2975,0.18337,0.21199
