year,migback,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Not leaning towards specific party,0.32226,3317,8546,0.31235,0.33217
1984,No migration background,SPD,0.22727,2353,8546,0.21838,0.23615
1984,No migration background,CDU/CSU,0.23466,2380,8546,0.22568,0.24365
1984,No migration background,FDP,0.01639,165,8546,0.01370,0.01908
1984,No migration background,Bündnis90/Grüne,0.02875,331,8546,0.02520,0.03229
1984,Direct migration background,Not leaning towards specific party,0.52756,2252,3332,0.51061,0.54452
1984,Direct migration background,SPD,0.19541,779,3332,0.18195,0.20888
1984,Direct migration background,CDU/CSU,0.12394,213,3332,0.11275,0.13513
1984,Direct migration background,Bündnis90/Grüne,0.02564,88,3332,0.02028,0.03101
1984,Indirect migration background,Not leaning towards specific party,0.07325,77,77,0.01467,0.13182
1985,No migration background,Not leaning towards specific party,0.33950,3162,7916,0.32907,0.34994
1985,No migration background,SPD,0.22442,2110,7916,0.21523,0.23361
1985,No migration background,CDU/CSU,0.22771,2104,7916,0.21847,0.23695
1985,No migration background,FDP,0.02059,186,7916,0.01746,0.02372
1985,No migration background,Bündnis90/Grüne,0.03078,318,7916,0.02698,0.03459
1985,No migration background,Others,0.00380,36,7916,0.00244,0.00515
1985,Direct migration background,Not leaning towards specific party,0.52817,1952,2888,0.50995,0.54638
1985,Direct migration background,SPD,0.20294,658,2888,0.18827,0.21761
1985,Direct migration background,CDU/CSU,0.14550,197,2888,0.13264,0.15836
1985,Direct migration background,Bündnis90/Grüne,0.02635,81,2888,0.02050,0.03219
1985,Indirect migration background,Not leaning towards specific party,0.08843,94,94,0.03072,0.14613
1986,No migration background,Not leaning towards specific party,0.33751,3042,7518,0.32682,0.34820
1986,No migration background,SPD,0.22941,2023,7518,0.21990,0.23891
1986,No migration background,CDU/CSU,0.22674,1984,7518,0.21727,0.23621
1986,No migration background,FDP,0.01849,159,7518,0.01544,0.02153
1986,No migration background,Bündnis90/Grüne,0.03139,310,7518,0.02745,0.03533
1986,Direct migration background,Not leaning towards specific party,0.54364,1907,2799,0.52519,0.56210
1986,Direct migration background,SPD,0.19838,634,2799,0.18361,0.21316
1986,Direct migration background,CDU/CSU,0.13848,195,2799,0.12568,0.15128
1986,Direct migration background,Bündnis90/Grüne,0.02424,63,2799,0.01854,0.02994
1986,Indirect migration background,Not leaning towards specific party,0.08494,101,101,0.03030,0.13958
1987,No migration background,Not leaning towards specific party,0.28645,2582,7400,0.27615,0.29675
1987,No migration background,SPD,0.22960,1991,7400,0.22002,0.23919
1987,No migration background,CDU/CSU,0.25512,2175,7400,0.24519,0.26505
1987,No migration background,FDP,0.03134,259,7400,0.02737,0.03531
1987,No migration background,Bündnis90/Grüne,0.03650,359,7400,0.03223,0.04078
1987,No migration background,Others,0.00432,34,7400,0.00282,0.00581
1987,Direct migration background,Not leaning towards specific party,0.53885,1882,2782,0.52032,0.55737
1987,Direct migration background,SPD,0.19089,580,2782,0.17629,0.20550
1987,Direct migration background,CDU/CSU,0.15390,220,2782,0.14049,0.16731
1987,Direct migration background,Bündnis90/Grüne,0.03295,100,2782,0.02632,0.03959
1987,Indirect migration background,Not leaning towards specific party,0.08461,111,148,0.03962,0.12960
1987,Indirect migration background,SPD,0.02481,37,148,-0.00034,0.04995
1988,No migration background,Not leaning towards specific party,0.32300,2742,7024,0.31206,0.33394
1988,No migration background,SPD,0.24082,1987,7024,0.23082,0.25082
1988,No migration background,CDU/CSU,0.22040,1801,7024,0.21071,0.23010
1988,No migration background,FDP,0.02487,198,7024,0.02123,0.02852
1988,No migration background,Bündnis90/Grüne,0.02943,256,7024,0.02548,0.03339
1988,No migration background,Others,0.00546,40,7024,0.00373,0.00718
1988,Direct migration background,Not leaning towards specific party,0.53445,1826,2640,0.51542,0.55349
1988,Direct migration background,SPD,0.21101,552,2640,0.19545,0.22658
1988,Direct migration background,CDU/CSU,0.15139,189,2640,0.13771,0.16507
1988,Direct migration background,Bündnis90/Grüne,0.02428,73,2640,0.01841,0.03016
1988,Indirect migration background,Not leaning towards specific party,0.09731,141,193,0.05539,0.13923
1988,Indirect migration background,SPD,0.03821,52,193,0.01109,0.06532
1989,No migration background,Not leaning towards specific party,0.34244,2829,6756,0.33112,0.35376
1989,No migration background,SPD,0.23485,1846,6756,0.22475,0.24496
1989,No migration background,CDU/CSU,0.19849,1532,6756,0.18898,0.20801
1989,No migration background,FDP,0.01621,126,6756,0.01319,0.01922
1989,No migration background,Bündnis90/Grüne,0.03018,257,6756,0.02610,0.03426
1989,No migration background,Others,0.02204,166,6756,0.01854,0.02554
1989,Direct migration background,Not leaning towards specific party,0.52482,1632,2546,0.50542,0.54423
1989,Direct migration background,SPD,0.22776,654,2546,0.21146,0.24405
1989,Direct migration background,CDU/CSU,0.13723,172,2546,0.12386,0.15059
1989,Direct migration background,Bündnis90/Grüne,0.03718,88,2546,0.02983,0.04453
