year,sampreg,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Not leaning towards specific party,0.33368,5646,12056,0.32527,0.34210
1984,West,SPD,0.21913,3159,12056,0.21174,0.22651
1984,West,CDU/CSU,0.21908,2602,12056,0.21170,0.22647
1984,West,FDP,0.01503,180,12056,0.01285,0.01720
1984,West,Bündnis90/Grüne,0.02788,429,12056,0.02494,0.03081
1984,West,Others,0.00298,40,12056,0.00201,0.00396
1985,West,Not leaning towards specific party,0.34860,5208,10955,0.33968,0.35752
1985,West,SPD,0.21686,2797,10955,0.20914,0.22457
1985,West,CDU/CSU,0.21473,2312,10955,0.20704,0.22242
1985,West,FDP,0.01880,197,10955,0.01626,0.02135
1985,West,Bündnis90/Grüne,0.02972,405,10955,0.02654,0.03290
1985,West,Others,0.00336,36,10955,0.00228,0.00444
1986,West,Not leaning towards specific party,0.34826,5050,10479,0.33914,0.35738
1986,West,SPD,0.22009,2683,10479,0.21216,0.22803
1986,West,CDU/CSU,0.21245,2194,10479,0.20462,0.22028
1986,West,FDP,0.01675,169,10479,0.01429,0.01921
1986,West,Bündnis90/Grüne,0.03012,383,10479,0.02685,0.03339
1987,West,Not leaning towards specific party,0.30293,4575,10375,0.29409,0.31177
1987,West,SPD,0.21897,2608,10375,0.21101,0.22693
1987,West,CDU/CSU,0.23791,2412,10375,0.22972,0.24610
1987,West,FDP,0.02820,277,10375,0.02501,0.03138
1987,West,Bündnis90/Grüne,0.03518,466,10375,0.03164,0.03873
1987,West,Others,0.00385,37,10375,0.00266,0.00504
1988,West,Not leaning towards specific party,0.33403,4709,9903,0.32474,0.34332
1988,West,SPD,0.23091,2591,9903,0.22260,0.23921
1988,West,CDU/CSU,0.20705,2004,9903,0.19907,0.21503
1988,West,FDP,0.02251,214,9903,0.01959,0.02543
1988,West,Bündnis90/Grüne,0.02832,337,9903,0.02505,0.03158
1988,West,Others,0.00520,48,9903,0.00378,0.00661
1989,West,Not leaning towards specific party,0.35100,4619,9585,0.34145,0.36056
1989,West,SPD,0.22689,2569,9585,0.21850,0.23527
1989,West,CDU/CSU,0.18573,1718,9585,0.17795,0.19352
1989,West,FDP,0.01491,138,9585,0.01248,0.01733
1989,West,Bündnis90/Grüne,0.02992,357,9585,0.02651,0.03333
1989,West,Others,0.01986,184,9585,0.01706,0.02265
1990,West,Not leaning towards specific party,0.33191,4356,9382,0.32239,0.34144
1990,West,SPD,0.24311,2653,9382,0.23443,0.25179
1990,West,CDU/CSU,0.19720,1808,9382,0.18915,0.20526
1990,West,FDP,0.02091,194,9382,0.01801,0.02381
1990,West,Bündnis90/Grüne,0.02581,299,9382,0.02260,0.02901
1990,West,Far right parties,0.00685,72,9382,0.00518,0.00852
1991,West,Not leaning towards specific party,0.30485,2892,7008,0.29408,0.31563
1991,West,SPD,0.20602,1884,7008,0.19655,0.21549
1991,West,CDU/CSU,0.19764,1764,7008,0.18831,0.20696
1991,West,FDP,0.02416,202,7008,0.02056,0.02776
1991,West,Bündnis90/Grüne,0.02335,221,7008,0.01982,0.02689
1991,West,Far right parties,0.00465,45,7008,0.00306,0.00625
1992,West,Not leaning towards specific party,0.39540,5055,9271,0.38545,0.40535
1992,West,SPD,0.19424,2079,9271,0.18619,0.20229
1992,West,CDU/CSU,0.17820,1614,9271,0.17041,0.18599
1992,West,FDP,0.01918,166,9271,0.01639,0.02197
1992,West,Bündnis90/Grüne,0.02325,271,9271,0.02018,0.02632
1992,West,Others,0.00841,86,9271,0.00655,0.01027
