year,age_gr,regtyp,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,Not leaning towards specific party,0.53469,1431,2447,0.51493,0.55446
1985,17-29 y.,Urban regions,SPD,0.20229,516,2447,0.18637,0.21821
1985,17-29 y.,Urban regions,CDU/CSU,0.14915,291,2447,0.13503,0.16327
1985,17-29 y.,Urban regions,Bündnis90/Grüne,0.09529,209,2447,0.08366,0.10693
1985,17-29 y.,Rural regions,Not leaning towards specific party,0.59380,398,641,0.55574,0.63185
1985,17-29 y.,Rural regions,SPD,0.14437,100,641,0.11714,0.17160
1985,17-29 y.,Rural regions,CDU/CSU,0.18118,105,641,0.15134,0.21102
1985,17-29 y.,Rural regions,Bündnis90/Grüne,0.06273,38,641,0.04394,0.08152
1985,30-45 y.,Urban regions,Not leaning towards specific party,0.37302,1245,2724,0.35486,0.39118
1985,30-45 y.,Urban regions,SPD,0.32043,828,2724,0.30290,0.33795
1985,30-45 y.,Urban regions,CDU/CSU,0.22101,486,2724,0.20543,0.23660
1985,30-45 y.,Urban regions,FDP,0.02527,52,2724,0.01938,0.03117
1985,30-45 y.,Urban regions,Bündnis90/Grüne,0.04726,113,2724,0.03929,0.05523
1985,30-45 y.,Rural regions,Not leaning towards specific party,0.35415,295,693,0.31851,0.38978
1985,30-45 y.,Rural regions,SPD,0.29403,208,693,0.26008,0.32797
1985,30-45 y.,Rural regions,CDU/CSU,0.30489,190,693,0.27059,0.33919
1985,46-65 y.,Urban regions,Not leaning towards specific party,0.36048,1126,2581,0.34196,0.37901
1985,46-65 y.,Urban regions,SPD,0.29321,724,2581,0.27565,0.31078
1985,46-65 y.,Urban regions,CDU/CSU,0.29717,642,2581,0.27954,0.31481
1985,46-65 y.,Urban regions,FDP,0.02631,58,2581,0.02013,0.03249
1985,46-65 y.,Urban regions,Bündnis90/Grüne,0.01106,31,2581,0.00702,0.01509
1985,46-65 y.,Rural regions,Not leaning towards specific party,0.37318,290,677,0.33672,0.40964
1985,46-65 y.,Rural regions,SPD,0.22595,152,677,0.19442,0.25748
1985,46-65 y.,Rural regions,CDU/CSU,0.36624,235,677,0.32992,0.40256
1985,66 and older,Urban regions,Not leaning towards specific party,0.38165,311,774,0.34741,0.41590
1985,66 and older,Urban regions,SPD,0.25776,207,774,0.22692,0.28860
1985,66 and older,Urban regions,CDU/CSU,0.30618,256,774,0.27368,0.33867
1985,66 and older,Rural regions,Not leaning towards specific party,0.39584,112,281,0.33856,0.45312
1985,66 and older,Rural regions,SPD,0.21344,62,281,0.16545,0.26144
1985,66 and older,Rural regions,CDU/CSU,0.35009,107,281,0.29421,0.40596
1986,17-29 y.,Urban regions,Not leaning towards specific party,0.53158,1415,2376,0.51151,0.55165
1986,17-29 y.,Urban regions,SPD,0.21830,505,2376,0.20169,0.23492
1986,17-29 y.,Urban regions,CDU/CSU,0.14486,280,2376,0.13070,0.15901
1986,17-29 y.,Urban regions,Bündnis90/Grüne,0.08690,176,2376,0.07557,0.09823
1986,17-29 y.,Rural regions,Not leaning towards specific party,0.58401,385,631,0.54552,0.62250
1986,17-29 y.,Rural regions,SPD,0.16471,106,631,0.13575,0.19368
1986,17-29 y.,Rural regions,CDU/CSU,0.17830,104,631,0.14841,0.20819
1986,17-29 y.,Rural regions,Bündnis90/Grüne,0.05470,36,631,0.03694,0.07246
1986,30-45 y.,Urban regions,Not leaning towards specific party,0.39287,1211,2572,0.37399,0.41175
1986,30-45 y.,Urban regions,SPD,0.30619,757,2572,0.28837,0.32401
