year,age_gr,quintil_oecd,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Not leaning towards specific party,0.58226,511,793,0.54791,0.61661
1984,17-29 y.,1st Quintile,SPD,0.16806,137,793,0.14202,0.19411
1984,17-29 y.,1st Quintile,CDU/CSU,0.09891,57,793,0.07812,0.11970
1984,17-29 y.,1st Quintile,Bündnis90/Grüne,0.13560,88,793,0.11176,0.15944
1984,17-29 y.,2nd Quintile,Not leaning towards specific party,0.57356,413,661,0.53583,0.61129
1984,17-29 y.,2nd Quintile,SPD,0.17525,129,661,0.14624,0.20425
1984,17-29 y.,2nd Quintile,CDU/CSU,0.14651,71,661,0.11953,0.17348
1984,17-29 y.,2nd Quintile,Bündnis90/Grüne,0.08172,48,661,0.06082,0.10262
1984,17-29 y.,3rd Quintile,Not leaning towards specific party,0.53031,364,650,0.49191,0.56870
1984,17-29 y.,3rd Quintile,SPD,0.23511,160,650,0.20248,0.26773
1984,17-29 y.,3rd Quintile,CDU/CSU,0.12895,71,650,0.10317,0.15474
1984,17-29 y.,3rd Quintile,Bündnis90/Grüne,0.08540,55,650,0.06390,0.10690
1984,17-29 y.,4th Quintile,Not leaning towards specific party,0.48951,388,712,0.45277,0.52626
1984,17-29 y.,4th Quintile,SPD,0.21925,158,712,0.18883,0.24966
1984,17-29 y.,4th Quintile,CDU/CSU,0.20788,126,712,0.17805,0.23771
1984,17-29 y.,4th Quintile,Bündnis90/Grüne,0.05598,40,712,0.03908,0.07288
1984,17-29 y.,5th Quintile,Not leaning towards specific party,0.43594,251,533,0.39380,0.47808
1984,17-29 y.,5th Quintile,SPD,0.17153,105,533,0.13950,0.20356
1984,17-29 y.,5th Quintile,CDU/CSU,0.25485,126,533,0.21782,0.29188
1984,17-29 y.,5th Quintile,Bündnis90/Grüne,0.09612,51,533,0.07107,0.12116
1984,30-45 y.,1st Quintile,Not leaning towards specific party,0.46195,439,753,0.42632,0.49758
1984,30-45 y.,1st Quintile,SPD,0.28317,210,753,0.25096,0.31537
1984,30-45 y.,1st Quintile,CDU/CSU,0.20658,104,753,0.17765,0.23552
1984,30-45 y.,2nd Quintile,Not leaning towards specific party,0.41001,389,756,0.37493,0.44510
1984,30-45 y.,2nd Quintile,SPD,0.33134,243,756,0.29777,0.36492
1984,30-45 y.,2nd Quintile,CDU/CSU,0.21027,124,756,0.18120,0.23933
1984,30-45 y.,3rd Quintile,Not leaning towards specific party,0.38170,330,714,0.34604,0.41736
1984,30-45 y.,3rd Quintile,SPD,0.30664,228,714,0.27280,0.34049
1984,30-45 y.,3rd Quintile,CDU/CSU,0.25507,156,714,0.22307,0.28707
1984,30-45 y.,4th Quintile,Not leaning towards specific party,0.33408,327,746,0.30021,0.36795
1984,30-45 y.,4th Quintile,SPD,0.33848,258,746,0.30450,0.37246
1984,30-45 y.,4th Quintile,CDU/CSU,0.25363,161,746,0.22238,0.28487
1984,30-45 y.,5th Quintile,Not leaning towards specific party,0.33019,284,756,0.29665,0.36374
1984,30-45 y.,5th Quintile,SPD,0.28653,220,756,0.25428,0.31878
1984,30-45 y.,5th Quintile,CDU/CSU,0.29812,217,756,0.26549,0.33075
1984,30-45 y.,5th Quintile,Bündnis90/Grüne,0.04567,35,756,0.03077,0.06056
1984,46-65 y.,1st Quintile,Not leaning towards specific party,0.44268,292,534,0.40052,0.48485
1984,46-65 y.,1st Quintile,SPD,0.26773,140,534,0.23014,0.30532
1984,46-65 y.,1st Quintile,CDU/CSU,0.26363,102,534,0.22622,0.30103
1984,46-65 y.,2nd Quintile,Not leaning towards specific party,0.34427,286,641,0.30746,0.38108
1984,46-65 y.,2nd Quintile,SPD,0.34226,201,641,0.30550,0.37902
