year,age_gr,migback,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Not leaning towards specific party,0.50491,1165,2287,0.48441,0.52540
1984,17-29 y.,No migration background,SPD,0.19691,476,2287,0.18061,0.21321
1984,17-29 y.,No migration background,CDU/CSU,0.17707,418,2287,0.16142,0.19272
1984,17-29 y.,No migration background,Bündnis90/Grüne,0.09486,228,2287,0.08285,0.10688
1984,17-29 y.,Direct migration background,Not leaning towards specific party,0.66262,707,985,0.63308,0.69217
1984,17-29 y.,Direct migration background,SPD,0.17735,196,985,0.15348,0.20121
1984,17-29 y.,Direct migration background,CDU/CSU,0.08907,36,985,0.07127,0.10687
1984,17-29 y.,Direct migration background,Bündnis90/Grüne,0.05058,46,985,0.03689,0.06428
1984,17-29 y.,Indirect migration background,Not leaning towards specific party,0.76100,62,62,0.65397,0.86802
1984,30-45 y.,No migration background,Not leaning towards specific party,0.33752,849,2470,0.31887,0.35617
1984,30-45 y.,No migration background,SPD,0.32159,800,2470,0.30316,0.34001
1984,30-45 y.,No migration background,CDU/CSU,0.27390,683,2470,0.25631,0.29149
1984,30-45 y.,No migration background,FDP,0.02445,59,2470,0.01835,0.03054
1984,30-45 y.,No migration background,Bündnis90/Grüne,0.03111,79,2470,0.02427,0.03796
1984,30-45 y.,Direct migration background,Not leaning towards specific party,0.64355,915,1372,0.61820,0.66891
1984,30-45 y.,Direct migration background,SPD,0.22296,351,1372,0.20093,0.24499
1984,30-45 y.,Direct migration background,CDU/CSU,0.08730,75,1372,0.07236,0.10224
1984,30-45 y.,Direct migration background,Bündnis90/Grüne,0.03265,31,1372,0.02324,0.04205
1984,46-65 y.,No migration background,Not leaning towards specific party,0.32633,845,2543,0.30810,0.34455
1984,46-65 y.,No migration background,SPD,0.29422,766,2543,0.27650,0.31193
1984,46-65 y.,No migration background,CDU/CSU,0.33836,877,2543,0.31997,0.35676
1984,46-65 y.,No migration background,FDP,0.02070,55,2543,0.01516,0.02623
1984,46-65 y.,Direct migration background,Not leaning towards specific party,0.51345,612,929,0.48129,0.54560
1984,46-65 y.,Direct migration background,SPD,0.24942,226,929,0.22159,0.27726
1984,46-65 y.,Direct migration background,CDU/CSU,0.21362,91,929,0.18725,0.23999
1984,66 and older,No migration background,Not leaning towards specific party,0.37649,458,1171,0.34873,0.40425
1984,66 and older,No migration background,SPD,0.25603,311,1171,0.23102,0.28104
1984,66 and older,No migration background,CDU/CSU,0.32091,402,1171,0.29416,0.34766
1985,17-29 y.,No migration background,Not leaning towards specific party,0.53652,1163,2157,0.51548,0.55757
1985,17-29 y.,No migration background,SPD,0.19050,432,2157,0.17392,0.20708
1985,17-29 y.,No migration background,CDU/CSU,0.16278,361,2157,0.14720,0.17837
1985,17-29 y.,No migration background,Bündnis90/Grüne,0.09045,201,2157,0.07835,0.10256
1985,17-29 y.,Direct migration background,Not leaning towards specific party,0.65239,587,821,0.61979,0.68498
1985,17-29 y.,Direct migration background,SPD,0.17221,162,821,0.14637,0.19805
1985,17-29 y.,Direct migration background,CDU/CSU,0.11120,32,821,0.08968,0.13272
1985,17-29 y.,Direct migration background,Bündnis90/Grüne,0.05681,40,821,0.04096,0.07265
1985,17-29 y.,Indirect migration background,Not leaning towards specific party,0.73019,79,79,0.63169,0.82870
1985,30-45 y.,No migration background,Not leaning towards specific party,0.33009,757,2247,0.31065,0.34954
1985,30-45 y.,No migration background,SPD,0.32516,730,2247,0.30578,0.34453
1985,30-45 y.,No migration background,CDU/CSU,0.26271,606,2247,0.24451,0.28091
1985,30-45 y.,No migration background,FDP,0.02746,62,2247,0.02070,0.03422
1985,30-45 y.,No migration background,Bündnis90/Grüne,0.04002,92,2247,0.03191,0.04813
1985,30-45 y.,Direct migration background,Not leaning towards specific party,0.61658,777,1143,0.58837,0.64478
1985,30-45 y.,Direct migration background,SPD,0.24115,301,1143,0.21634,0.26596
1985,30-45 y.,Direct migration background,CDU/CSU,0.10020,65,1143,0.08279,0.11762
1985,46-65 y.,No migration background,Not leaning towards specific party,0.34398,836,2376,0.32488,0.36309
1985,46-65 y.,No migration background,SPD,0.28306,687,2376,0.26494,0.30118
1985,46-65 y.,No migration background,CDU/CSU,0.32424,789,2376,0.30541,0.34306
1985,46-65 y.,No migration background,FDP,0.02582,64,2376,0.01944,0.03220
1985,46-65 y.,Direct migration background,Not leaning towards specific party,0.53046,572,846,0.49681,0.56411
1985,46-65 y.,Direct migration background,SPD,0.22442,187,846,0.19629,0.25255
1985,46-65 y.,Direct migration background,CDU/CSU,0.22599,87,846,0.19779,0.25419
