year,age_gr,pgisced97,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Pre-primary Level,Not leaning towards specific party,0.62987,113,144,0.55073,0.70901
1984,17-29 y.,Pre-primary Level,SPD,0.13367,31,144,0.07789,0.18944
1984,17-29 y.,Primary Level,Not leaning towards specific party,0.64686,152,190,0.57872,0.71500
1984,17-29 y.,Primary Level,SPD,0.22716,38,190,0.16743,0.28690
1984,17-29 y.,Lower Secondary Level,Not leaning towards specific party,0.60330,673,1023,0.57331,0.63329
1984,17-29 y.,Lower Secondary Level,SPD,0.15958,178,1023,0.13712,0.18203
1984,17-29 y.,Lower Secondary Level,CDU/CSU,0.13129,101,1023,0.11059,0.15200
1984,17-29 y.,Lower Secondary Level,Bündnis90/Grüne,0.08167,71,1023,0.06488,0.09846
1984,17-29 y.,Upper Secondary Level,Not leaning towards specific party,0.48701,822,1577,0.46233,0.51169
1984,17-29 y.,Upper Secondary Level,SPD,0.21453,356,1577,0.19426,0.23480
1984,17-29 y.,Upper Secondary Level,CDU/CSU,0.19642,264,1577,0.17680,0.21603
1984,17-29 y.,Upper Secondary Level,Bündnis90/Grüne,0.08309,135,1577,0.06947,0.09672
1984,17-29 y.,Post-secondary Non-tertiary Level,Not leaning towards specific party,0.38331,54,86,0.27995,0.48667
1984,17-29 y.,Post-secondary Non-tertiary Level,SPD,0.27706,32,86,0.18191,0.37220
1984,17-29 y.,First Stage of Tertiary Education,Not leaning towards specific party,0.37417,49,49,0.23727,0.51107
1984,17-29 y.,Second Stage of Tertiary Education,Not leaning towards specific party,0.44547,59,59,0.31756,0.57339
1984,30-45 y.,Primary Level,Not leaning towards specific party,0.75336,302,387,0.71036,0.79636
1984,30-45 y.,Primary Level,SPD,0.22489,85,387,0.18324,0.26654
1984,30-45 y.,Lower Secondary Level,Not leaning towards specific party,0.43061,433,778,0.39579,0.46543
1984,30-45 y.,Lower Secondary Level,SPD,0.31455,225,778,0.28190,0.34720
1984,30-45 y.,Lower Secondary Level,CDU/CSU,0.21998,120,778,0.19085,0.24910
1984,30-45 y.,Upper Secondary Level,Not leaning towards specific party,0.36154,770,1905,0.33996,0.38312
1984,30-45 y.,Upper Secondary Level,SPD,0.32722,640,1905,0.30615,0.34830
1984,30-45 y.,Upper Secondary Level,CDU/CSU,0.26358,455,1905,0.24379,0.28337
