year,bula_h,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Not leaning towards specific party,0.26196,130,358,0.21634,0.30757
1984,Schleswig-Holstein,SPD,0.30283,145,358,0.25516,0.35049
1984,Schleswig-Holstein,CDU/CSU,0.19385,83,358,0.15284,0.23485
1984,Hamburg,Not leaning towards specific party,0.32504,130,282,0.27028,0.37981
1984,Hamburg,SPD,0.27642,93,282,0.22413,0.32872
1984,Hamburg,CDU/CSU,0.20640,59,282,0.15908,0.25372
1984,Lower Saxony,Not leaning towards specific party,0.32841,554,1198,0.30180,0.35502
1984,Lower Saxony,SPD,0.23145,331,1198,0.20756,0.25535
1984,Lower Saxony,CDU/CSU,0.21452,272,1198,0.19127,0.23778
1984,Lower Saxony,Bündnis90/Grüne,0.02325,41,1198,0.01471,0.03179
1984,Bremen,Not leaning towards specific party,0.33370,58,100,0.24082,0.42659
1984,Bremen,SPD,0.31870,42,100,0.22691,0.41049
1984,North Rhine-Westphalia,Not leaning towards specific party,0.30732,1435,3218,0.29138,0.32327
1984,North Rhine-Westphalia,SPD,0.24404,951,3218,0.22920,0.25888
1984,North Rhine-Westphalia,CDU/CSU,0.21607,670,3218,0.20185,0.23029
1984,North Rhine-Westphalia,FDP,0.01347,46,3218,0.00949,0.01745
1984,North Rhine-Westphalia,Bündnis90/Grüne,0.02628,116,3218,0.02075,0.03180
1984,Hesse,Not leaning towards specific party,0.32082,563,1208,0.29448,0.34715
1984,Hesse,SPD,0.26380,376,1208,0.23894,0.28866
1984,Hesse,CDU/CSU,0.18458,204,1208,0.16270,0.20647
1984,Hesse,Bündnis90/Grüne,0.04894,65,1208,0.03677,0.06111
1984,"Rhineland-Palatinate, Saarland",Not leaning towards specific party,0.38418,403,815,0.35076,0.41759
1984,"Rhineland-Palatinate, Saarland",SPD,0.23038,233,815,0.20145,0.25930
1984,"Rhineland-Palatinate, Saarland",CDU/CSU,0.19281,179,815,0.16571,0.21991
1984,Baden-Wuerttemberg,Not leaning towards specific party,0.37049,1203,2229,0.35044,0.39054
1984,Baden-Wuerttemberg,SPD,0.16282,469,2229,0.14749,0.17815
1984,Baden-Wuerttemberg,CDU/CSU,0.21303,448,2229,0.19603,0.23003
1984,Baden-Wuerttemberg,FDP,0.01975,39,2229,0.01397,0.02552
1984,Baden-Wuerttemberg,Bündnis90/Grüne,0.02697,70,2229,0.02024,0.03369
1984,Bavaria,Not leaning towards specific party,0.34178,965,2039,0.32119,0.36237
1984,Bavaria,SPD,0.15661,409,2039,0.14083,0.17239
1984,Bavaria,CDU/CSU,0.28121,605,2039,0.26169,0.30073
1984,Bavaria,Bündnis90/Grüne,0.02155,60,2039,0.01524,0.02785
1984,Berlin,Not leaning towards specific party,0.36945,205,369,0.32014,0.41876
1984,Berlin,SPD,0.25128,110,369,0.20696,0.29560
1984,Berlin,CDU/CSU,0.13595,54,369,0.10094,0.17097
1985,Schleswig-Holstein,Not leaning towards specific party,0.25860,116,328,0.21114,0.30606
1985,Schleswig-Holstein,SPD,0.31183,135,328,0.26162,0.36204
1985,Schleswig-Holstein,CDU/CSU,0.19699,77,328,0.15388,0.24010
1985,Hamburg,Not leaning towards specific party,0.37113,126,259,0.31217,0.43008
1985,Hamburg,SPD,0.26965,82,259,0.21549,0.32380
1985,Hamburg,CDU/CSU,0.20262,51,259,0.15357,0.25166
1985,Lower Saxony,Not leaning towards specific party,0.33688,486,1092,0.30884,0.36493
1985,Lower Saxony,SPD,0.23146,297,1092,0.20643,0.25649
1985,Lower Saxony,CDU/CSU,0.20391,237,1092,0.18000,0.22782
1985,Lower Saxony,FDP,0.03128,35,1092,0.02095,0.04161
1985,Lower Saxony,Bündnis90/Grüne,0.02830,37,1092,0.01846,0.03814
1985,Bremen,Not leaning towards specific party,0.35419,44,86,0.25252,0.45587
1985,Bremen,SPD,0.31639,42,86,0.21752,0.41526
1985,North Rhine-Westphalia,Not leaning towards specific party,0.31976,1322,2941,0.30290,0.33662
1985,North Rhine-Westphalia,SPD,0.23983,819,2941,0.22439,0.25526
1985,North Rhine-Westphalia,CDU/CSU,0.21477,628,2941,0.19993,0.22962
1985,North Rhine-Westphalia,FDP,0.01553,51,2941,0.01106,0.02000
1985,North Rhine-Westphalia,Bündnis90/Grüne,0.03127,121,2941,0.02498,0.03757
1985,Hesse,Not leaning towards specific party,0.35237,569,1109,0.32424,0.38050
1985,Hesse,SPD,0.23536,288,1109,0.21038,0.26034
1985,Hesse,CDU/CSU,0.19195,179,1109,0.16876,0.21514
1985,Hesse,Bündnis90/Grüne,0.05405,73,1109,0.04073,0.06736
1985,"Rhineland-Palatinate, Saarland",Not leaning towards specific party,0.42113,396,729,0.38526,0.45700
1985,"Rhineland-Palatinate, Saarland",SPD,0.20694,190,729,0.17751,0.23636
1985,"Rhineland-Palatinate, Saarland",CDU/CSU,0.17523,143,729,0.14761,0.20285
1985,Baden-Wuerttemberg,Not leaning towards specific party,0.38182,1091,2024,0.36064,0.40299
1985,Baden-Wuerttemberg,SPD,0.17332,456,2024,0.15682,0.18981
1985,Baden-Wuerttemberg,CDU/CSU,0.20341,382,2024,0.18587,0.22095
1985,Baden-Wuerttemberg,FDP,0.02548,41,2024,0.01862,0.03235
1985,Baden-Wuerttemberg,Bündnis90/Grüne,0.02533,54,2024,0.01849,0.03218
1985,Bavaria,Not leaning towards specific party,0.35885,890,1851,0.33699,0.38071
1985,Bavaria,SPD,0.16954,393,1851,0.15244,0.18664
1985,Bavaria,CDU/CSU,0.26589,526,1851,0.24575,0.28602
1985,Bavaria,Bündnis90/Grüne,0.01642,42,1851,0.01063,0.02221
1985,Berlin,Not leaning towards specific party,0.32584,168,327,0.27497,0.37672
1985,Berlin,SPD,0.23300,95,327,0.18711,0.27889
1985,Berlin,CDU/CSU,0.19476,64,327,0.15177,0.23775
1986,Schleswig-Holstein,Not leaning towards specific party,0.22818,101,298,0.18045,0.27591
1986,Schleswig-Holstein,SPD,0.33314,127,298,0.27953,0.38674
1986,Schleswig-Holstein,CDU/CSU,0.19823,70,298,0.15289,0.24357
1986,Hamburg,Not leaning towards specific party,0.40716,129,240,0.34488,0.46945
1986,Hamburg,SPD,0.25891,68,240,0.20338,0.31445
1986,Hamburg,CDU/CSU,0.17924,43,240,0.13062,0.22787
1986,Lower Saxony,Not leaning towards specific party,0.32373,460,1068,0.29565,0.35180
1986,Lower Saxony,SPD,0.24146,318,1068,0.21578,0.26714
1986,Lower Saxony,CDU/CSU,0.21576,247,1068,0.19107,0.24044
1986,Lower Saxony,Bündnis90/Grüne,0.02780,43,1068,0.01794,0.03767
1986,Bremen,Not leaning towards specific party,0.32002,38,82,0.21843,0.42161
1986,Bremen,SPD,0.33599,44,82,0.23312,0.43885
1986,North Rhine-Westphalia,Not leaning towards specific party,0.30006,1238,2828,0.28316,0.31695
1986,North Rhine-Westphalia,SPD,0.25629,841,2828,0.24019,0.27238
1986,North Rhine-Westphalia,CDU/CSU,0.21376,595,2828,0.19865,0.22888
1986,North Rhine-Westphalia,FDP,0.01771,51,2828,0.01284,0.02257
1986,North Rhine-Westphalia,Bündnis90/Grüne,0.02772,103,2828,0.02167,0.03378
1986,Hesse,Not leaning towards specific party,0.41231,585,1031,0.38225,0.44238
1986,Hesse,SPD,0.20585,232,1031,0.18116,0.23054
1986,Hesse,CDU/CSU,0.15793,148,1031,0.13565,0.18020
1986,Hesse,Bündnis90/Grüne,0.05759,66,1031,0.04336,0.07182
1986,"Rhineland-Palatinate, Saarland",Not leaning towards specific party,0.40994,387,733,0.37431,0.44557
1986,"Rhineland-Palatinate, Saarland",SPD,0.22379,206,733,0.19360,0.25399
1986,"Rhineland-Palatinate, Saarland",CDU/CSU,0.17884,140,733,0.15108,0.20660
1986,Baden-Wuerttemberg,Not leaning towards specific party,0.38205,1067,1972,0.36060,0.40350
1986,Baden-Wuerttemberg,SPD,0.17050,428,1972,0.15390,0.18710
1986,Baden-Wuerttemberg,CDU/CSU,0.21775,393,1972,0.19953,0.23597
1986,Baden-Wuerttemberg,FDP,0.02005,36,1972,0.01386,0.02624
1986,Baden-Wuerttemberg,Bündnis90/Grüne,0.02270,48,1972,0.01613,0.02928
1986,Bavaria,Not leaning towards specific party,0.36844,871,1731,0.34571,0.39118
1986,Bavaria,SPD,0.16203,329,1731,0.14466,0.17939
1986,Bavaria,CDU/CSU,0.25694,478,1731,0.23635,0.27753
1986,Bavaria,Bündnis90/Grüne,0.02355,53,1731,0.01640,0.03069
1986,Berlin,Not leaning towards specific party,0.36165,174,321,0.30901,0.41429
1986,Berlin,SPD,0.23798,90,321,0.19132,0.28464
1986,Berlin,CDU/CSU,0.16403,57,321,0.12346,0.20460
1987,Schleswig-Holstein,Not leaning towards specific party,0.21327,95,296,0.16653,0.26001
1987,Schleswig-Holstein,SPD,0.30855,122,296,0.25584,0.36126
1987,Schleswig-Holstein,CDU/CSU,0.21899,79,296,0.17179,0.26618
1987,Hamburg,Not leaning towards specific party,0.29195,87,206,0.22971,0.35419
1987,Hamburg,SPD,0.26886,64,206,0.20817,0.32956
1987,Hamburg,CDU/CSU,0.24496,55,206,0.18609,0.30383
1987,Lower Saxony,Not leaning towards specific party,0.26981,414,1085,0.24339,0.29623
1987,Lower Saxony,SPD,0.25772,326,1085,0.23168,0.28376
1987,Lower Saxony,CDU/CSU,0.23413,265,1085,0.20892,0.25934
1987,Lower Saxony,FDP,0.02779,32,1085,0.01801,0.03758
1987,Lower Saxony,Bündnis90/Grüne,0.03534,48,1085,0.02434,0.04633
1987,Bremen,SPD,0.41552,43,43,0.26648,0.56456
1987,North Rhine-Westphalia,Not leaning towards specific party,0.26867,1144,2798,0.25224,0.28510
1987,North Rhine-Westphalia,SPD,0.26098,841,2798,0.24470,0.27725
1987,North Rhine-Westphalia,CDU/CSU,0.22720,617,2798,0.21168,0.24273
1987,North Rhine-Westphalia,FDP,0.02322,65,2798,0.01764,0.02880
1987,North Rhine-Westphalia,Bündnis90/Grüne,0.03559,131,2798,0.02873,0.04246
1987,Hesse,Not leaning towards specific party,0.33983,539,1025,0.31082,0.36884
1987,Hesse,SPD,0.21358,235,1025,0.18848,0.23868
1987,Hesse,CDU/CSU,0.19580,182,1025,0.17149,0.22010
