year,age_gr,bula_h,party,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Schleswig-Holstein,Not leaning towards specific party,0.49718,51,51,0.35858,0.63577
1984,17-29 y.,Hamburg,Not leaning towards specific party,0.42205,34,34,0.25354,0.59056
1984,17-29 y.,Lower Saxony,Not leaning towards specific party,0.60207,211,305,0.54704,0.65709
1984,17-29 y.,Lower Saxony,SPD,0.19689,61,305,0.15219,0.24160
1984,17-29 y.,Lower Saxony,CDU/CSU,0.10837,33,305,0.07343,0.14332
1984,17-29 y.,North Rhine-Westphalia,Not leaning towards specific party,0.46754,500,949,0.43578,0.49930
1984,17-29 y.,North Rhine-Westphalia,SPD,0.24567,236,949,0.21827,0.27307
1984,17-29 y.,North Rhine-Westphalia,CDU/CSU,0.18051,134,949,0.15603,0.20500
1984,17-29 y.,North Rhine-Westphalia,Bündnis90/Grüne,0.08354,79,949,0.06592,0.10115
1984,17-29 y.,Hesse,Not leaning towards specific party,0.49039,206,366,0.43911,0.54168
1984,17-29 y.,Hesse,SPD,0.19604,83,366,0.15532,0.23677
1984,17-29 y.,Hesse,CDU/CSU,0.12352,33,366,0.08977,0.15728
1984,17-29 y.,Hesse,Bündnis90/Grüne,0.15894,44,366,0.12143,0.19645
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Not leaning towards specific party,0.52176,131,226,0.45649,0.58703
1984,17-29 y.,"Rhineland-Palatinate, Saarland",SPD,0.20717,54,226,0.15422,0.26013
1984,17-29 y.,"Rhineland-Palatinate, Saarland",CDU/CSU,0.17369,41,226,0.12419,0.22319
1984,17-29 y.,Baden-Wuerttemberg,Not leaning towards specific party,0.55558,391,635,0.51690,0.59426
1984,17-29 y.,Baden-Wuerttemberg,SPD,0.16264,122,635,0.13391,0.19136
1984,17-29 y.,Baden-Wuerttemberg,CDU/CSU,0.16209,74,635,0.13341,0.19078
1984,17-29 y.,Baden-Wuerttemberg,Bündnis90/Grüne,0.08700,48,635,0.06507,0.10894
1984,17-29 y.,Bavaria,Not leaning towards specific party,0.54175,328,562,0.50052,0.58298
1984,17-29 y.,Bavaria,SPD,0.12550,78,562,0.09809,0.15292
1984,17-29 y.,Bavaria,CDU/CSU,0.24013,116,562,0.20478,0.27548
1984,17-29 y.,Bavaria,Bündnis90/Grüne,0.07518,40,562,0.05336,0.09700
1984,17-29 y.,Berlin,Not leaning towards specific party,0.67399,68,68,0.56174,0.78623
1984,30-45 y.,Schleswig-Holstein,Not leaning towards specific party,0.20905,31,137,0.14071,0.27739
1984,30-45 y.,Schleswig-Holstein,SPD,0.45116,66,137,0.36753,0.53479
1984,30-45 y.,Schleswig-Holstein,CDU/CSU,0.29726,40,137,0.22045,0.37408
1984,30-45 y.,Hamburg,Not leaning towards specific party,0.33437,49,91,0.23690,0.43184
1984,30-45 y.,Hamburg,SPD,0.35854,42,91,0.25946,0.45762
1984,30-45 y.,Lower Saxony,Not leaning towards specific party,0.33624,156,367,0.28784,0.38464
1984,30-45 y.,Lower Saxony,SPD,0.33454,124,367,0.28620,0.38288
1984,30-45 y.,Lower Saxony,CDU/CSU,0.26588,87,367,0.22061,0.31114
1984,30-45 y.,North Rhine-Westphalia,Not leaning towards specific party,0.37792,488,1063,0.34876,0.40708
1984,30-45 y.,North Rhine-Westphalia,SPD,0.33463,352,1063,0.30625,0.36301
1984,30-45 y.,North Rhine-Westphalia,CDU/CSU,0.22540,191,1063,0.20027,0.25053
1984,30-45 y.,North Rhine-Westphalia,Bündnis90/Grüne,0.03194,32,1063,0.02136,0.04251
1984,30-45 y.,Hesse,Not leaning towards specific party,0.42105,173,347,0.36902,0.47307
1984,30-45 y.,Hesse,SPD,0.32784,128,347,0.27837,0.37730
1984,30-45 y.,Hesse,CDU/CSU,0.17995,46,347,0.13947,0.22043
1984,30-45 y.,"Rhineland-Palatinate, Saarland",Not leaning towards specific party,0.39523,98,201,0.32747,0.46299
1984,30-45 y.,"Rhineland-Palatinate, Saarland",SPD,0.35974,67,201,0.29323,0.42626
1984,30-45 y.,"Rhineland-Palatinate, Saarland",CDU/CSU,0.20218,36,201,0.14652,0.25784
1984,30-45 y.,Baden-Wuerttemberg,Not leaning towards specific party,0.44742,406,707,0.41075,0.48410
1984,30-45 y.,Baden-Wuerttemberg,SPD,0.20756,152,707,0.17764,0.23748
1984,30-45 y.,Baden-Wuerttemberg,CDU/CSU,0.28126,149,707,0.24809,0.31442
1984,30-45 y.,Bavaria,Not leaning towards specific party,0.37220,292,639,0.33469,0.40971
1984,30-45 y.,Bavaria,SPD,0.25421,171,639,0.22043,0.28800
1984,30-45 y.,Bavaria,CDU/CSU,0.31649,176,639,0.28039,0.35258
1984,30-45 y.,Berlin,Not leaning towards specific party,0.41593,64,109,0.32297,0.50888
1984,30-45 y.,Berlin,SPD,0.34766,45,109,0.25784,0.43748
1984,46-65 y.,Schleswig-Holstein,Not leaning towards specific party,0.29432,32,69,0.18600,0.40265
1984,46-65 y.,Schleswig-Holstein,SPD,0.34439,37,69,0.23145,0.45733
1984,46-65 y.,Lower Saxony,Not leaning towards specific party,0.34030,137,342,0.29001,0.39059
1984,46-65 y.,Lower Saxony,SPD,0.31761,109,342,0.26819,0.36702
1984,46-65 y.,Lower Saxony,CDU/CSU,0.30491,96,342,0.25605,0.35377
1984,46-65 y.,North Rhine-Westphalia,Not leaning towards specific party,0.29993,342,882,0.26967,0.33019
