year,age_gr,sampreg,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,17-29 y.,West,Earn money,0.12258,307,757,0.09920,0.14596
1994,17-29 y.,West,Other reasons,0.01603,39,757,0.00708,0.02498
1994,17-29 y.,West,Both equally,0.17558,411,757,0.14846,0.20270
1994,17-29 y.,East,Earn money,0.14336,123,269,0.10140,0.18531
1994,17-29 y.,East,Both equally,0.16764,146,269,0.12291,0.21236
1994,30-45 y.,West,Earn money,0.05461,167,431,0.03313,0.07608
1994,30-45 y.,West,Other reasons,0.02028,53,431,0.00696,0.03360
1994,30-45 y.,West,Both equally,0.06999,211,431,0.04587,0.09410
1994,30-45 y.,East,Earn money,0.09503,115,224,0.05654,0.13351
1994,30-45 y.,East,Both equally,0.08275,109,224,0.04659,0.11891
1994,46-65 y.,West,Earn money,0.02713,70,142,0.00031,0.05394
1994,46-65 y.,West,Both equally,0.02535,72,142,-0.00060,0.05129
1994,46-65 y.,East,Earn money,0.06266,72,158,0.02475,0.10057
1994,46-65 y.,East,Both equally,0.07458,86,158,0.03349,0.11568
1995,17-29 y.,West,Earn money,0.12591,313,802,0.10293,0.14888
1995,17-29 y.,West,Other reasons,0.01456,44,802,0.00626,0.02285
1995,17-29 y.,West,Both equally,0.18638,445,802,0.15941,0.21335
1995,17-29 y.,East,Earn money,0.11035,103,256,0.07189,0.14880
1995,17-29 y.,East,Both equally,0.17889,153,256,0.13185,0.22594
1995,30-45 y.,West,Earn money,0.05539,211,536,0.03601,0.07477
1995,30-45 y.,West,Other reasons,0.01449,44,536,0.00436,0.02462
1995,30-45 y.,West,Both equally,0.09152,281,536,0.06708,0.11595
1995,30-45 y.,East,Earn money,0.06850,89,189,0.03239,0.10461
1995,30-45 y.,East,Both equally,0.08273,100,189,0.04335,0.12211
1995,46-65 y.,West,Earn money,0.02838,97,174,0.00364,0.05313
1995,46-65 y.,West,Both equally,0.02827,77,174,0.00357,0.05296
1995,46-65 y.,East,Earn money,0.04040,53,148,0.00857,0.07223
1995,46-65 y.,East,Both equally,0.07790,95,148,0.03457,0.12122
1996,17-29 y.,West,Earn money,0.12365,279,761,0.10024,0.14705
1996,17-29 y.,West,Other reasons,0.01411,35,761,0.00572,0.02249
1996,17-29 y.,West,Both equally,0.20244,447,761,0.17387,0.23101
1996,17-29 y.,East,Earn money,0.14677,126,262,0.10383,0.18970
1996,17-29 y.,East,Both equally,0.16636,136,262,0.12118,0.21154
1996,30-45 y.,West,Earn money,0.05643,205,528,0.03673,0.07613
1996,30-45 y.,West,Other reasons,0.01751,50,528,0.00631,0.02871
1996,30-45 y.,West,Both equally,0.08256,273,528,0.05906,0.10605
1996,30-45 y.,East,Earn money,0.07385,98,210,0.03840,0.10931
1996,30-45 y.,East,Both equally,0.10144,112,210,0.06051,0.14238
1996,46-65 y.,West,Earn money,0.03014,96,173,0.00459,0.05569
1996,46-65 y.,West,Both equally,0.03124,77,173,0.00524,0.05724
1996,46-65 y.,East,Earn money,0.06852,77,158,0.02900,0.10804
1996,46-65 y.,East,Both equally,0.05701,81,158,0.02074,0.09328
1997,17-29 y.,West,Earn money,0.11643,265,709,0.09281,0.14006
1997,17-29 y.,West,Other reasons,0.01431,32,709,0.00556,0.02305
1997,17-29 y.,West,Both equally,0.19816,412,709,0.16880,0.22752
1997,17-29 y.,East,Earn money,0.15899,122,276,0.11577,0.20221
1997,17-29 y.,East,Both equally,0.18373,154,276,0.13796,0.22950
1997,30-45 y.,West,Earn money,0.05853,197,553,0.03895,0.07812
1997,30-45 y.,West,Other reasons,0.01238,37,553,0.00315,0.02160
1997,30-45 y.,West,Both equally,0.09564,319,553,0.07110,0.12017
1997,30-45 y.,East,Earn money,0.07236,88,194,0.03581,0.10892
1997,30-45 y.,East,Both equally,0.09401,106,194,0.05283,0.13518
1997,46-65 y.,West,Earn money,0.02878,105,197,0.00537,0.05218
1997,46-65 y.,West,Both equally,0.04156,92,197,0.01362,0.06951
1997,46-65 y.,East,Earn money,0.06288,69,158,0.02491,0.10086
1997,46-65 y.,East,Both equally,0.07337,89,158,0.03258,0.11415
1998,17-29 y.,West,Earn money,0.12642,278,751,0.10264,0.15021
1998,17-29 y.,West,Other reasons,0.02168,44,751,0.01126,0.03210
1998,17-29 y.,West,Both equally,0.18622,429,751,0.15836,0.21408
1998,17-29 y.,East,Earn money,0.13540,120,272,0.09467,0.17614
1998,17-29 y.,East,Both equally,0.16431,152,272,0.12020,0.20843
1998,30-45 y.,West,Earn money,0.06145,236,574,0.04178,0.08111
1998,30-45 y.,West,Other reasons,0.01355,49,574,0.00408,0.02302
1998,30-45 y.,West,Both equally,0.07927,289,574,0.05715,0.10139
1998,30-45 y.,East,Earn money,0.09019,108,228,0.05293,0.12745
1998,30-45 y.,East,Both equally,0.10307,120,228,0.06352,0.14262
1998,46-65 y.,West,Earn money,0.03145,102,183,0.00609,0.05680
1998,46-65 y.,West,Both equally,0.02786,81,183,0.00395,0.05177
1998,46-65 y.,East,Earn money,0.05794,74,175,0.02323,0.09266
1998,46-65 y.,East,Both equally,0.07332,101,175,0.03459,0.11205
1999,17-29 y.,West,Earn money,0.11933,256,634,0.09407,0.14458
1999,17-29 y.,West,Both equally,0.18081,378,634,0.15083,0.21079
1999,17-29 y.,East,Earn money,0.13099,115,273,0.09089,0.17108
1999,17-29 y.,East,Both equally,0.19833,158,273,0.15095,0.24572
1999,30-45 y.,West,Earn money,0.05483,188,487,0.03459,0.07506
1999,30-45 y.,West,Other reasons,0.00843,33,487,0.00030,0.01656
1999,30-45 y.,West,Both equally,0.07395,266,487,0.05068,0.09722
1999,30-45 y.,East,Earn money,0.05679,74,193,0.02406,0.08953
1999,30-45 y.,East,Both equally,0.10801,119,193,0.06411,0.15192
1999,46-65 y.,West,Earn money,0.01755,64,136,-0.00460,0.03970
1999,46-65 y.,West,Both equally,0.02591,72,136,-0.00089,0.05270
1999,46-65 y.,East,Earn money,0.03460,49,144,0.00464,0.06455
1999,46-65 y.,East,Both equally,0.07873,95,144,0.03459,0.12287
2000,17-29 y.,West,Earn money,0.11925,420,1098,0.10008,0.13843
2000,17-29 y.,West,Other reasons,0.01355,51,1098,0.00671,0.02039
2000,17-29 y.,West,Both equally,0.17495,627,1098,0.15247,0.19743
2000,17-29 y.,East,Earn money,0.14198,177,420,0.10856,0.17540
2000,17-29 y.,East,Both equally,0.19763,243,420,0.15950,0.23576
2000,30-45 y.,West,Earn money,0.04754,344,959,0.03406,0.06101
2000,30-45 y.,West,Other reasons,0.01427,100,959,0.00676,0.02178
2000,30-45 y.,West,Both equally,0.07510,515,959,0.05841,0.09179
2000,30-45 y.,East,Earn money,0.07639,144,307,0.04663,0.10615
2000,30-45 y.,East,Both equally,0.09388,163,307,0.06120,0.12656
2000,46-65 y.,West,Earn money,0.02091,125,320,0.00521,0.03661
2000,46-65 y.,West,Other reasons,0.00880,50,320,-0.00145,0.01905
2000,46-65 y.,West,Both equally,0.02337,145,320,0.00679,0.03995
2000,46-65 y.,East,Earn money,0.04891,103,222,0.02047,0.07734
2000,46-65 y.,East,Both equally,0.05899,119,222,0.02793,0.09005
2001,17-29 y.,West,Earn money,0.12940,370,1001,0.10860,0.15021
2001,17-29 y.,West,Other reasons,0.01311,40,1001,0.00606,0.02016
2001,17-29 y.,West,Both equally,0.17083,591,1001,0.14750,0.19415
2001,17-29 y.,East,Earn money,0.14168,164,390,0.10703,0.17634
2001,17-29 y.,East,Both equally,0.19386,226,390,0.15457,0.23314
2001,30-45 y.,West,Earn money,0.04769,279,811,0.03301,0.06236
2001,30-45 y.,West,Other reasons,0.01071,69,811,0.00362,0.01780
2001,30-45 y.,West,Both equally,0.07645,463,811,0.05815,0.09474
2001,30-45 y.,East,Earn money,0.07282,123,276,0.04211,0.10353
2001,30-45 y.,East,Both equally,0.10012,153,276,0.06464,0.13559
2001,46-65 y.,West,Earn money,0.02198,112,256,0.00398,0.03997
2001,46-65 y.,West,Both equally,0.03087,144,256,0.00964,0.05210
2001,46-65 y.,East,Earn money,0.04995,98,216,0.02083,0.07907
2001,46-65 y.,East,Both equally,0.06548,118,216,0.03241,0.09854
2003,17-29 y.,West,Earn money,0.13513,400,1035,0.11429,0.15596
2003,17-29 y.,West,Other reasons,0.01321,48,1035,0.00625,0.02017
2003,17-29 y.,West,Both equally,0.17411,587,1035,0.15099,0.19722
2003,17-29 y.,East,Earn money,0.17324,182,410,0.13656,0.20992
2003,17-29 y.,East,Both equally,0.21540,228,410,0.17556,0.25524
2003,30-45 y.,West,Earn money,0.06566,316,775,0.04821,0.08310
2003,30-45 y.,West,Other reasons,0.00688,49,775,0.00106,0.01270
2003,30-45 y.,West,Both equally,0.07784,410,775,0.05897,0.09672
2003,30-45 y.,East,Earn money,0.09728,141,279,0.06244,0.13212
2003,30-45 y.,East,Both equally,0.10400,138,279,0.06812,0.13989
2003,46-65 y.,West,Earn money,0.03159,139,307,0.01200,0.05119
2003,46-65 y.,West,Both equally,0.03274,168,307,0.01280,0.05268
2003,46-65 y.,East,Earn money,0.06317,111,234,0.03193,0.09441
2003,46-65 y.,East,Both equally,0.07662,123,234,0.04246,0.11077
2005,17-29 y.,West,Earn money,0.10587,312,857,0.08526,0.12648
2005,17-29 y.,West,Other reasons,0.00958,31,857,0.00305,0.01610
2005,17-29 y.,West,Both equally,0.16723,514,857,0.14223,0.19223
2005,17-29 y.,East,Earn money,0.16253,154,378,0.12529,0.19977
2005,17-29 y.,East,Both equally,0.23387,224,378,0.19114,0.27659
2005,30-45 y.,West,Earn money,0.05313,236,541,0.03422,0.07205
2005,30-45 y.,West,Both equally,0.06800,305,541,0.04677,0.08924
2005,30-45 y.,East,Earn money,0.09518,108,236,0.05765,0.13270
2005,30-45 y.,East,Both equally,0.10630,128,236,0.06690,0.14571
2005,46-65 y.,West,Earn money,0.03255,135,276,0.01158,0.05353
2005,46-65 y.,West,Both equally,0.03127,141,276,0.01070,0.05184
2005,46-65 y.,East,Earn money,0.05173,85,208,0.02156,0.08190
2005,46-65 y.,East,Both equally,0.09452,123,208,0.05466,0.13437
2007,17-29 y.,West,Earn money,0.11790,335,887,0.09667,0.13914
2007,17-29 y.,West,Other reasons,0.01429,36,887,0.00647,0.02210
2007,17-29 y.,West,Both equally,0.17003,516,887,0.14529,0.19477
2007,17-29 y.,East,Earn money,0.12011,130,333,0.08514,0.15508
2007,17-29 y.,East,Both equally,0.20380,203,333,0.16047,0.24713
2007,30-45 y.,West,Earn money,0.05481,222,589,0.03642,0.07321
2007,30-45 y.,West,Other reasons,0.00696,33,589,0.00024,0.01368
2007,30-45 y.,West,Both equally,0.07401,334,589,0.05285,0.09517
2007,30-45 y.,East,Earn money,0.06459,68,175,0.02806,0.10111
2007,30-45 y.,East,Both equally,0.09691,107,175,0.05295,0.14086
2007,46-65 y.,West,Earn money,0.03388,127,304,0.01351,0.05425
2007,46-65 y.,West,Both equally,0.03782,177,304,0.01634,0.05930
2007,46-65 y.,East,Earn money,0.05666,94,209,0.02524,0.08808
2007,46-65 y.,East,Both equally,0.08739,115,209,0.04901,0.12577
2009,17-29 y.,West,Earn money,0.11629,282,688,0.09232,0.14026
2009,17-29 y.,West,Both equally,0.15122,406,688,0.12443,0.17801
2009,17-29 y.,East,Earn money,0.15427,118,264,0.11062,0.19793
2009,17-29 y.,East,Both equally,0.16834,146,264,0.12312,0.21356
2009,30-45 y.,West,Earn money,0.05888,204,428,0.03655,0.08121
2009,30-45 y.,West,Both equally,0.05816,224,428,0.03596,0.08035
2009,30-45 y.,East,Earn money,0.06030,64,133,0.01969,0.10091
2009,30-45 y.,East,Both equally,0.06317,69,133,0.02167,0.10467
