year,age_gr,plb0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,17-29 y.,Earn money,0.12673,430,1037,0.10647,0.14698
1994,17-29 y.,Other reasons,0.01573,50,1037,0.00815,0.02331
1994,17-29 y.,Both equally,0.17400,557,1037,0.15091,0.19708
1994,30-45 y.,Earn money,0.06257,282,658,0.04405,0.08109
1994,30-45 y.,Other reasons,0.01690,56,658,0.00704,0.02675
1994,30-45 y.,Both equally,0.07250,320,658,0.05267,0.09233
1994,46-65 y.,Earn money,0.03462,142,300,0.01390,0.05534
1994,46-65 y.,Both equally,0.03573,158,300,0.01469,0.05677
1995,17-29 y.,Earn money,0.12284,416,1062,0.10309,0.14259
1995,17-29 y.,Other reasons,0.01267,48,1062,0.00594,0.01940
1995,17-29 y.,Both equally,0.18491,598,1062,0.16155,0.20827
1995,30-45 y.,Earn money,0.05780,300,729,0.04084,0.07475
1995,30-45 y.,Other reasons,0.01266,48,729,0.00454,0.02078
1995,30-45 y.,Both equally,0.08990,381,729,0.06913,0.11068
1995,46-65 y.,Earn money,0.03090,150,322,0.01197,0.04983
1995,46-65 y.,Both equally,0.03865,172,322,0.01756,0.05974
1996,17-29 y.,Earn money,0.12831,405,1038,0.10796,0.14867
1996,17-29 y.,Other reasons,0.01594,50,1038,0.00832,0.02357
1996,17-29 y.,Both equally,0.19515,583,1038,0.17103,0.21928
1996,30-45 y.,Earn money,0.05958,303,743,0.04255,0.07662
1996,30-45 y.,Other reasons,0.01504,55,743,0.00628,0.02380
1996,30-45 y.,Both equally,0.08598,385,743,0.06581,0.10615
1996,46-65 y.,Earn money,0.03789,173,331,0.01729,0.05849
1996,46-65 y.,Both equally,0.03645,158,331,0.01623,0.05667
1997,17-29 y.,Earn money,0.12515,387,991,0.10453,0.14576
1997,17-29 y.,Other reasons,0.01324,38,991,0.00612,0.02036
1997,17-29 y.,Both equally,0.19520,566,991,0.17051,0.21990
1997,30-45 y.,Earn money,0.06102,285,751,0.04389,0.07815
1997,30-45 y.,Other reasons,0.01099,41,751,0.00353,0.01846
1997,30-45 y.,Both equally,0.09534,425,751,0.07432,0.11636
1997,46-65 y.,Earn money,0.03565,174,355,0.01633,0.05496
1997,46-65 y.,Both equally,0.04797,181,355,0.02571,0.07023
1998,17-29 y.,Earn money,0.12829,398,1034,0.10789,0.14868
1998,17-29 y.,Other reasons,0.02011,55,1034,0.01155,0.02867
1998,17-29 y.,Both equally,0.18167,581,1034,0.15816,0.20519
1998,30-45 y.,Earn money,0.06660,344,808,0.04940,0.08380
1998,30-45 y.,Other reasons,0.01220,55,808,0.00463,0.01978
1998,30-45 y.,Both equally,0.08354,409,808,0.06445,0.10263
1998,46-65 y.,Earn money,0.03681,176,358,0.01728,0.05635
1998,46-65 y.,Both equally,0.03707,182,358,0.01747,0.05667
1999,17-29 y.,Earn money,0.12164,371,940,0.10073,0.14255
1999,17-29 y.,Other reasons,0.01258,33,940,0.00545,0.01971
1999,17-29 y.,Both equally,0.18429,536,940,0.15949,0.20909
1999,30-45 y.,Earn money,0.05518,262,683,0.03804,0.07231
1999,30-45 y.,Other reasons,0.00736,36,683,0.00094,0.01377
1999,30-45 y.,Both equally,0.08005,385,683,0.05969,0.10042
1999,46-65 y.,Earn money,0.02090,113,280,0.00411,0.03768
1999,46-65 y.,Both equally,0.03627,167,280,0.01433,0.05821
2000,17-29 y.,Earn money,0.12379,597,1530,0.10729,0.14030
2000,17-29 y.,Other reasons,0.01307,63,1530,0.00737,0.01876
2000,17-29 y.,Both equally,0.17948,870,1530,0.16025,0.19872
2000,30-45 y.,Earn money,0.05260,488,1272,0.04033,0.06487
2000,30-45 y.,Other reasons,0.01239,106,1272,0.00631,0.01848
2000,30-45 y.,Both equally,0.07840,678,1272,0.06362,0.09318
2000,46-65 y.,Earn money,0.02637,228,549,0.01296,0.03979
2000,46-65 y.,Other reasons,0.00785,57,549,0.00046,0.01523
2000,46-65 y.,Both equally,0.03032,264,549,0.01596,0.04468
2001,17-29 y.,Earn money,0.13184,534,1398,0.11410,0.14958
2001,17-29 y.,Other reasons,0.01208,47,1398,0.00635,0.01780
2001,17-29 y.,Both equally,0.17540,817,1398,0.15545,0.19534
2001,30-45 y.,Earn money,0.05205,402,1091,0.03887,0.06524
2001,30-45 y.,Other reasons,0.00929,73,1091,0.00360,0.01499
2001,30-45 y.,Both equally,0.08056,616,1091,0.06440,0.09672
2001,46-65 y.,Earn money,0.02738,210,505,0.01313,0.04162
2001,46-65 y.,Other reasons,0.00501,33,505,-0.00116,0.01117
2001,46-65 y.,Both equally,0.03755,262,505,0.02095,0.05415
2003,17-29 y.,Earn money,0.14260,582,1455,0.12463,0.16057
2003,17-29 y.,Other reasons,0.01186,58,1455,0.00630,0.01743
2003,17-29 y.,Both equally,0.18221,815,1455,0.16236,0.20205
2003,30-45 y.,Earn money,0.07107,457,1060,0.05559,0.08654
2003,30-45 y.,Other reasons,0.00646,55,1060,0.00164,0.01129
2003,30-45 y.,Both equally,0.08232,548,1060,0.06576,0.09887
2003,46-65 y.,Earn money,0.03771,250,573,0.02210,0.05333
2003,46-65 y.,Other reasons,0.00416,32,573,-0.00111,0.00944
2003,46-65 y.,Both equally,0.04124,291,573,0.02495,0.05754
2005,17-29 y.,Earn money,0.11728,466,1243,0.09938,0.13517
2005,17-29 y.,Other reasons,0.00963,39,1243,0.00420,0.01506
2005,17-29 y.,Both equally,0.18064,738,1243,0.15924,0.20204
2005,30-45 y.,Earn money,0.06001,344,810,0.04364,0.07638
2005,30-45 y.,Other reasons,0.00407,33,810,-0.00032,0.00846
2005,30-45 y.,Both equally,0.07427,433,810,0.05620,0.09234
2005,46-65 y.,Earn money,0.03620,220,484,0.01954,0.05286
2005,46-65 y.,Both equally,0.04329,264,484,0.02514,0.06143
2007,17-29 y.,Earn money,0.11836,465,1230,0.10030,0.13642
2007,17-29 y.,Other reasons,0.01373,46,1230,0.00722,0.02023
2007,17-29 y.,Both equally,0.17704,719,1230,0.15570,0.19838
2007,30-45 y.,Earn money,0.05640,290,766,0.04006,0.07275
2007,30-45 y.,Other reasons,0.00618,35,766,0.00063,0.01174
2007,30-45 y.,Both equally,0.07774,441,766,0.05876,0.09671
2007,46-65 y.,Earn money,0.03830,221,513,0.02167,0.05492
2007,46-65 y.,Both equally,0.04743,292,513,0.02902,0.06584
2009,17-29 y.,Earn money,0.12338,400,986,0.10284,0.14392
2009,17-29 y.,Other reasons,0.01006,34,986,0.00383,0.01630
2009,17-29 y.,Both equally,0.15442,552,986,0.13185,0.17698
2009,30-45 y.,Earn money,0.05912,268,594,0.04014,0.07810
2009,30-45 y.,Other reasons,0.00780,33,594,0.00072,0.01488
2009,30-45 y.,Both equally,0.05900,293,594,0.04004,0.07797
2009,46-65 y.,Earn money,0.03862,207,431,0.02041,0.05684
2009,46-65 y.,Both equally,0.04131,224,431,0.02250,0.06012
2011,17-29 y.,Earn money,0.06051,261,710,0.04296,0.07807
2011,17-29 y.,Both equally,0.09289,449,710,0.07152,0.11425
2011,30-45 y.,Earn money,0.02471,179,422,0.00988,0.03954
2011,30-45 y.,Both equally,0.02440,243,422,0.00966,0.03914
2011,46-65 y.,Earn money,0.02482,176,384,0.00924,0.04040
