year,migback,sampreg,plh0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,No migration background,West,Very seldom,0.02943,299,12684,0.02649,0.03237
2007,No migration background,West,Seldom,0.09859,1116,12684,0.09340,0.10378
2007,No migration background,West,Sometimes,0.35073,4284,12684,0.34242,0.35903
2007,No migration background,West,Often,0.43734,5914,12684,0.42871,0.44598
2007,No migration background,West,Very often,0.08391,1071,12684,0.07909,0.08874
2007,No migration background,East,Very seldom,0.02914,116,4869,0.02442,0.03387
2007,No migration background,East,Seldom,0.11991,496,4869,0.11079,0.12904
2007,No migration background,East,Sometimes,0.36209,1727,4869,0.34859,0.37559
2007,No migration background,East,Often,0.42061,2178,4869,0.40674,0.43447
2007,No migration background,East,Very often,0.06824,352,4869,0.06116,0.07533
2007,Direct migration background,West,Very seldom,0.04081,81,2019,0.03218,0.04944
2007,Direct migration background,West,Seldom,0.13739,236,2019,0.12237,0.15241
2007,Direct migration background,West,Sometimes,0.37891,783,2019,0.35775,0.40008
2007,Direct migration background,West,Often,0.36453,775,2019,0.34353,0.38553
2007,Direct migration background,West,Very often,0.07836,144,2019,0.06663,0.09008
2007,Direct migration background,East,Sometimes,0.38946,33,69,0.27356,0.50536
2007,Direct migration background,East,Often,0.37628,36,69,0.26113,0.49143
2007,Indirect migration background,West,Seldom,0.07989,51,721,0.06009,0.09970
2007,Indirect migration background,West,Sometimes,0.30952,238,721,0.27575,0.34329
2007,Indirect migration background,West,Often,0.44959,331,721,0.41326,0.48593
2007,Indirect migration background,West,Very often,0.14183,101,721,0.11635,0.16732
2008,No migration background,West,Very seldom,0.03019,287,11940,0.02713,0.03326
2008,No migration background,West,Seldom,0.09616,1021,11940,0.09087,0.10145
2008,No migration background,West,Sometimes,0.35785,4127,11940,0.34925,0.36645
2008,No migration background,West,Often,0.43829,5528,11940,0.42939,0.44719
2008,No migration background,West,Very often,0.07750,977,11940,0.07270,0.08229
2008,No migration background,East,Very seldom,0.03214,113,4641,0.02707,0.03722
2008,No migration background,East,Seldom,0.10768,450,4641,0.09876,0.11660
2008,No migration background,East,Sometimes,0.36342,1660,4641,0.34958,0.37726
2008,No migration background,East,Often,0.43588,2102,4641,0.42161,0.45015
2008,No migration background,East,Very often,0.06088,316,4641,0.05400,0.06776
