year,migback,sex,plh0186,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,No migration background,male,Very seldom,0.02895,193,8400,0.02536,0.03254
2007,No migration background,male,Seldom,0.09883,731,8400,0.09245,0.10522
2007,No migration background,male,Sometimes,0.36219,3007,8400,0.35191,0.37247
2007,No migration background,male,Often,0.44027,3869,8400,0.42965,0.45088
2007,No migration background,male,Very often,0.06976,600,8400,0.06431,0.07521
2007,No migration background,female,Very seldom,0.02976,222,9153,0.02628,0.03324
2007,No migration background,female,Seldom,0.10757,881,9153,0.10122,0.11392
2007,No migration background,female,Sometimes,0.34475,3004,9153,0.33501,0.35449
2007,No migration background,female,Often,0.42733,4223,9153,0.41720,0.43747
2007,No migration background,female,Very often,0.09059,823,9153,0.08471,0.09647
2007,Direct migration background,male,Very seldom,0.04048,40,977,0.02812,0.05285
2007,Direct migration background,male,Seldom,0.12068,100,977,0.10024,0.14112
2007,Direct migration background,male,Sometimes,0.40894,401,977,0.37810,0.43979
2007,Direct migration background,male,Often,0.36077,377,977,0.33064,0.39090
2007,Direct migration background,male,Very often,0.06912,59,977,0.05321,0.08504
2007,Direct migration background,female,Very seldom,0.04278,47,1133,0.03099,0.05457
2007,Direct migration background,female,Seldom,0.15185,147,1133,0.13094,0.17276
2007,Direct migration background,female,Sometimes,0.35249,415,1133,0.32466,0.38032
2007,Direct migration background,female,Often,0.36878,434,1133,0.34067,0.39689
2007,Direct migration background,female,Very often,0.08410,90,1133,0.06793,0.10027
2007,Indirect migration background,male,Sometimes,0.31483,123,332,0.26480,0.36487
2007,Indirect migration background,male,Often,0.46767,161,332,0.41392,0.52143
2007,Indirect migration background,male,Very often,0.12539,48,332,0.08972,0.16107
2007,Indirect migration background,female,Sometimes,0.31175,130,375,0.26480,0.35869
2007,Indirect migration background,female,Often,0.43301,188,375,0.38279,0.48323
2007,Indirect migration background,female,Very often,0.15135,57,375,0.11502,0.18767
2008,No migration background,male,Very seldom,0.02733,167,7923,0.02374,0.03092
2008,No migration background,male,Seldom,0.09364,662,7923,0.08722,0.10005
2008,No migration background,male,Sometimes,0.37218,2891,7923,0.36153,0.38282
2008,No migration background,male,Often,0.44257,3656,7923,0.43163,0.45350
2008,No migration background,male,Very often,0.06428,547,7923,0.05888,0.06968
2008,No migration background,female,Very seldom,0.03373,233,8658,0.02993,0.03753
2008,No migration background,female,Seldom,0.10346,809,8658,0.09705,0.10988
2008,No migration background,female,Sometimes,0.34668,2896,8658,0.33666,0.35671
2008,No migration background,female,Often,0.43322,3974,8658,0.42278,0.44366
2008,No migration background,female,Very often,0.08290,746,8658,0.07709,0.08871
2008,Direct migration background,male,Seldom,0.14634,102,851,0.12258,0.17010
