"year","bula_h","hhtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1984","Baden-Württemberg","(Ehe-)Paar ohne Kind(er)","1.43","1","406","1.38","1.48"
"1984","Baden-Württemberg","1-Pers.- Haushalt","1.7","1.5","209","1.64","1.76"
"1984","Baden-Württemberg","Alleinerziehende","1.59","1.5","160","1.52","1.66"
"1984","Baden-Württemberg","Paar mit Kind(ern)","1.41","1","2155","1.39","1.43"
"1984","Baden-Württemberg","Sonstige","1.2","1","184","1.13","1.27"
"1984","Bayern","(Ehe-)Paar ohne Kind(er)","1.53","1.5","482","1.49","1.57"
"1984","Bayern","1-Pers.- Haushalt","1.69","1.5","191","1.63","1.75"
"1984","Bayern","Alleinerziehende","1.58","1.5","122","1.49","1.67"
"1984","Bayern","Paar mit Kind(ern)","1.41","1","1785","1.39","1.43"
"1984","Bayern","Sonstige","1.37","1","151","1.29","1.45"
"1984","Berlin","(Ehe-)Paar ohne Kind(er)","1.91","1.5","104","1.86","1.96"
"1984","Berlin","1-Pers.- Haushalt","1.94","1.5","72","1.89","1.99"
"1984","Berlin","Alleinerziehende","2","2","47","2","2"
"1984","Berlin","Paar mit Kind(ern)","1.85","1.5","286","1.81","1.89"
"1984","Berlin","Sonstige","1.8","1.5","31","1.71","1.89"
"1984","Brandenburg","(Ehe-)Paar ohne Kind(er)","","","","",""
"1984","Brandenburg","1-Pers.- Haushalt","","","","",""
"1984","Brandenburg","Alleinerziehende","","","","",""
"1984","Brandenburg","Paar mit Kind(ern)","","","","",""
"1984","Brandenburg","Sonstige","","","","",""
"1984","Bremen","(Ehe-)Paar ohne Kind(er)","1.74","1.5","46","1.61","1.87"
"1984","Bremen","1-Pers.- Haushalt","","","","",""
"1984","Bremen","Alleinerziehende","","","","",""
"1984","Bremen","Paar mit Kind(ern)","1.5","1.5","79","1.4","1.6"
"1984","Bremen","Sonstige","","","","",""
"1984","Hamburg","(Ehe-)Paar ohne Kind(er)","1.83","1.5","92","1.76","1.9"
"1984","Hamburg","1-Pers.- Haushalt","1.94","1.5","53","1.88","2"
"1984","Hamburg","Alleinerziehende","","","","",""
"1984","Hamburg","Paar mit Kind(ern)","1.71","1.5","204","1.65","1.77"
"1984","Hamburg","Sonstige","","","","",""
"1984","Hessen","(Ehe-)Paar ohne Kind(er)","1.55","1.5","286","1.49","1.61"
"1984","Hessen","1-Pers.- Haushalt","1.78","1.5","121","1.71","1.85"
