"year","quintil","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1995","1 Einkommensschwächstes Quintil","Laendlicher Raum","1.57","1.5","2818","1.55","1.59"
"1995","1 Einkommensschwächstes Quintil","Staedtischer Raum","1.7","1.5","4287","1.69","1.71"
"1995","2","Laendlicher Raum","1.44","1","1765","1.42","1.46"
"1995","2","Staedtischer Raum","1.58","1.5","3185","1.56","1.6"
"1995","3","Laendlicher Raum","1.42","1","983","1.39","1.45"
"1995","3","Staedtischer Raum","1.52","1.5","2034","1.5","1.54"
"1995","4","Laendlicher Raum","1.42","1","478","1.38","1.46"
"1995","4","Staedtischer Raum","1.51","1.5","1317","1.48","1.54"
"1995","5 Einkommensstärkstes Quintil","Laendlicher Raum","1.23","1","160","1.16","1.3"
"1995","5 Einkommensstärkstes Quintil","Staedtischer Raum","1.32","1","685","1.28","1.36"
"1996","1 Einkommensschwächstes Quintil","Laendlicher Raum","1.55","1.5","2475","1.53","1.57"
"1996","1 Einkommensschwächstes Quintil","Staedtischer Raum","1.7","1.5","3899","1.69","1.71"
"1996","2","Laendlicher Raum","1.45","1","1855","1.43","1.47"
"1996","2","Staedtischer Raum","1.6","1.5","3081","1.58","1.62"
"1996","3","Laendlicher Raum","1.36","1","1041","1.33","1.39"
"1996","3","Staedtischer Raum","1.53","1.5","2115","1.51","1.55"
"1996","4","Laendlicher Raum","1.35","1","490","1.31","1.39"
"1996","4","Staedtischer Raum","1.46","1","1411","1.43","1.49"
"1996","5 Einkommensstärkstes Quintil","Laendlicher Raum","1.34","1","213","1.28","1.4"
"1996","5 Einkommensstärkstes Quintil","Staedtischer Raum","1.35","1","759","1.32","1.38"
"1997","1 Einkommensschwächstes Quintil","Laendlicher Raum","1.51","1.5","2336","1.49","1.53"
"1997","1 Einkommensschwächstes Quintil","Staedtischer Raum","1.7","1.5","3651","1.69","1.71"
"1997","2","Laendlicher Raum","1.47","1","1866","1.45","1.49"
"1997","2","Staedtischer Raum","1.58","1.5","2961","1.56","1.6"
"1997","3","Laendlicher Raum","1.42","1","1036","1.39","1.45"
"1997","3","Staedtischer Raum","1.52","1.5","2255","1.5","1.54"
"1997","4","Laendlicher Raum","1.32","1","550","1.28","1.36"
"1997","4","Staedtischer Raum","1.47","1","1385","1.44","1.5"
"1997","5 Einkommensstärkstes Quintil","Laendlicher Raum","1.2","1","185","1.14","1.26"
"1997","5 Einkommensstärkstes Quintil","Staedtischer Raum","1.36","1","781","1.33","1.39"
"1998","1 Einkommensschwächstes Quintil","Laendlicher Raum","1.51","1.5","2582","1.49","1.53"
"1998","1 Einkommensschwächstes Quintil","Staedtischer Raum","1.71","1.5","3857","1.7","1.72"
"1998","2","Laendlicher Raum","1.41","1","1905","1.39","1.43"
"1998","2","Staedtischer Raum","1.61","1.5","3269","1.59","1.63"
"1998","3","Laendlicher Raum","1.39","1","1226","1.36","1.42"
"1998","3","Staedtischer Raum","1.53","1.5","2371","1.51","1.55"
"1998","4","Laendlicher Raum","1.36","1","639","1.32","1.4"
"1998","4","Staedtischer Raum","1.45","1","1744","1.43","1.47"
"1998","5 Einkommensstärkstes Quintil","Laendlicher Raum","1.2","1","267","1.15","1.25"
"1998","5 Einkommensstärkstes Quintil","Staedtischer Raum","1.36","1","896","1.33","1.39"
"1999","1 Einkommensschwächstes Quintil","Laendlicher Raum","1.52","1.5","2102","1.5","1.54"
"1999","1 Einkommensschwächstes Quintil","Staedtischer Raum","1.75","1.5","3156","1.74","1.76"
"1999","2","Laendlicher Raum","1.43","1","2066","1.41","1.45"
