year,age_gr,pli0081,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Daily,0.05928,256,2704,0.05038,0.06818
1990,17-29 y.,At least once per week,0.29772,1090,2704,0.28048,0.31495
1990,17-29 y.,At least once per month,0.23757,703,2704,0.22153,0.25362
1990,17-29 y.,Seldom,0.17043,547,2704,0.15625,0.18460
1990,17-29 y.,Never,0.02242,108,2704,0.01683,0.02800
1990,30-45 y.,Daily,0.03390,133,2781,0.02718,0.04063
1990,30-45 y.,At least once per week,0.30329,1072,2781,0.28620,0.32038
1990,30-45 y.,At least once per month,0.26031,849,2781,0.24400,0.27662
1990,30-45 y.,Seldom,0.18434,616,2781,0.16992,0.19875
1990,30-45 y.,Never,0.01745,111,2781,0.01259,0.02232
1990,46-65 y.,Daily,0.05122,221,2899,0.04320,0.05925
1990,46-65 y.,At least once per week,0.26335,992,2899,0.24731,0.27938
1990,46-65 y.,At least once per month,0.26122,863,2899,0.24523,0.27722
1990,46-65 y.,Seldom,0.20043,702,2899,0.18585,0.21501
1990,46-65 y.,Never,0.02210,121,2899,0.01674,0.02745
1990,66 and older,Daily,0.08645,103,1035,0.06932,0.10358
1990,66 and older,At least once per week,0.28694,367,1035,0.25937,0.31451
1990,66 and older,At least once per month,0.23962,311,1035,0.21360,0.26564
1990,66 and older,Seldom,0.17613,216,1035,0.15291,0.19935
1990,66 and older,Never,0.03078,38,1035,0.02025,0.04131
1995,17-29 y.,Daily,0.08337,318,3332,0.07398,0.09275
1995,17-29 y.,At least once per week,0.39132,1420,3332,0.37475,0.40790
1995,17-29 y.,At least once per month,0.28168,884,3332,0.26640,0.29696
1995,17-29 y.,Seldom,0.20076,601,3332,0.18716,0.21436
1995,17-29 y.,Never,0.03439,109,3332,0.02820,0.04058
1995,30-45 y.,Daily,0.05444,273,4423,0.04776,0.06113
1995,30-45 y.,At least once per week,0.38225,1745,4423,0.36792,0.39657
1995,30-45 y.,At least once per month,0.32385,1422,4423,0.31006,0.33765
1995,30-45 y.,Seldom,0.20902,862,4423,0.19704,0.22101
1995,30-45 y.,Never,0.02624,121,4423,0.02153,0.03095
1995,46-65 y.,Daily,0.06602,324,3947,0.05827,0.07376
1995,46-65 y.,At least once per week,0.38003,1571,3947,0.36489,0.39518
1995,46-65 y.,At least once per month,0.29899,1129,3947,0.28471,0.31328
1995,46-65 y.,Seldom,0.22661,812,3947,0.21355,0.23967
1995,46-65 y.,Never,0.02254,111,3947,0.01791,0.02717
1995,66 and older,Daily,0.11785,168,1509,0.10158,0.13413
1995,66 and older,At least once per week,0.36898,595,1509,0.34462,0.39333
1995,66 and older,At least once per month,0.25823,396,1509,0.23614,0.28032
1995,66 and older,Seldom,0.20387,294,1509,0.18353,0.22420
1995,66 and older,Never,0.04009,56,1509,0.03019,0.05000
1998,17-29 y.,Daily,0.08636,330,3151,0.07655,0.09617
1998,17-29 y.,At least once per week,0.41427,1365,3151,0.39707,0.43147
1998,17-29 y.,At least once per month,0.27440,819,3151,0.25882,0.28999
1998,17-29 y.,Seldom,0.20429,592,3151,0.19021,0.21837
1998,17-29 y.,Never,0.01580,45,3151,0.01145,0.02016
1998,30-45 y.,Daily,0.06483,342,4798,0.05786,0.07180
1998,30-45 y.,At least once per week,0.39375,1972,4798,0.37992,0.40758
1998,30-45 y.,At least once per month,0.32777,1560,4798,0.31448,0.34105
1998,30-45 y.,Seldom,0.19202,868,4798,0.18087,0.20317
1998,30-45 y.,Never,0.01431,56,4798,0.01095,0.01767
1998,46-65 y.,Daily,0.07610,381,4367,0.06824,0.08397
1998,46-65 y.,At least once per week,0.37627,1722,4367,0.36190,0.39064
1998,46-65 y.,At least once per month,0.29193,1292,4367,0.27844,0.30541
1998,46-65 y.,Seldom,0.22687,875,4367,0.21445,0.23929
1998,46-65 y.,Never,0.02185,97,4367,0.01752,0.02619
1998,66 and older,Daily,0.11291,221,1837,0.09843,0.12738
1998,66 and older,At least once per week,0.40340,772,1837,0.38096,0.42584
1998,66 and older,At least once per month,0.26279,494,1837,0.24265,0.28292
1998,66 and older,Seldom,0.17400,302,1837,0.15666,0.19134
1998,66 and older,Never,0.03285,48,1837,0.02470,0.04100
2003,17-29 y.,Daily,0.07440,289,3985,0.06625,0.08254
2003,17-29 y.,At least once per week,0.39052,1595,3985,0.37537,0.40567
2003,17-29 y.,At least once per month,0.28563,1186,3985,0.27160,0.29966
2003,17-29 y.,Seldom,0.21269,837,3985,0.19998,0.22539
