year,regtyp,ple0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,Urban regions,Yes,0.02319,525,17147,0.02094,0.02544
2017,Urban regions,No,0.80864,16622,17147,0.80275,0.81453
2017,Rural regions,Yes,0.02380,265,9402,0.02072,0.02688
2017,Rural regions,No,0.81497,9137,9402,0.80712,0.82282
2019,Urban regions,Yes,0.02876,594,16365,0.02620,0.03132
2019,Urban regions,No,0.80085,15771,16365,0.79473,0.80697
2019,Rural regions,Yes,0.03060,268,8806,0.02700,0.03420
2019,Rural regions,No,0.80336,8538,8806,0.79506,0.81166
2021,Urban regions,Yes,0.04078,565,12996,0.03738,0.04418
2021,Urban regions,No,0.78115,12431,12996,0.77404,0.78826
2021,Rural regions,Yes,0.04156,270,6167,0.03658,0.04654
2021,Rural regions,No,0.78373,5897,6167,0.77345,0.79401
