year,sex,ple0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,male,Yes,0.01947,276,12261,0.01702,0.02191
2017,male,No,0.80534,11985,12261,0.79833,0.81235
2017,female,Yes,0.02723,514,14288,0.02456,0.02990
2017,female,No,0.81587,13774,14288,0.80951,0.82222
2019,male,Yes,0.02657,383,12278,0.02372,0.02941
2019,male,No,0.79589,11895,12278,0.78876,0.80302
2019,female,Yes,0.03338,534,13440,0.03035,0.03642
2019,female,No,0.80692,12906,13440,0.80024,0.81359
2021,male,Yes,0.03793,322,9292,0.03404,0.04181
2021,male,No,0.77996,8970,9292,0.77154,0.78838
2021,female,Yes,0.04445,512,9865,0.04038,0.04851
2021,female,No,0.78363,9353,9865,0.77550,0.79175
