year,age_gr,regtyp,ple0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,17-29 y.,Urban regions,No,0.90138,2917,2917,0.89056,0.91220
2017,17-29 y.,Rural regions,No,0.91167,1410,1410,0.89685,0.92649
2017,30-45 y.,Urban regions,Yes,0.02745,142,4831,0.02284,0.03206
2017,30-45 y.,Urban regions,No,0.96222,4689,4831,0.95684,0.96759
2017,30-45 y.,Rural regions,Yes,0.03589,76,2426,0.02849,0.04329
2017,30-45 y.,Rural regions,No,0.95321,2350,2426,0.94480,0.96161
2017,46-65 y.,Urban regions,Yes,0.04869,318,6274,0.04337,0.05402
2017,46-65 y.,Urban regions,No,0.94885,5956,6274,0.94340,0.95430
2017,46-65 y.,Rural regions,Yes,0.04489,158,3699,0.03822,0.05157
2017,46-65 y.,Rural regions,No,0.95321,3541,3699,0.94640,0.96002
2017,66 and older,Urban regions,Yes,0.01068,43,3103,0.00706,0.01430
2017,66 and older,Urban regions,No,0.98892,3060,3103,0.98524,0.99261
2017,66 and older,Rural regions,No,0.99139,1836,1836,0.98717,0.99562
2019,17-29 y.,Urban regions,No,0.90515,2549,2549,0.89377,0.91653
2019,17-29 y.,Rural regions,No,0.86936,1149,1149,0.84986,0.88885
2019,30-45 y.,Urban regions,Yes,0.03308,145,4053,0.02758,0.03859
2019,30-45 y.,Urban regions,No,0.95182,3908,4053,0.94522,0.95841
2019,30-45 y.,Rural regions,Yes,0.03732,64,2078,0.02917,0.04548
2019,30-45 y.,Rural regions,No,0.94929,2014,2078,0.93985,0.95872
2019,46-65 y.,Urban regions,Yes,0.06259,376,6526,0.05672,0.06847
2019,46-65 y.,Urban regions,No,0.93408,6150,6526,0.92806,0.94010
2019,46-65 y.,Rural regions,Yes,0.05320,158,3697,0.04596,0.06044
2019,46-65 y.,Rural regions,No,0.94483,3539,3697,0.93747,0.95219
2019,66 and older,Urban regions,Yes,0.01265,57,3221,0.00879,0.01651
2019,66 and older,Urban regions,No,0.98706,3164,3221,0.98316,0.99096
2019,66 and older,Rural regions,Yes,0.02454,36,1872,0.01753,0.03155
2019,66 and older,Rural regions,No,0.97513,1836,1872,0.96808,0.98219
2021,17-29 y.,Urban regions,Yes,0.01257,32,2319,0.00804,0.01711
2021,17-29 y.,Urban regions,No,0.91613,2287,2319,0.90485,0.92742
2021,17-29 y.,Rural regions,No,0.89650,847,847,0.87598,0.91703
2021,30-45 y.,Urban regions,Yes,0.05343,144,3663,0.04614,0.06071
2021,30-45 y.,Urban regions,No,0.93436,3519,3663,0.92634,0.94239
2021,30-45 y.,Rural regions,Yes,0.06023,68,1543,0.04835,0.07210
2021,30-45 y.,Rural regions,No,0.91286,1475,1543,0.89879,0.92694
2021,46-65 y.,Urban regions,Yes,0.08016,329,4772,0.07246,0.08787
2021,46-65 y.,Urban regions,No,0.91078,4443,4772,0.90269,0.91887
2021,46-65 y.,Rural regions,Yes,0.07298,149,2443,0.06266,0.08330
2021,46-65 y.,Rural regions,No,0.91759,2294,2443,0.90669,0.92850
2021,66 and older,Urban regions,Yes,0.02438,60,2242,0.01800,0.03077
2021,66 and older,Urban regions,No,0.96688,2182,2242,0.95947,0.97429
2021,66 and older,Rural regions,Yes,0.02654,40,1321,0.01787,0.03521
2021,66 and older,Rural regions,No,0.96561,1281,1321,0.95578,0.97544
