year,age_gr,ple0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,17-29 y.,Yes,0.00771,33,4360,0.00512,0.01031
2017,17-29 y.,No,0.90428,4327,4360,0.89555,0.91302
2017,30-45 y.,Yes,0.02988,218,7257,0.02596,0.03379
2017,30-45 y.,No,0.95963,7039,7257,0.95510,0.96416
2017,46-65 y.,Yes,0.04740,476,9973,0.04323,0.05157
2017,46-65 y.,No,0.95034,9497,9973,0.94608,0.95460
2017,66 and older,Yes,0.00996,63,4959,0.00719,0.01272
2017,66 and older,No,0.98973,4896,4959,0.98692,0.99253
2019,17-29 y.,No,0.89709,3816,3816,0.88745,0.90673
2019,30-45 y.,Yes,0.03625,232,6287,0.03163,0.04087
2019,30-45 y.,No,0.94944,6055,6287,0.94402,0.95485
2019,46-65 y.,Yes,0.06032,563,10421,0.05575,0.06489
2019,46-65 y.,No,0.93685,9858,10421,0.93218,0.94152
2019,66 and older,Yes,0.01670,96,5174,0.01320,0.02019
2019,66 and older,No,0.98301,5078,5174,0.97949,0.98653
2021,17-29 y.,Yes,0.01210,45,3179,0.00829,0.01590
2021,17-29 y.,No,0.91055,3134,3179,0.90063,0.92047
2021,30-45 y.,Yes,0.05545,212,5206,0.04924,0.06167
2021,30-45 y.,No,0.92796,4994,5206,0.92093,0.93498
2021,46-65 y.,Yes,0.07838,479,7216,0.07218,0.08458
2021,46-65 y.,No,0.91244,6737,7216,0.90592,0.91896
2021,66 and older,Yes,0.02512,100,3563,0.01998,0.03026
2021,66 and older,No,0.96645,3463,3563,0.96053,0.97236
