year,age_gr,pgisced97,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Primary Level,No,0.78180,133,133,0.71134,0.85226
1985,17-29 y.,Lower Secondary Level,Yes,0.05993,71,942,0.04477,0.07510
1985,17-29 y.,Lower Secondary Level,No,0.93048,871,942,0.91423,0.94673
1985,17-29 y.,Upper Secondary Level,Yes,0.06607,99,1417,0.05313,0.07900
1985,17-29 y.,Upper Secondary Level,No,0.92894,1318,1417,0.91556,0.94232
1985,17-29 y.,Post-secondary Non-tertiary Level,No,0.88355,101,101,0.82068,0.94642
1985,17-29 y.,First Stage of Tertiary Education,No,0.94017,104,104,0.89437,0.98598
1985,17-29 y.,Second Stage of Tertiary Education,No,0.96792,115,115,0.93558,1.00027
1985,30-45 y.,Primary Level,No,0.85106,289,289,0.80994,0.89218
1985,30-45 y.,Lower Secondary Level,Yes,0.07254,40,668,0.05286,0.09223
1985,30-45 y.,Lower Secondary Level,No,0.91254,628,668,0.89110,0.93398
1985,30-45 y.,Upper Secondary Level,Yes,0.05345,91,1748,0.04290,0.06399
1985,30-45 y.,Upper Secondary Level,No,0.94041,1657,1748,0.92931,0.95151
1985,30-45 y.,Post-secondary Non-tertiary Level,No,0.90162,78,78,0.83510,0.96814
1985,30-45 y.,First Stage of Tertiary Education,No,0.96635,225,225,0.94273,0.98996
1985,30-45 y.,Second Stage of Tertiary Education,No,0.95043,348,348,0.92760,0.97327
1985,46-65 y.,Primary Level,No,0.88196,289,289,0.84470,0.91923
1985,46-65 y.,Lower Secondary Level,Yes,0.04018,42,982,0.02789,0.05247
1985,46-65 y.,Lower Secondary Level,No,0.94620,940,982,0.93208,0.96032
1985,46-65 y.,Upper Secondary Level,Yes,0.04384,66,1460,0.03334,0.05435
1985,46-65 y.,Upper Secondary Level,No,0.94652,1394,1460,0.93497,0.95806
1985,46-65 y.,Post-secondary Non-tertiary Level,No,0.93811,54,54,0.87323,1.00298
1985,46-65 y.,First Stage of Tertiary Education,No,0.94599,186,186,0.91341,0.97856
1985,46-65 y.,Second Stage of Tertiary Education,No,0.97519,211,211,0.95415,0.99623
1985,66 and older,Lower Secondary Level,No,0.98331,417,417,0.97100,0.99562
1985,66 and older,Upper Secondary Level,No,0.97488,501,501,0.96116,0.98859
1985,66 and older,First Stage of Tertiary Education,No,0.99155,79,79,0.97124,1.01186
1986,17-29 y.,Pre-primary Level,No,0.95701,181,181,0.92738,0.98664
1986,17-29 y.,Primary Level,No,0.80801,140,140,0.74253,0.87348
1986,17-29 y.,Lower Secondary Level,Yes,0.07349,70,933,0.05673,0.09024
1986,17-29 y.,Lower Secondary Level,No,0.91510,863,933,0.89721,0.93300
1986,17-29 y.,Upper Secondary Level,Yes,0.05106,87,1376,0.03942,0.06269
