year,hhtyp,quintil_oecd_hh,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Single-person household,1st Quintile,Yes,0.26903,83,332,0.22126,0.31681
1984,Single-person household,1st Quintile,No,0.73097,249,332,0.68319,0.77874
1984,Single-person household,2nd Quintile,No,0.85692,205,205,0.80887,0.90497
1984,Single-person household,3rd Quintile,No,0.97717,230,230,0.95782,0.99651
1984,Single-person household,4th Quintile,No,0.98374,235,235,0.96753,0.99994
1984,Couple without children,1st Quintile,No,0.90321,148,148,0.85542,0.95101
1984,Couple without children,2nd Quintile,No,0.97158,201,201,0.94855,0.99461
1984,Couple without children,3rd Quintile,No,0.98582,256,256,0.97130,1.00033
1984,Couple without children,4th Quintile,No,0.99143,297,297,0.98093,1.00193
1984,Couple without children,5th Quintile,No,0.99759,421,421,0.99289,1.00228
1984,Single parent,1st Quintile,Yes,0.33266,41,122,0.24870,0.41661
1984,Single parent,1st Quintile,No,0.66734,81,122,0.58339,0.75130
1984,Single parent,2nd Quintile,No,0.90321,69,69,0.83293,0.97349
1984,Single parent,3rd Quintile,No,0.91638,49,49,0.83806,0.99469
1984,Couple with children,1st Quintile,Yes,0.16366,71,533,0.13222,0.19510
1984,Couple with children,1st Quintile,No,0.83577,462,533,0.80428,0.86725
1984,Couple with children,2nd Quintile,No,0.94474,595,595,0.92636,0.96311
1984,Couple with children,3rd Quintile,No,0.98344,572,572,0.97297,0.99390
1984,Couple with children,4th Quintile,No,0.98794,536,536,0.97869,0.99719
1984,Couple with children,5th Quintile,No,0.99332,350,350,0.98477,1.00187
1984,Multi-generational household,1st Quintile,No,0.91996,31,31,0.82286,1.01706
1984,Other Combinations,4th Quintile,No,0.96716,31,31,0.90339,1.03093
1985,Single-person household,1st Quintile,Yes,0.24730,71,301,0.19848,0.29612
1985,Single-person household,1st Quintile,No,0.75270,230,301,0.70388,0.80152
1985,Single-person household,2nd Quintile,No,0.91917,185,185,0.87979,0.95856
1985,Single-person household,3rd Quintile,No,0.96065,202,202,0.93377,0.98753
1985,Single-person household,4th Quintile,No,0.97689,226,226,0.95725,0.99652
1985,Single-person household,5th Quintile,No,0.98376,192,192,0.96583,1.00169
1985,Couple without children,1st Quintile,No,0.86303,112,112,0.79907,0.92700
1985,Couple without children,2nd Quintile,No,0.96147,192,192,0.93418,0.98877
1985,Couple without children,3rd Quintile,No,0.96397,214,214,0.93894,0.98900
1985,Couple without children,4th Quintile,No,0.98999,279,279,0.97829,1.00169
1985,Couple without children,5th Quintile,No,0.98852,384,384,0.97785,0.99919
1985,Single parent,1st Quintile,Yes,0.40056,40,106,0.30683,0.49428
1985,Single parent,1st Quintile,No,0.58834,66,106,0.49421,0.68248
1985,Single parent,2nd Quintile,No,0.94252,61,61,0.88363,1.00142
1985,Single parent,3rd Quintile,No,0.92566,52,52,0.85366,0.99766
1985,Couple with children,1st Quintile,Yes,0.17127,68,482,0.13760,0.20493
1985,Couple with children,1st Quintile,No,0.82752,414,482,0.79376,0.86129
1985,Couple with children,2nd Quintile,No,0.94028,531,531,0.92011,0.96046
1985,Couple with children,3rd Quintile,No,0.97567,536,536,0.96262,0.98873
1985,Couple with children,4th Quintile,No,0.98471,451,451,0.97338,0.99605
1985,Couple with children,5th Quintile,No,0.98994,324,324,0.97906,1.00083
1986,Single-person household,1st Quintile,Yes,0.24496,63,280,0.19449,0.29542
1986,Single-person household,1st Quintile,No,0.75504,217,280,0.70458,0.80551
1986,Single-person household,2nd Quintile,No,0.91900,171,171,0.87798,0.96001
1986,Single-person household,3rd Quintile,No,0.95442,199,199,0.92536,0.98347
1986,Single-person household,4th Quintile,No,0.98146,217,217,0.96347,0.99945
1986,Single-person household,5th Quintile,No,0.98445,180,180,0.96632,1.00257
1986,Couple without children,1st Quintile,No,0.85288,125,125,0.79053,0.91523
1986,Couple without children,2nd Quintile,No,0.98668,182,182,0.96997,1.00338
1986,Couple without children,3rd Quintile,No,0.99171,204,204,0.97924,1.00418
1986,Couple without children,4th Quintile,No,0.99459,288,288,0.98611,1.00308
1986,Couple without children,5th Quintile,No,0.99269,373,373,0.98403,1.00135
