"hlc0080_h","year","hhtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1984","(Ehe-)Paar ohne Kind(er)","52","0.0216209349780943","0.0161349196093228","0.0271069503468658"
"Ja","1984","1-Pers.- Haushalt","117","0.105884669200787","0.0890679636689714","0.122701374732602"
"Ja","1984","Alleinerziehende","135","0.164818723933057","0.139516906617051","0.190120541249064"
"Ja","1984","Paar mit Kind(ern)","533","0.0494456868435603","0.045267599602492","0.0536237740846286"
"Ja","1984","Sonstige","43","0.0459558343929372","0.0329909455349346","0.0589207232509398"
"Nein","1984","(Ehe-)Paar ohne Kind(er)","2648","0.978379065021906","0.972893049653134","0.983865080390677"
"Nein","1984","1-Pers.- Haushalt","1169","0.894115330799213","0.877298625267398","0.910932036331028"
"Nein","1984","Alleinerziehende","691","0.835181276066943","0.809879458750936","0.860483093382949"
"Nein","1984","Paar mit Kind(ern)","9810","0.95055431315644","0.946376225915371","0.954732400397508"
"Nein","1984","Sonstige","959","0.954044165607063","0.94107927674906","0.967009054465065"
"Ja","1985","(Ehe-)Paar ohne Kind(er)","70","0.0281496425601082","0.0215787563607138","0.0347205287595026"
"Ja","1985","1-Pers.- Haushalt","97","0.0975615610480748","0.0803144634157724","0.114808658680377"
"Ja","1985","Alleinerziehende","127","0.179817284661682","0.152259157405706","0.207375411917658"
"Ja","1985","Paar mit Kind(ern)","510","0.0562778482419343","0.051600089972076","0.0609556065117927"
"Ja","1985","Sonstige","37","0.0371257531029705","0.0248951134162032","0.0493563927897379"
"Nein","1985","(Ehe-)Paar ohne Kind(er)","2364","0.971850357439892","0.965279471240497","0.978421243639286"
"Nein","1985","1-Pers.- Haushalt","1040","0.902438438951925","0.885191341319623","0.919685536584228"
"Nein","1985","Alleinerziehende","619","0.820182715338318","0.792624588082342","0.847740842594294"
"Nein","1985","Paar mit Kind(ern)","8814","0.943722151758066","0.939044393488207","0.948399910027924"
"Nein","1985","Sonstige","881","0.962874246897029","0.950643607210262","0.975104886583797"
"Ja","1986","(Ehe-)Paar ohne Kind(er)","58","0.0242244715453569","0.0180760489990407","0.0303728940916732"
"Ja","1986","1-Pers.- Haushalt","89","0.094113173386429","0.0766749426314595","0.111551404141398"
"Ja","1986","Alleinerziehende","103","0.145241154604897","0.11932410470575","0.171158204504044"
"Ja","1986","Paar mit Kind(ern)","491","0.0553242119255492","0.0505423190421473","0.060106104808951"
"Ja","1986","Sonstige","39","0.0365299625933681","0.024232286444858","0.0488276387418781"
"Nein","1986","(Ehe-)Paar ohne Kind(er)","2344","0.975775528454643","0.969627105908327","0.981923951000959"
"Nein","1986","1-Pers.- Haushalt","988","0.905886826613571","0.888448595858602","0.92332505736854"
"Nein","1986","Alleinerziehende","607","0.854758845395103","0.828841795495956","0.88067589529425"
"Nein","1986","Paar mit Kind(ern)","8289","0.944675788074451","0.939893895191049","0.949457680957853"
"Nein","1986","Sonstige","855","0.963470037406632","0.951172361258122","0.975767713555142"
"Ja","1987","(Ehe-)Paar ohne Kind(er)","44","0.0180517104864246","0.0127050734644468","0.0233983475084023"
"Ja","1987","1-Pers.- Haushalt","92","0.0944780196480425","0.0769851588810965","0.111970880414989"
"Ja","1987","Alleinerziehende","156","0.229301028165974","0.198269802946318","0.26033225338563"
"Ja","1987","Paar mit Kind(ern)","606","0.0747537802208177","0.0691664667830247","0.0803410936586107"
