year,bula_h,hhtyp,hlc0080_h,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Single-person household,No,1.00000,50,5239,0,0.94694,0,1.07470
1984,Schleswig-Holstein,Couple without children,No,1.00000,43,5239,0,0.94253,0,1.04861
1984,Schleswig-Holstein,Couple with children,No,1.00000,75,5239,0,0.92135,0,1.07074
1984,Hamburg,Single-person household,No,1.00000,46,5239,0,0.92867,0,1.06816
1984,Hamburg,Couple without children,No,1.00000,45,5239,0,0.87087,0,1.10821
1984,Hamburg,Couple with children,No,1.00000,49,5239,0,0.81802,0,1.17920
1984,Lower Saxony,Single-person household,No,1.00000,100,5239,0,0.91146,0,1.08414
1984,Lower Saxony,Couple without children,No,1.00000,133,5239,0,0.95351,0,1.04807
1984,Lower Saxony,Couple with children,No,1.00000,234,5239,0,0.95193,0,1.05812
1984,North Rhine-Westphalia,Single-person household,Yes,0.12753,42,5239,0,0.11680,0,0.13684
1984,North Rhine-Westphalia,Single-person household,No,0.87247,325,5239,0,0.83613,0,0.90307
1984,North Rhine-Westphalia,Couple without children,No,1.00000,348,5239,0,0.96586,0,1.04043
1984,North Rhine-Westphalia,Single parent,No,1.00000,70,5239,0,0.92417,0,1.07834
1984,North Rhine-Westphalia,Couple with children,Yes,0.06054,45,5239,0,0.05047,0,0.07049
1984,North Rhine-Westphalia,Couple with children,No,0.93946,677,5239,0,0.88977,0,0.97726
1984,North Rhine-Westphalia,Other Combinations,No,1.00000,31,5239,0,0.86083,0,1.16189
1984,Hesse,Single-person household,No,1.00000,116,5239,0,0.91874,0,1.07656
1984,Hesse,Couple without children,No,1.00000,139,5239,0,0.93084,0,1.06527
1984,Hesse,Couple with children,No,1.00000,256,5239,0,0.91628,0,1.07596
1984,"Rhineland-Palatinate, Saarland",Single-person household,No,1.00000,70,5239,0,0.94225,0,1.04484
1984,"Rhineland-Palatinate, Saarland",Couple without children,No,1.00000,103,5239,0,0.93537,0,1.04327
1984,"Rhineland-Palatinate, Saarland",Couple with children,No,1.00000,162,5239,0,0.93847,0,1.07492
1984,Baden-Wuerttemberg,Single-person household,No,1.00000,195,5239,0,0.94305,0,1.05321
1984,Baden-Wuerttemberg,Couple without children,No,1.00000,201,5239,0,0.92865,0,1.07265
1984,Baden-Wuerttemberg,Single parent,No,1.00000,53,5239,0,0.84753,0,1.13295
1984,Baden-Wuerttemberg,Couple with children,No,1.00000,527,5239,0,0.94210,0,1.06202
1984,Bavaria,Single-person household,No,1.00000,181,5239,0,0.95675,0,1.03939
1984,Bavaria,Couple without children,No,1.00000,239,5239,0,0.96092,0,1.04175
1984,Bavaria,Single parent,No,1.00000,46,5239,0,0.92295,0,1.08757
1984,Bavaria,Couple with children,No,1.00000,451,5239,0,0.94997,0,1.04203
1984,Berlin,Single-person household,No,1.00000,66,5239,0,0.93181,0,1.06132
1984,Berlin,Couple without children,No,1.00000,52,5239,0,0.90113,0,1.08540
1984,Berlin,Couple with children,No,1.00000,69,5239,0,0.88067,0,1.11536
1985,Schleswig-Holstein,Single-person household,No,1.00000,42,4679,0,0.93287,0,1.06641
1985,Schleswig-Holstein,Couple without children,No,1.00000,42,4679,0,0.92460,0,1.06647
1985,Schleswig-Holstein,Couple with children,No,1.00000,66,4679,0,0.92272,0,1.08831
1985,Hamburg,Single-person household,No,1.00000,52,4679,0,0.90612,0,1.09085
1985,Hamburg,Couple without children,No,1.00000,45,4679,0,0.87389,0,1.12880
1985,Hamburg,Couple with children,No,1.00000,43,4679,0,0.81314,0,1.17864
1985,Lower Saxony,Single-person household,No,1.00000,87,4679,0,0.91426,0,1.08368
1985,Lower Saxony,Couple without children,No,1.00000,124,4679,0,0.94662,0,1.04160
1985,Lower Saxony,Couple with children,No,1.00000,201,4679,0,0.95156,0,1.04278
1985,North Rhine-Westphalia,Single-person household,Yes,0.11062,33,4679,0,0.09891,0,0.12069
1985,North Rhine-Westphalia,Single-person household,No,0.88938,288,4679,0,0.84985,0,0.92863
1985,North Rhine-Westphalia,Couple without children,No,1.00000,298,4679,0,0.95546,0,1.03919
1985,North Rhine-Westphalia,Single parent,No,1.00000,56,4679,0,0.88081,0,1.12096
1985,North Rhine-Westphalia,Couple with children,Yes,0.06756,43,4679,0,0.05836,0,0.07824
1985,North Rhine-Westphalia,Couple with children,No,0.93244,612,4679,0,0.89067,0,0.97054
1985,North Rhine-Westphalia,Other Combinations,No,1.00000,32,4679,0,0.82885,0,1.13410
1985,Hesse,Single-person household,No,1.00000,96,4679,0,0.91338,0,1.07298
1985,Hesse,Couple without children,No,1.00000,133,4679,0,0.92770,0,1.07177
1985,Hesse,Couple with children,No,1.00000,230,4679,0,0.91299,0,1.09571
1985,"Rhineland-Palatinate, Saarland",Single-person household,No,1.00000,65,4679,0,0.93802,0,1.04943
1985,"Rhineland-Palatinate, Saarland",Couple without children,No,1.00000,89,4679,0,0.95065,0,1.05130
1985,"Rhineland-Palatinate, Saarland",Couple with children,No,1.00000,143,4679,0,0.92448,0,1.06940
1985,Baden-Wuerttemberg,Single-person household,No,1.00000,162,4679,0,0.93078,0,1.06547
1985,Baden-Wuerttemberg,Couple without children,No,1.00000,176,4679,0,0.94285,0,1.06066
1985,Baden-Wuerttemberg,Single parent,No,1.00000,45,4679,0,0.82125,0,1.15119
1985,Baden-Wuerttemberg,Couple with children,No,1.00000,481,4679,0,0.95207,0,1.05507
1985,Bavaria,Single-person household,No,1.00000,160,4679,0,0.94191,0,1.04647
1985,Bavaria,Couple without children,No,1.00000,215,4679,0,0.95123,0,1.04122
1985,Bavaria,Single parent,No,1.00000,43,4679,0,0.87371,0,1.10704
1985,Bavaria,Couple with children,No,1.00000,403,4679,0,0.95261,0,1.04759
1985,Berlin,Single-person household,No,1.00000,71,4679,0,0.91601,0,1.07493
1985,Berlin,Couple without children,No,1.00000,42,4679,0,0.88630,0,1.10232
1985,Berlin,Couple with children,No,1.00000,61,4679,0,0.86575,0,1.13957
1986,Schleswig-Holstein,Single-person household,No,1.00000,38,4481,0,0.88342,0,1.10119
1986,Schleswig-Holstein,Couple without children,No,1.00000,36,4481,0,0.92798,0,1.08069
1986,Schleswig-Holstein,Couple with children,No,1.00000,66,4481,0,0.90875,0,1.09167
1986,Hamburg,Single-person household,No,1.00000,50,4481,0,0.93043,0,1.07937
1986,Hamburg,Couple without children,No,1.00000,36,4481,0,0.83966,0,1.16768
1986,Hamburg,Couple with children,No,1.00000,41,4481,0,0.81763,0,1.18604
1986,Lower Saxony,Single-person household,No,1.00000,87,4481,0,0.91591,0,1.08180
1986,Lower Saxony,Couple without children,No,1.00000,135,4481,0,0.93997,0,1.05505
1986,Lower Saxony,Couple with children,No,1.00000,192,4481,0,0.94532,0,1.05224
1986,North Rhine-Westphalia,Single-person household,Yes,0.12505,31,4481,0,0.11515,0,0.13353
1986,North Rhine-Westphalia,Single-person household,No,0.87495,258,4481,0,0.82492,0,0.91442
1986,North Rhine-Westphalia,Couple without children,No,1.00000,311,4481,0,0.95424,0,1.04925
1986,North Rhine-Westphalia,Single parent,No,1.00000,56,4481,0,0.89308,0,1.10355
1986,North Rhine-Westphalia,Couple with children,Yes,0.07204,44,4481,0,0.06297,0,0.08279
1986,North Rhine-Westphalia,Couple with children,No,0.92796,579,4481,0,0.88445,0,0.97897
1986,North Rhine-Westphalia,Other Combinations,No,1.00000,33,4481,0,0.80777,0,1.17377
1986,Hesse,Single-person household,No,1.00000,91,4481,0,0.91457,0,1.08812
1986,Hesse,Couple without children,No,1.00000,125,4481,0,0.91766,0,1.06474
1986,Hesse,Couple with children,No,1.00000,211,4481,0,0.89816,0,1.09086
1986,"Rhineland-Palatinate, Saarland",Single-person household,No,1.00000,64,4481,0,0.92595,0,1.05667
