year,regtyp,rentown,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,Owner,Yes,0.01849,39,2004,0.01259,0.02439
1984,No answer / don't know,Owner,No,0.98151,1965,2004,0.97561,0.98741
1984,No answer / don't know,Tenant,Yes,0.09559,283,3852,0.08630,0.10487
1984,No answer / don't know,Tenant,No,0.90441,3569,3852,0.89513,0.91370
1985,Urban regions,Owner,Yes,0.02124,32,1304,0.01341,0.02907
1985,Urban regions,Owner,No,0.97876,1272,1304,0.97093,0.98659
1985,Urban regions,Tenant,Yes,0.09350,217,2888,0.08288,0.10412
1985,Urban regions,Tenant,No,0.90650,2671,2888,0.89588,0.91712
1985,Rural regions,Owner,No,0.96879,539,539,0.95409,0.98348
1985,Rural regions,Tenant,Yes,0.10269,40,507,0.07624,0.12914
1985,Rural regions,Tenant,No,0.89731,467,507,0.87086,0.92376
1986,Urban regions,Owner,No,0.98583,1273,1273,0.97933,0.99232
1986,Urban regions,Tenant,Yes,0.09074,203,2721,0.07995,0.10154
1986,Urban regions,Tenant,No,0.90926,2518,2721,0.89846,0.92005
1986,Rural regions,Owner,No,0.98316,529,529,0.97219,0.99414
1986,Rural regions,Tenant,Yes,0.11081,41,469,0.08237,0.13925
1986,Rural regions,Tenant,No,0.88919,428,469,0.86075,0.91763
1987,Urban regions,Owner,No,0.98300,1276,1276,0.97590,0.99009
1987,Urban regions,Tenant,Yes,0.09820,219,2662,0.08689,0.10950
1987,Urban regions,Tenant,No,0.90180,2443,2662,0.89050,0.91311
1987,Rural regions,Owner,No,0.97703,508,508,0.96399,0.99007
1987,Rural regions,Tenant,Yes,0.13942,55,474,0.10821,0.17064
1987,Rural regions,Tenant,No,0.86058,419,474,0.82936,0.89179
1988,Urban regions,Owner,No,0.98256,1232,1232,0.97525,0.98988
1988,Urban regions,Tenant,Yes,0.10209,224,2553,0.09034,0.11383
