year,regtyp,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,Yes,0.06464,322,5856,0.05834,0.07093
1984,No answer / don't know,No,0.93536,5534,5856,0.92907,0.94166
1985,Urban regions,Yes,0.06757,249,4192,0.05997,0.07517
1985,Urban regions,No,0.93243,3943,4192,0.92483,0.94003
1985,Rural regions,Yes,0.06430,57,1063,0.04955,0.07905
1985,Rural regions,No,0.93570,1006,1063,0.92095,0.95045
1986,Urban regions,Yes,0.06385,225,4018,0.05629,0.07141
1986,Urban regions,No,0.93615,3793,4018,0.92859,0.94371
1986,Rural regions,Yes,0.06060,52,1009,0.04587,0.07533
1986,Rural regions,No,0.93940,957,1009,0.92467,0.95413
1987,Urban regions,Yes,0.06937,246,3967,0.06146,0.07728
1987,Urban regions,No,0.93063,3721,3967,0.92272,0.93854
1987,Rural regions,Yes,0.07712,70,997,0.06055,0.09369
1987,Rural regions,No,0.92288,927,997,0.90631,0.93945
1988,Urban regions,Yes,0.07160,253,3815,0.06342,0.07978
1988,Urban regions,No,0.92840,3562,3815,0.92022,0.93658
1988,Rural regions,Yes,0.08735,74,944,0.06933,0.10537
1988,Rural regions,No,0.91265,870,944,0.89463,0.93067
1989,Urban regions,Yes,0.06330,224,3733,0.05549,0.07111
1989,Urban regions,No,0.93670,3509,3733,0.92889,0.94451
1989,Rural regions,Yes,0.08648,69,905,0.06816,0.10480
1989,Rural regions,No,0.91352,836,905,0.89520,0.93184
1990,Urban regions,Yes,0.06395,214,3659,0.05602,0.07188
1990,Urban regions,No,0.93605,3445,3659,0.92812,0.94398
1990,Rural regions,Yes,0.07971,64,920,0.06220,0.09723
1990,Rural regions,No,0.92029,856,920,0.90277,0.93780
1991,Urban regions,Yes,0.06606,221,3672,0.05803,0.07410
1991,Urban regions,No,0.93394,3451,3672,0.92590,0.94197
1991,Rural regions,Yes,0.08474,69,929,0.06682,0.10266
1991,Rural regions,No,0.91526,860,929,0.89734,0.93318
1992,No answer / don't know,No,0.72412,45,45,0.59205,0.85619
1992,Urban regions,Yes,0.08219,387,4374,0.07405,0.09033
1992,Urban regions,No,0.91781,3987,4374,0.90967,0.92595
1992,Rural regions,Yes,0.15860,372,2145,0.14313,0.17406
1992,Rural regions,No,0.84140,1773,2145,0.82594,0.85687
1993,Urban regions,Yes,0.07806,370,4368,0.07010,0.08601
1993,Urban regions,No,0.92194,3998,4368,0.91399,0.92990
1993,Rural regions,Yes,0.16236,398,2178,0.14687,0.17785
1993,Rural regions,No,0.83764,1780,2178,0.82215,0.85313
1994,Urban regions,Yes,0.06560,313,4313,0.05821,0.07299
1994,Urban regions,No,0.93440,4000,4313,0.92701,0.94179
1994,Rural regions,Yes,0.12345,284,2158,0.10957,0.13734
1994,Rural regions,No,0.87655,1874,2158,0.86266,0.89043
1995,Urban regions,Yes,0.05963,303,4450,0.05267,0.06659
1995,Urban regions,No,0.94037,4147,4450,0.93341,0.94733
1995,Rural regions,Yes,0.09952,239,2229,0.08709,0.11195
1995,Rural regions,No,0.90048,1990,2229,0.88805,0.91291
1996,Urban regions,Yes,0.05244,269,4396,0.04585,0.05903
1996,Urban regions,No,0.94756,4127,4396,0.94097,0.95415
1996,Rural regions,Yes,0.08204,192,2219,0.07062,0.09346
1996,Rural regions,No,0.91796,2027,2219,0.90654,0.92938
1997,Urban regions,Yes,0.04751,258,4334,0.04118,0.05384
1997,Urban regions,No,0.95249,4076,4334,0.94616,0.95882
1997,Rural regions,Yes,0.07388,167,2197,0.06294,0.08482
1997,Rural regions,No,0.92612,2030,2197,0.91518,0.93706
1998,Urban regions,Yes,0.05285,278,4913,0.04659,0.05911
1998,Urban regions,No,0.94715,4635,4913,0.94089,0.95341
1998,Rural regions,Yes,0.06834,181,2490,0.05843,0.07826
1998,Rural regions,No,0.93166,2309,2490,0.92174,0.94157
1999,Urban regions,Yes,0.05000,250,4694,0.04376,0.05623
1999,Urban regions,No,0.95000,4444,4694,0.94377,0.95624
1999,Rural regions,Yes,0.07438,195,2415,0.06391,0.08485
1999,Rural regions,No,0.92562,2220,2415,0.91515,0.93609
2000,Urban regions,Yes,0.04374,388,8585,0.03942,0.04807
2000,Urban regions,No,0.95626,8197,8585,0.95193,0.96058
2000,Rural regions,Yes,0.06354,289,4342,0.05628,0.07079
2000,Rural regions,No,0.93646,4053,4342,0.92921,0.94372
2001,Urban regions,Yes,0.05158,414,7758,0.04666,0.05651
2001,Urban regions,No,0.94842,7344,7758,0.94349,0.95334
2001,Rural regions,Yes,0.06691,278,3890,0.05906,0.07476
2001,Rural regions,No,0.93309,3612,3890,0.92524,0.94094
2002,Urban regions,Yes,0.04979,378,8232,0.04509,0.05449
2002,Urban regions,No,0.95021,7854,8232,0.94551,0.95491
2002,Rural regions,Yes,0.06625,251,3956,0.05850,0.07400
2002,Rural regions,No,0.93375,3705,3956,0.92600,0.94150
2003,Urban regions,Yes,0.05570,395,7961,0.05066,0.06074
2003,Urban regions,No,0.94430,7566,7961,0.93926,0.94934
2003,Rural regions,Yes,0.06909,262,3820,0.06104,0.07713
2003,Rural regions,No,0.93091,3558,3820,0.92287,0.93896
2004,Urban regions,Yes,0.06221,413,7766,0.05684,0.06759
2004,Urban regions,No,0.93779,7353,7766,0.93241,0.94316
2004,Rural regions,Yes,0.07743,293,3754,0.06888,0.08598
2004,Rural regions,No,0.92257,3461,3754,0.91402,0.93112
2005,Urban regions,Yes,0.06585,401,7538,0.06025,0.07145
2005,Urban regions,No,0.93415,7137,7538,0.92855,0.93975
2005,Rural regions,Yes,0.08090,281,3640,0.07204,0.08976
2005,Rural regions,No,0.91910,3359,3640,0.91024,0.92796
2006,Urban regions,Yes,0.04680,332,8151,0.04221,0.05138
2006,Urban regions,No,0.95320,7819,8151,0.94862,0.95779
2006,Rural regions,Yes,0.05770,228,4087,0.05055,0.06485
2006,Rural regions,No,0.94230,3859,4087,0.93515,0.94945
2007,Urban regions,Yes,0.04269,270,7591,0.03814,0.04723
2007,Urban regions,No,0.95731,7321,7591,0.95277,0.96186
2007,Rural regions,Yes,0.05433,202,3835,0.04715,0.06150
2007,Rural regions,No,0.94567,3633,3835,0.93850,0.95285
2008,Urban regions,Yes,0.03908,241,7189,0.03460,0.04356
2008,Urban regions,No,0.96092,6948,7189,0.95644,0.96540
2008,Rural regions,Yes,0.04515,162,3631,0.03840,0.05191
2008,Rural regions,No,0.95485,3469,3631,0.94809,0.96160
2009,Urban regions,Yes,0.03730,223,6647,0.03275,0.04186
2009,Urban regions,No,0.96270,6424,6647,0.95814,0.96725
2009,Rural regions,Yes,0.04090,151,3451,0.03429,0.04751
2009,Rural regions,No,0.95910,3300,3451,0.95249,0.96571
2010,Urban regions,Yes,0.03512,465,9085,0.03133,0.03890
2010,Urban regions,No,0.96488,8620,9085,0.96110,0.96867
2010,Rural regions,Yes,0.04129,291,4708,0.03560,0.04697
2010,Rural regions,No,0.95871,4417,4708,0.95303,0.96440
2011,Urban regions,Yes,0.03450,611,10570,0.03102,0.03798
2011,Urban regions,No,0.96550,9959,10570,0.96202,0.96898
2011,Rural regions,Yes,0.03675,398,5747,0.03188,0.04161
2011,Rural regions,No,0.96325,5349,5747,0.95839,0.96812
2012,Urban regions,Yes,0.03101,533,10251,0.02766,0.03437
2012,Urban regions,No,0.96899,9718,10251,0.96563,0.97234
2012,Rural regions,Yes,0.03722,383,5727,0.03232,0.04213
2012,Rural regions,No,0.96278,5344,5727,0.95787,0.96768
2013,Urban regions,Yes,0.02607,510,11644,0.02318,0.02897
2013,Urban regions,No,0.97393,11134,11644,0.97103,0.97682
2013,Rural regions,Yes,0.03720,362,5898,0.03237,0.04203
2013,Rural regions,No,0.96280,5536,5898,0.95797,0.96763
2014,Urban regions,Yes,0.02672,426,10327,0.02361,0.02983
2014,Urban regions,No,0.97328,9901,10327,0.97017,0.97639
2014,Rural regions,Yes,0.03158,273,5373,0.02691,0.03626
2014,Rural regions,No,0.96842,5100,5373,0.96374,0.97309
2015,Urban regions,Yes,0.02293,339,10158,0.02002,0.02584
2015,Urban regions,No,0.97707,9819,10158,0.97416,0.97998
2015,Rural regions,Yes,0.02659,220,5218,0.02222,0.03095
2015,Rural regions,No,0.97341,4998,5218,0.96905,0.97778
2016,Urban regions,Yes,0.02165,290,9296,0.01869,0.02460
2016,Urban regions,No,0.97835,9006,9296,0.97540,0.98131
2016,Rural regions,Yes,0.02500,180,4855,0.02061,0.02940
2016,Rural regions,No,0.97500,4675,4855,0.97060,0.97939
2017,Urban regions,Yes,0.02066,365,11423,0.01805,0.02327
2017,Urban regions,No,0.97934,11058,11423,0.97673,0.98195
2017,Rural regions,Yes,0.02456,235,5920,0.02061,0.02850
2017,Rural regions,No,0.97544,5685,5920,0.97150,0.97939
2018,Urban regions,Yes,0.02172,574,11848,0.01909,0.02434
2018,Urban regions,No,0.97828,11274,11848,0.97566,0.98091
2018,Rural regions,Yes,0.02610,302,5888,0.02203,0.03018
2018,Rural regions,No,0.97390,5586,5888,0.96982,0.97797
2019,No answer / don't know,No,0.96561,456,456,0.94887,0.98236
2019,Urban regions,Yes,0.02315,379,11911,0.02045,0.02585
2019,Urban regions,No,0.97685,11532,11911,0.97415,0.97955
2019,Rural regions,Yes,0.02890,232,5939,0.02464,0.03316
2019,Rural regions,No,0.97110,5707,5939,0.96684,0.97536
2020,Urban regions,Yes,0.02100,414,13217,0.01856,0.02345
2020,Urban regions,No,0.97900,12803,13217,0.97655,0.98144
2020,Rural regions,Yes,0.02199,178,5864,0.01824,0.02574
2020,Rural regions,No,0.97801,5686,5864,0.97426,0.98176
2021,Urban regions,Yes,0.02035,328,8558,0.01736,0.02335
2021,Urban regions,No,0.97965,8230,8558,0.97665,0.98264
2021,Rural regions,Yes,0.01853,113,3914,0.01430,0.02275
2021,Rural regions,No,0.98147,3801,3914,0.97725,0.98570
2022,Urban regions,Yes,0.01826,344,13951,0.01604,0.02049
2022,Urban regions,No,0.98174,13607,13951,0.97951,0.98396
2022,Rural regions,Yes,0.02174,155,6221,0.01812,0.02536
2022,Rural regions,No,0.97826,6066,6221,0.97464,0.98188
