"hlc0080_h","year","hhtyp","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1995","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","1-Pers.- Haushalt","2","8","","",""
"Ja","1995","1-Pers.- Haushalt","3","3","","",""
"Ja","1995","1-Pers.- Haushalt","4","1","","",""
"Ja","1995","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","(Ehe-)Paar ohne Kind(er)","2","18","","",""
"Ja","1995","(Ehe-)Paar ohne Kind(er)","3","2","","",""
"Ja","1995","(Ehe-)Paar ohne Kind(er)","4","2","","",""
"Ja","1995","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Alleinerziehende","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Alleinerziehende","2","21","","",""
"Ja","1995","Alleinerziehende","3","2","","",""
"Ja","1995","Alleinerziehende","4","","","",""
"Ja","1995","Alleinerziehende","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Paar mit Kind(ern)","2","74","0.0293029335746585","0.0233736121360494","0.0352322550132676"
"Ja","1995","Paar mit Kind(ern)","3","7","","",""
"Ja","1995","Paar mit Kind(ern)","4","","","",""
"Ja","1995","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","","","",""
"Ja","1995","Sonstige","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","Sonstige","2","17","","",""
"Ja","1995","Sonstige","3","9","","",""
"Ja","1995","Sonstige","4","","","",""
"Ja","1995","Sonstige","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","1-Pers.- Haushalt","2","415","0.978200993817169","0.964285125691973","0.992116861942364"
"Nein","1995","1-Pers.- Haushalt","3","219","0.981601483121517","0.963923585496445","0.999279380746589"
