year,hhtyp,regtyp,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Single-person household,Urban regions,Yes,0.09485,81,958,0.07629,0.11342
1985,Single-person household,Urban regions,No,0.90243,877,958,0.88363,0.92123
1985,Single-person household,Rural regions,No,0.89131,163,163,0.84337,0.93924
1985,Couple without children,Urban regions,No,0.96298,929,929,0.95084,0.97513
1985,Couple without children,Rural regions,No,0.97231,253,253,0.95205,0.99257
1985,Single parent,Urban regions,Yes,0.16707,38,232,0.11896,0.21517
1985,Single parent,Urban regions,No,0.83293,194,232,0.78483,0.88104
1985,Single parent,Rural regions,No,0.82471,51,51,0.71932,0.93010
1985,Couple with children,Urban regions,Yes,0.04758,88,1874,0.03794,0.05722
1985,Couple with children,Urban regions,No,0.95213,1786,1874,0.94246,0.96180
1985,Couple with children,Rural regions,No,0.94180,470,470,0.92061,0.96299
1985,Multi-generational household,Urban regions,No,0.96647,68,68,0.92337,1.00958
1985,Other Combinations,Urban regions,No,0.90431,89,89,0.84285,0.96577
1986,Single-person household,Urban regions,Yes,0.09312,75,910,0.07423,0.11201
1986,Single-person household,Urban regions,No,0.90516,835,910,0.88612,0.92421
1986,Single-person household,Rural regions,No,0.89509,153,153,0.84638,0.94381
1986,Couple without children,Urban regions,No,0.97357,941,941,0.96332,0.98383
1986,Couple without children,Rural regions,No,0.97250,231,231,0.95137,0.99364
1986,Single parent,Urban regions,No,0.85322,189,189,0.80263,0.90381
1986,Single parent,Rural regions,No,0.85494,53,53,0.75922,0.95066
1986,Couple with children,Urban regions,Yes,0.04690,83,1757,0.03701,0.05679
1986,Couple with children,Urban regions,No,0.95118,1674,1757,0.94110,0.96126
1986,Couple with children,Rural regions,No,0.94227,450,450,0.92070,0.96385
1986,Multi-generational household,Urban regions,No,0.96263,70,70,0.91788,1.00738
1986,Other Combinations,Urban regions,No,0.90781,84,84,0.84557,0.97005
1987,Single-person household,Urban regions,Yes,0.09624,79,907,0.07704,0.11545
1987,Single-person household,Urban regions,No,0.90030,828,907,0.88079,0.91981
1987,Single-person household,Rural regions,No,0.90922,154,154,0.86370,0.95474
1987,Couple without children,Urban regions,No,0.98278,931,931,0.97442,0.99114
1987,Couple without children,Rural regions,No,0.97474,238,238,0.95477,0.99472
1987,Single parent,Urban regions,Yes,0.18632,39,212,0.13378,0.23885
1987,Single parent,Urban regions,No,0.81368,173,212,0.76115,0.86622
1987,Single parent,Rural regions,No,0.72307,49,49,0.59648,0.84966
1987,Couple with children,Urban regions,Yes,0.06028,100,1724,0.04904,0.07152
1987,Couple with children,Urban regions,No,0.93712,1624,1724,0.92566,0.94859
1987,Couple with children,Rural regions,Yes,0.07547,34,463,0.05138,0.09956
1987,Couple with children,Rural regions,No,0.91877,429,463,0.89386,0.94368
1987,Multi-generational household,Urban regions,No,0.96053,78,78,0.91704,1.00402
1987,Multi-generational household,Rural regions,No,0.95118,38,38,0.88175,1.02062
1987,Other Combinations,Urban regions,No,0.92001,87,87,0.86268,0.97735
1988,Single-person household,Urban regions,Yes,0.09483,76,868,0.07532,0.11433
1988,Single-person household,Urban regions,No,0.90187,792,868,0.88207,0.92167
1988,Single-person household,Rural regions,No,0.90391,153,153,0.85706,0.95076
1988,Couple without children,Urban regions,No,0.97229,914,914,0.96164,0.98293
1988,Couple without children,Rural regions,No,0.97479,225,225,0.95426,0.99532
1988,Single parent,Urban regions,No,0.85020,184,184,0.79849,0.90190
1988,Single parent,Rural regions,No,0.69932,45,45,0.56382,0.83481
1988,Couple with children,Urban regions,Yes,0.06597,112,1647,0.05398,0.07796
1988,Couple with children,Urban regions,No,0.93067,1535,1647,0.91840,0.94294
1988,Couple with children,Rural regions,Yes,0.08895,37,438,0.06226,0.11564
1988,Couple with children,Rural regions,No,0.91105,401,438,0.88436,0.93774
1988,Multi-generational household,Urban regions,No,0.81663,60,60,0.71789,0.91538
1988,Multi-generational household,Rural regions,No,0.92147,32,32,0.82678,1.01617
1988,Other Combinations,Urban regions,No,0.94373,77,77,0.89192,0.99554
1989,Single-person household,Urban regions,Yes,0.08089,64,874,0.06280,0.09898
1989,Single-person household,Urban regions,No,0.91558,810,874,0.89714,0.93402
1989,Single-person household,Rural regions,No,0.89116,148,148,0.84082,0.94151
1989,Couple without children,Urban regions,No,0.97598,899,899,0.96597,0.98600
1989,Couple without children,Rural regions,No,0.97560,230,230,0.95561,0.99558
1989,Single parent,Urban regions,No,0.83448,173,173,0.77893,0.89002
1989,Single parent,Rural regions,No,0.72499,40,40,0.58485,0.86513
1989,Couple with children,Urban regions,Yes,0.05877,98,1586,0.04719,0.07034
1989,Couple with children,Urban regions,No,0.93811,1488,1586,0.92625,0.94997
1989,Couple with children,Rural regions,Yes,0.08345,35,408,0.05658,0.11032
1989,Couple with children,Rural regions,No,0.91059,373,408,0.88287,0.93831
1989,Multi-generational household,Urban regions,No,0.95551,72,72,0.90755,1.00347
1989,Multi-generational household,Rural regions,No,0.91384,31,31,0.81343,1.01425
1989,Other Combinations,Urban regions,No,0.90837,67,67,0.83877,0.97798
1990,Single-person household,Urban regions,Yes,0.06864,55,822,0.05134,0.08593
1990,Single-person household,Urban regions,No,0.84047,767,822,0.81542,0.86552
1990,Single-person household,Rural regions,No,0.57699,162,162,0.50067,0.65330
1990,Couple without children,Urban regions,No,0.88240,910,910,0.86146,0.90334
1990,Couple without children,Rural regions,No,0.57321,241,241,0.51064,0.63579
1990,Single parent,Urban regions,No,0.71338,179,179,0.64695,0.77981
1990,Single parent,Rural regions,No,0.49855,36,36,0.33290,0.66420
