year,sampreg,hlc0080_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Yes,0.06455,322,5856,0.05825,0.07084
1984,West,No,0.93407,5534,5856,0.92772,0.94043
1985,West,Yes,0.06663,306,5255,0.05988,0.07337
1985,West,No,0.93042,4949,5255,0.92354,0.93730
1986,West,Yes,0.06294,277,5027,0.05623,0.06966
1986,West,No,0.93423,4750,5027,0.92738,0.94108
1987,West,Yes,0.07089,316,4964,0.06375,0.07803
1987,West,No,0.92640,4648,4964,0.91913,0.93366
1988,West,Yes,0.07484,327,4759,0.06736,0.08232
1988,West,No,0.92252,4432,4759,0.91492,0.93012
1989,West,Yes,0.06803,293,4638,0.06078,0.07528
1989,West,No,0.92877,4345,4638,0.92137,0.93618
1990,West,Yes,0.06716,278,4579,0.05991,0.07441
1990,West,No,0.92981,4301,4579,0.92241,0.93721
1991,West,Yes,0.06964,290,4601,0.06228,0.07699
1991,West,No,0.92278,4311,4601,0.91506,0.93049
1992,West,Yes,0.06007,268,4638,0.05323,0.06691
1992,West,No,0.93549,4370,4638,0.92842,0.94256
1992,East,Yes,0.29963,505,1940,0.27924,0.32002
1992,East,No,0.69854,1435,1940,0.67811,0.71896
1993,West,Yes,0.05480,238,4665,0.04827,0.06133
1993,West,No,0.93830,4427,4665,0.93139,0.94520
1993,East,Yes,0.31007,530,1881,0.28916,0.33098
1993,East,No,0.68755,1351,1881,0.66660,0.70850
1994,West,Yes,0.05220,235,4614,0.04578,0.05861
1994,West,No,0.94245,4379,4614,0.93573,0.94917
1994,East,Yes,0.21551,362,1857,0.19680,0.23422
1994,East,No,0.78199,1495,1857,0.76321,0.80078
1995,West,Yes,0.05131,273,4857,0.04511,0.05752
1995,West,No,0.94569,4584,4857,0.93931,0.95206
1995,East,Yes,0.16118,269,1822,0.14429,0.17807
1995,East,No,0.83570,1553,1822,0.81868,0.85271
1996,West,Yes,0.04936,264,4783,0.04322,0.05550
1996,West,No,0.94801,4519,4783,0.94172,0.95431
1996,East,Yes,0.11395,197,1832,0.09939,0.12850
1996,East,No,0.88296,1635,1832,0.86823,0.89768
