,Unnamed: 0,year,hhtyp,rentown,hlc0080_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Single-person household,Owner,No,1.0,252,5784,0.98062,1.02219
1,1,1984,Single-person household,Tenant,Yes,0.13399,114,5784,0.12774,0.1395
2,2,1984,Single-person household,Tenant,No,0.86601,917,5784,0.84473,0.88597
3,3,1984,Couple without children,Owner,No,1.0,508,5784,0.98813,1.01084
4,4,1984,Couple without children,Tenant,No,1.0,816,5784,0.97178,1.03272
5,5,1984,Single parent,Owner,No,1.0,86,5784,0.96705,1.03559
6,6,1984,Single parent,Tenant,Yes,0.22306,49,5784,0.20348,0.24059
7,7,1984,Single parent,Tenant,No,0.77694,188,5784,0.72789,0.83161
8,8,1984,Couple with children,Owner,No,1.0,998,5784,0.97927,1.01206
9,9,1984,Couple with children,Tenant,Yes,0.05997,87,5784,0.05081,0.06942
10,10,1984,Couple with children,Tenant,No,0.94003,1518,5784,0.91119,0.97658
11,11,1984,Multi-generational household,Owner,No,1.0,68,5784,0.94819,1.04009
12,12,1984,Multi-generational household,Tenant,No,1.0,56,5784,0.72056,1.25868
13,13,1984,Other Combinations,Owner,No,1.0,53,5784,0.93859,1.05656
14,14,1984,Other Combinations,Tenant,No,1.0,74,5784,0.89473,1.11496
15,15,1985,Single-person household,Owner,No,1.0,212,5231,0.97117,1.02558
16,16,1985,Single-person household,Tenant,Yes,0.11822,92,5231,0.11193,0.12464
17,17,1985,Single-person household,Tenant,No,0.88178,828,5231,0.85341,0.90934
18,18,1985,Couple without children,Owner,No,1.0,452,5231,0.98031,1.01862
19,19,1985,Couple without children,Tenant,Yes,0.04255,31,5231,0.03404,0.04928
20,20,1985,Couple without children,Tenant,No,0.95745,730,5231,0.92243,0.98426
21,21,1985,Single parent,Owner,No,1.0,82,5231,0.95032,1.06099
22,22,1985,Single parent,Tenant,Yes,0.23568,44,5231,0.21254,0.25545
23,23,1985,Single parent,Tenant,No,0.76432,163,5231,0.69527,0.82792
24,24,1985,Couple with children,Owner,Yes,0.03289,35,5231,0.02964,0.03534
25,25,1985,Couple with children,Owner,No,0.96711,950,5231,0.95301,0.98121
26,26,1985,Couple with children,Tenant,Yes,0.06996,80,5231,0.06023,0.07931
27,27,1985,Couple with children,Tenant,No,0.93004,1306,5231,0.89298,0.96422
28,28,1985,Multi-generational household,Owner,No,1.0,69,5231,0.94324,1.05547
29,29,1985,Multi-generational household,Tenant,No,1.0,44,5231,0.66732,1.39665
30,30,1985,Other Combinations,Owner,No,1.0,46,5231,0.90889,1.08387
31,31,1985,Other Combinations,Tenant,No,1.0,67,5231,0.87045,1.10655
32,32,1986,Single-person household,Owner,No,1.0,220,4957,0.96465,1.03096
33,33,1986,Single-person household,Tenant,Yes,0.11975,87,4957,0.11251,0.12802
34,34,1986,Single-person household,Tenant,No,0.88025,767,4957,0.85403,0.90566
35,35,1986,Couple without children,Owner,No,1.0,451,4957,0.98058,1.02118
36,36,1986,Couple without children,Tenant,No,1.0,721,4957,0.96475,1.03916
37,37,1986,Single parent,Owner,No,1.0,84,4957,0.92932,1.06865
38,38,1986,Single parent,Tenant,Yes,0.20333,35,4957,0.179,0.2268
39,39,1986,Single parent,Tenant,No,0.79667,158,4957,0.73272,0.85857
40,40,1986,Couple with children,Owner,No,1.0,936,4957,0.9747,1.01686
41,41,1986,Couple with children,Tenant,Yes,0.07907,87,4957,0.06809,0.08932
42,42,1986,Couple with children,Tenant,No,0.92093,1187,4957,0.88036,0.95614
43,43,1986,Multi-generational household,Owner,No,1.0,64,4957,0.92174,1.07953
44,44,1986,Multi-generational household,Tenant,No,1.0,49,4957,0.65317,1.30355
45,45,1986,Other Combinations,Owner,No,1.0,47,4957,0.89501,1.09955
46,46,1986,Other Combinations,Tenant,No,1.0,64,4957,0.86535,1.14889
47,47,1987,Single-person household,Owner,No,1.0,223,4921,0.96197,1.02879
48,48,1987,Single-person household,Tenant,Yes,0.12156,91,4921,0.11358,0.12879
49,49,1987,Single-person household,Tenant,No,0.87844,758,4921,0.85272,0.90706
50,50,1987,Couple without children,Owner,No,1.0,470,4921,0.98207,1.02504
51,51,1987,Couple without children,Tenant,No,1.0,699,4921,0.96415,1.03616
52,52,1987,Single parent,Owner,No,1.0,83,4921,0.93745,1.06247
53,53,1987,Single parent,Tenant,Yes,0.30083,50,4921,0.26129,0.33097
54,54,1987,Single parent,Tenant,No,0.69917,139,4921,0.63318,0.76836
55,55,1987,Couple with children,Owner,Yes,0.03076,31,4921,0.02804,0.03335
