year,quintil_oecd_hh,regtyp,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Urban regions,No,0.98753,1958,1958,0.98261,0.99244
2016,1st Quintile,Rural regions,No,0.99110,1099,1099,0.98555,0.99666
2016,2nd Quintile,Urban regions,Yes,0.01645,40,1846,0.01065,0.02226
2016,2nd Quintile,Urban regions,No,0.98355,1806,1846,0.97774,0.98935
2016,2nd Quintile,Rural regions,No,0.98847,1172,1172,0.98236,0.99459
2016,3rd Quintile,Urban regions,Yes,0.02078,54,1724,0.01404,0.02751
2016,3rd Quintile,Urban regions,No,0.97922,1670,1724,0.97249,0.98596
2016,3rd Quintile,Rural regions,No,0.99116,998,998,0.98535,0.99697
2016,4th Quintile,Urban regions,Yes,0.01968,53,1755,0.01318,0.02618
2016,4th Quintile,Urban regions,No,0.98032,1702,1755,0.97382,0.98682
2016,4th Quintile,Rural regions,No,0.98066,874,874,0.97153,0.98980
2016,5th Quintile,Urban regions,Yes,0.04182,92,2048,0.03315,0.05049
2016,5th Quintile,Urban regions,No,0.95818,1956,2048,0.94951,0.96685
2016,5th Quintile,Rural regions,No,0.97548,682,682,0.96386,0.98709
2017,1st Quintile,Urban regions,No,0.98519,1990,1990,0.97988,0.99050
2017,1st Quintile,Rural regions,No,0.99220,1161,1161,0.98714,0.99726
2017,2nd Quintile,Urban regions,Yes,0.01952,42,1971,0.01341,0.02563
2017,2nd Quintile,Urban regions,No,0.98048,1929,1971,0.97437,0.98659
2017,2nd Quintile,Rural regions,No,0.99057,1241,1241,0.98519,0.99595
2017,3rd Quintile,Urban regions,Yes,0.01953,54,1902,0.01331,0.02575
2017,3rd Quintile,Urban regions,No,0.98047,1848,1902,0.97425,0.98669
2017,3rd Quintile,Rural regions,No,0.98862,1163,1163,0.98253,0.99472
2017,4th Quintile,Urban regions,Yes,0.02129,76,2013,0.01498,0.02760
2017,4th Quintile,Urban regions,No,0.97871,1937,2013,0.97240,0.98502
2017,4th Quintile,Rural regions,Yes,0.02936,32,1029,0.01904,0.03968
2017,4th Quintile,Rural regions,No,0.97064,997,1029,0.96032,0.98096
2017,5th Quintile,Urban regions,Yes,0.03178,93,2317,0.02464,0.03893
2017,5th Quintile,Urban regions,No,0.96822,2224,2317,0.96107,0.97536
2017,5th Quintile,Rural regions,No,0.97547,746,746,0.96437,0.98658
2018,1st Quintile,Urban regions,Yes,0.01981,43,2128,0.01389,0.02573
2018,1st Quintile,Urban regions,No,0.98019,2085,2128,0.97427,0.98611
2018,1st Quintile,Rural regions,No,0.99427,1167,1167,0.98994,0.99860
2018,2nd Quintile,Urban regions,Yes,0.01222,38,2028,0.00744,0.01701
2018,2nd Quintile,Urban regions,No,0.98778,1990,2028,0.98299,0.99256
2018,2nd Quintile,Rural regions,No,0.98745,1247,1247,0.98127,0.99363
2018,3rd Quintile,Urban regions,Yes,0.02651,55,1853,0.01919,0.03382
2018,3rd Quintile,Urban regions,No,0.97349,1798,1853,0.96618,0.98081
