year,hhtyp,regtyp,hlc0180,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,Urban regions,Yes,0.01649,42,2315,0.01130,0.02167
2016,Single-person household,Urban regions,No,0.98351,2273,2315,0.97833,0.98870
2016,Single-person household,Rural regions,No,0.98771,1054,1054,0.98106,0.99436
2016,Couple without children,Urban regions,Yes,0.02195,61,2561,0.01628,0.02763
2016,Couple without children,Urban regions,No,0.97805,2500,2561,0.97237,0.98372
2016,Couple without children,Rural regions,No,0.98668,1505,1505,0.98088,0.99247
2016,Single parent,Urban regions,No,0.97762,966,966,0.96829,0.98695
2016,Single parent,Rural regions,No,0.98873,524,524,0.97968,0.99778
2016,Couple with children,Urban regions,Yes,0.03780,132,3291,0.03128,0.04432
2016,Couple with children,Urban regions,No,0.96220,3159,3291,0.95568,0.96872
2016,Couple with children,Rural regions,Yes,0.01691,45,1688,0.01076,0.02307
2016,Couple with children,Rural regions,No,0.98309,1643,1688,0.97693,0.98924
2016,Multi-generational household,Rural regions,No,0.93214,43,43,0.85608,1.00820
2016,Other Combinations,Urban regions,No,0.99748,134,134,0.98896,1.00600
2016,Other Combinations,Rural regions,No,0.97403,56,56,0.93200,1.01606
2017,Single-person household,Urban regions,Yes,0.01447,52,2591,0.00987,0.01907
2017,Single-person household,Urban regions,No,0.98553,2539,2591,0.98093,0.99013
2017,Single-person household,Rural regions,No,0.99012,1213,1213,0.98455,0.99569
2017,Couple without children,Urban regions,Yes,0.02341,74,2888,0.01789,0.02892
2017,Couple without children,Urban regions,No,0.97659,2814,2888,0.97108,0.98211
2017,Couple without children,Rural regions,No,0.98611,1689,1689,0.98053,0.99169
2017,Single parent,Urban regions,No,0.96429,967,967,0.95259,0.97599
2017,Single parent,Rural regions,No,0.98671,535,535,0.97700,0.99643
2017,Couple with children,Urban regions,Yes,0.03131,139,3502,0.02554,0.03707
2017,Couple with children,Urban regions,No,0.96869,3363,3502,0.96293,0.97446
2017,Couple with children,Rural regions,Yes,0.03166,56,1808,0.02359,0.03973
2017,Couple with children,Rural regions,No,0.96834,1752,1808,0.96027,0.97641
2017,Multi-generational household,Urban regions,No,0.99633,68,68,0.98185,1.01081
2017,Other Combinations,Urban regions,No,0.96902,180,180,0.94364,0.99440
2018,Single-person household,Urban regions,Yes,0.01686,60,2760,0.01206,0.02167
2018,Single-person household,Urban regions,No,0.98314,2700,2760,0.97833,0.98794
2018,Single-person household,Rural regions,No,0.98878,1239,1239,0.98291,0.99464
2018,Couple without children,Urban regions,Yes,0.02419,79,2863,0.01856,0.02982
2018,Couple without children,Urban regions,No,0.97581,2784,2863,0.97018,0.98144
2018,Couple without children,Rural regions,Yes,0.01595,34,1679,0.00995,0.02194
2018,Couple without children,Rural regions,No,0.98405,1645,1679,0.97806,0.99005
2018,Single parent,Urban regions,No,0.97486,981,981,0.96506,0.98466
2018,Single parent,Rural regions,No,0.98416,494,494,0.97314,0.99518
2018,Couple with children,Urban regions,Yes,0.03477,119,3298,0.02851,0.04102
2018,Couple with children,Urban regions,No,0.96523,3179,3298,0.95898,0.97149
